openTime,open,high,low,close,volume
1692911700000,38.805,38.805,38.805,38.805,60
1692915900000,38.63,38.63,38.63,38.63,400
1692916500000,38.65,38.65,38.65,38.65,900
1692916800000,38.65,38.65,38.65,38.65,5636
1692917400000,38.793,38.793,38.632,38.632,7119
1692917700000,38.632,38.632,38.632,38.632,2572
1692918000000,38.786,38.786,38.786,38.786,20
1692918300000,38.798,38.798,38.798,38.798,60
1692919500000,38.714,38.714,38.714,38.714,200
1692919800000,38.708,38.708,38.708,38.708,201
1692920700000,38.785,38.785,38.785,38.785,38800
1692921000000,38.828,38.828,38.828,38.828,4
1692921900000,38.815,38.815,38.815,38.815,2600
1692922500000,38.666,38.666,38.658,38.658,1000
1692925500000,38.745,38.745,38.745,38.745,3578
1692928500000,38.828,39.355,38.828,39.355,3252
1692928800000,39.4,39.4,39.4,39.4,200
1692929400000,39.244,39.244,39.244,39.244,2
1692930000000,39.001,39.001,39.001,39.001,400
1692931500000,39.001,39.001,39.001,39.001,102
1692933000000,39.001,39.001,39.001,39.001,400
1692933300000,39.001,39.001,39.001,39.001,2540
1692933900000,39,39,38.8,38.8,10
1692934500000,38.777,38.87,38.776,38.87,12580
1692934800000,38.881,39.079,38.881,39.079,35540
1692935100000,39.043,39.043,38.5,38.501,20107
1692935700000,38.527,38.527,38.527,38.527,6
1692936000000,38.425,38.517,38.416,38.427,1663
1692936900000,38.426,38.426,38.426,38.426,6
1692937500000,38.426,38.426,38.426,38.426,60
1692938100000,38.426,38.426,38.398,38.398,60
1692939600000,38.2,38.2,38.02,38.02,260
1692939900000,38,38,38,38,2600
1692940200000,38.122,38.126,38.122,38.126,790
1692942900000,38.365,38.365,38.365,38.365,520
1692944100000,38.382,38.382,38.382,38.382,5
1692944700000,38.374,38.374,38.374,38.374,40
1692945900000,38.373,38.373,38.373,38.373,200
1692946800000,38.351,38.351,38.351,38.351,2
1692947700000,38.3,38.388,38.299,38.388,24518
1692948000000,38.388,38.397,38.388,38.397,920
1692948300000,38.397,38.397,38.29,38.29,4000
1692949500000,38.334,38.334,38.334,38.334,52
1692950100000,38.3,38.3,38.176,38.176,3083
1692951000000,38.397,38.448,38.397,38.448,1387
1692952200000,38.506,38.506,38.506,38.506,2
1692952800000,38.515,38.515,38.515,38.515,200
1692953100000,38.342,38.342,38.342,38.342,150
1692953400000,38.347,38.347,38.347,38.347,52
1692953700000,38.412,38.412,38.412,38.412,260
1692954900000,38.405,38.405,38.405,38.405,2872
1692958200000,38.526,38.526,38.526,38.526,200
