openTime,open,high,low,close,volume
1690578600000,7.742,7.742,7.7,7.7,912
1690578900000,7.746,7.746,7.746,7.746,1220
1690579500000,7.7,7.7,7.666,7.666,2000
1690580100000,7.726,7.726,7.726,7.726,40
1690580400000,7.72,7.72,7.72,7.72,60
1690580700000,7.701,7.701,7.701,7.701,20
1690581300000,7.701,7.701,7.701,7.701,10204
1690581600000,7.66,7.66,7.614,7.614,62158
1690582500000,7.68,7.68,7.68,7.68,40
1690583100000,7.68,7.699,7.68,7.699,30000
1690583400000,7.699,7.699,7.603,7.603,9900
1690583700000,7.67,7.67,7.67,7.67,20
1690584300000,7.67,7.67,7.67,7.67,1000
1690584900000,7.641,7.641,7.641,7.641,780
1690585200000,7.603,7.603,7.6,7.6,22574
1690585500000,7.6,7.6,7.6,7.6,30720
1690585800000,7.6,7.6,7.6,7.6,790
1690587900000,7.6,7.6,7.6,7.6,18506
1690588200000,7.6,7.6,7.58,7.58,2648
1690588500000,7.585,7.585,7.585,7.585,130
1690596600000,7.58,7.585,7.58,7.585,3778
1690596900000,7.584,7.584,7.58,7.58,2600
1690597200000,7.58,7.58,7.507,7.507,25318
1690597500000,7.58,7.58,7.58,7.58,100
1690597800000,7.58,7.58,7.5,7.5,23638
1690598100000,7.526,7.526,7.526,7.526,2000
1690598400000,7.526,7.526,7.526,7.526,4464
1690598700000,7.526,7.526,7.526,7.526,7000
1690599000000,7.5,7.5,7.484,7.484,5328
1690599300000,7.484,7.524,7.45,7.524,21000
1690599600000,7.524,7.524,7.45,7.45,600
1690599900000,7.45,7.518,7.45,7.45,9656
1690600500000,7.45,7.45,7.45,7.45,100
1690600800000,7.45,7.45,7.45,7.45,40
1690601100000,7.45,7.524,7.44,7.44,4820
1690601400000,7.5,7.545,7.5,7.545,40100
1690601700000,7.527,7.53,7.527,7.529,4440
1690602000000,7.518,7.518,7.518,7.518,200
1690602300000,7.541,7.541,7.511,7.511,2440
1690602600000,7.548,7.548,7.455,7.455,25050
1690603200000,7.455,7.455,7.455,7.455,20
1690604700000,7.45,7.455,7.431,7.455,26000
1690605000000,7.455,7.455,7.455,7.455,30
1690605600000,7.455,7.455,7.455,7.455,40
1690605900000,7.43,7.444,7.4,7.444,18278
1690606200000,7.4,7.4,7.4,7.4,59440
1690606800000,7.4,7.433,7.377,7.433,9420
1690607100000,7.4,7.4,7.37,7.399,12994
1690608000000,7.361,7.412,7.361,7.412,3692
1690608300000,7.417,7.417,7.417,7.417,134
1690608600000,7.427,7.427,7.425,7.425,4708
1690608900000,7.437,7.437,7.426,7.426,80
1690609200000,7.36,7.411,7.36,7.411,4020
1690609800000,7.419,7.42,7.419,7.42,6100
1690610100000,7.436,7.436,7.436,7.436,200
1690610400000,7.42,7.429,7.36,7.36,22818
1690610700000,7.4,7.4,7.4,7.4,2100
1690611000000,7.4,7.4,7.4,7.4,2000
1690611300000,7.4,7.4,7.36,7.36,3040
1690611600000,7.4,7.4,7.4,7.4,40
1690611900000,7.4,7.4,7.4,7.4,160
1690612200000,7.4,7.4,7.4,7.4,35000
1690612500000,7.4,7.4,7.4,7.4,290
1690612800000,7.4,7.4,7.4,7.4,100000
1690613100000,7.399,7.4,7.399,7.4,35600
1690613400000,7.36,7.36,7.34,7.34,8202
1690613700000,7.345,7.4,7.345,7.4,15800
1690614000000,7.4,7.4,7.4,7.4,200
1690614300000,7.4,7.4,7.34,7.34,26408
1690614600000,7.34,7.4,7.34,7.34,4280
1690614900000,7.4,7.4,7.4,7.4,10000
1690615200000,7.35,7.35,7.34,7.34,7000
1690615800000,7.34,7.394,7.34,7.394,11516
1690616100000,7.34,7.34,7.34,7.34,39286
1690616400000,7.34,7.34,7.261,7.261,26000
1690617000000,7.34,7.346,7.34,7.346,2200
1690617300000,7.346,7.349,7.346,7.349,23276
1690617900000,7.3,7.3,7.252,7.252,18776
1690618200000,7.32,7.35,7.32,7.35,102880
1690618500000,7.335,7.385,7.335,7.385,86860
1690618800000,7.35,7.35,7.32,7.32,300
1690619100000,7.34,7.34,7.34,7.34,20
1690619700000,7.32,7.33,7.3,7.33,6760
1690620000000,7.301,7.301,7.3,7.3,1600
1690620300000,7.28,7.316,7.26,7.316,840
1690620600000,7.3,7.3,7.3,7.3,20
1690620900000,7.3,7.3,7.3,7.3,600
1690621500000,7.308,7.308,7.308,7.308,500
1690621800000,7.308,7.308,7.308,7.308,20
1690622100000,7.25,7.25,7.17,7.24,80540
1690622400000,7.24,7.257,7.24,7.257,2100
1690622700000,7.257,7.257,7.182,7.254,6340
1690623000000,7.26,7.26,7.26,7.26,40
1690623300000,7.26,7.32,7.26,7.32,400
1690623600000,7.32,7.34,7.32,7.34,3820
1690623900000,7.267,7.377,7.267,7.377,39514
1690624200000,7.38,7.404,7.38,7.404,438
1690624800000,7.393,7.442,7.393,7.415,140904
1690625100000,7.415,7.45,7.415,7.448,294448
1690625400000,7.415,7.5,7.415,7.5,293668
1690625700000,7.489,7.5,7.488,7.498,154900
1690626000000,7.52,7.583,7.52,7.526,21136
1690626600000,7.558,7.65,7.526,7.65,21020
1690626900000,7.58,7.58,7.538,7.538,2962
1690627200000,7.541,7.541,7.5,7.5,16702
1690627500000,7.556,7.578,7.501,7.501,11668
1690627800000,7.5,7.579,7.448,7.579,22714
1690629300000,7.52,7.61,7.52,7.61,200000
1690629600000,7.61,7.61,7.61,7.61,100000
1690629900000,7.61,7.61,7.61,7.61,100000
1690630800000,7.619,7.619,7.572,7.572,942
1690631100000,7.56,7.618,7.56,7.618,100
1690631400000,7.62,7.62,7.62,7.62,20
1690631700000,7.554,7.554,7.554,7.554,2940
1690632000000,7.62,7.644,7.553,7.553,23014
1690632300000,7.62,7.648,7.62,7.648,2624
1690632600000,7.58,7.58,7.547,7.547,4660
1690632900000,7.619,7.619,7.619,7.619,2000
1690633200000,7.555,7.555,7.555,7.555,19080
1690633500000,7.548,7.548,7.548,7.548,40
1690634100000,7.543,7.574,7.5,7.5,2340
1690635000000,7.5,7.5,7.387,7.46,572398
