openTime,open,high,low,close,volume
1690752300000,28.996,28.996,28.996,28.996,4000
1690755000000,28.995,28.995,28.892,28.892,8477
1690757700000,29.03,29.032,29.03,29.032,53
1690759200000,29.022,29.022,29.022,29.022,250
1690759500000,29.022,29.022,29.022,29.022,150
1690760100000,29.232,29.232,29.232,29.232,2
1690760400000,29.222,29.222,29.222,29.222,200
1690760700000,29.25,29.25,29.25,29.25,100
1690761000000,29.5,29.5,29.5,29.5,3518
1690762200000,29.5,29.5,29.5,29.5,40
1690764300000,29.505,29.505,29.505,29.505,64
1690764600000,29.505,29.51,29.505,29.51,66
1690766100000,29.5,29.5,29.5,29.5,1600
1690766700000,29.5,29.52,29.32,29.52,937
1690769700000,29.719,29.733,29.55,29.733,416
1690771200000,29.733,29.89,29.733,29.89,1378
1690772400000,29.74,29.89,29.71,29.89,10004
1690772700000,29.89,29.89,29.89,29.89,1604
1690773000000,29.89,29.89,29.89,29.89,9240
1690773900000,29.87,29.87,29.87,29.87,400
1690774500000,29.922,29.922,29.922,29.922,50
1690777800000,29.88,29.88,29.88,29.88,140
1690778400000,29.63,29.63,29.63,29.63,345
1690780500000,29.746,29.746,29.746,29.746,1
1690782300000,29.71,29.71,29.71,29.71,440
1690782900000,29.711,29.711,29.711,29.711,146
1690783800000,29.968,29.968,29.968,29.968,1
1690785300000,29.68,29.68,29.68,29.68,73
1690786200000,29.862,29.908,29.862,29.908,2
1690787400000,29.91,29.926,29.91,29.926,7200
1690792200000,29.6,29.6,29.6,29.6,5
1690793700000,29.7,29.7,29.7,29.7,2
1690794300000,29.58,29.58,29.58,29.58,500
1690795200000,29.58,29.58,29.58,29.58,60
1690796700000,29.678,29.684,29.678,29.684,3000
1690800000000,29.6,29.6,29.6,29.6,1
1690800300000,29.6,29.6,29.6,29.6,2599
1690800600000,29.866,29.88,29.72,29.88,110
1690800900000,29.7,29.7,29.69,29.69,3127
1690801200000,29.69,29.69,29.69,29.69,1527
1690801500000,29.688,29.688,29.686,29.686,2944
1690801800000,29.68,29.68,29.68,29.68,1
1690802100000,29.66,29.66,29.66,29.66,1000
1690803000000,29.758,29.76,29.758,29.76,1500
1690803900000,29.62,29.76,29.58,29.76,7001
1690804200000,29.58,29.581,29.58,29.581,2800
1690804800000,29.58,29.58,29.58,29.58,100
1690805400000,29.914,29.914,29.914,29.914,50
1690809900000,29.914,29.914,29.914,29.914,648
1690812900000,29.38,29.556,29.38,29.556,850
1690813200000,29.36,29.36,29.35,29.35,1900
1690814100000,29.506,29.506,29.506,29.506,50
1690814700000,29.5,29.5,29.5,29.5,64
1690818000000,29.27,29.27,29.25,29.25,7200
1690819200000,29.24,29.24,29.202,29.202,1041
1690819500000,29.508,29.508,29.508,29.508,600
1690826400000,29.507,29.507,29.507,29.507,10
1690836600000,29.5,29.507,29.5,29.507,1000
1690836900000,29.516,29.516,29.516,29.516,3994
