openTime,open,high,low,close,volume
1692825000000,28239,28240,28239,28240,3
1692826200000,28240,28349,28240,28349,0.5
1692826500000,28263,28263,28263,28263,6
1692827400000,28317,28317,28200,28200,0.7
1692829200000,28221,28221,28221,28221,0.02
1692830100000,28221,28221,28221,28221,2
1692831000000,28149,28149,28149,28149,2
1692835500000,28148,28148,28148,28148,0.1
1692835800000,28041,28041,28028,28028,11.411
1692837000000,28063,28063,28063,28063,2
1692837300000,28059,28059,28059,28059,2.02
1692838800000,28000,28000,27895,27895,2
1692840000000,28005,28005,28005,28005,0.02
1692844800000,28005,28018,28005,28018,19.028
1692845100000,28020,28020,28020,28020,0.25
1692846900000,28074,28086,28074,28086,11
1692849600000,28017,28017,28017,28017,6
1692851700000,28049,28054,28049,28054,7
1692857400000,28040,28040,28040,28040,1
1692858000000,27930,27930,27930,27930,0.2
1692858300000,27932,27952,27932,27952,10
1692862500000,27954,27956,27954,27956,0.06
1692864300000,27968,27970,27968,27970,1
1692865200000,27930,27930,27930,27930,1.8
1692867900000,27870,27870,27870,27870,0.604
1692868500000,27914,27920,27914,27920,6
1692869100000,28062,28062,28062,28062,0.2
1692869400000,28064,28068,28064,28068,1
1692870000000,28072,28072,28072,28072,0.2
1692876300000,28074,28076,28074,28076,0.06
1692878400000,28078,28078,28078,28078,1.062
1692878700000,28032,28032,28032,28032,0.178
1692879600000,27851,27984,27851,27984,14.664
1692879900000,27986,28016,27986,28016,2.8
1692880200000,28016,28018,28016,28018,0.8
1692880500000,28020,28036,28020,28036,1.085
1692880800000,28038,28044,28038,28044,1.2
1692881100000,28052,28054,28052,28054,1
1692881400000,28058,28058,28058,28058,0.96
1692882600000,28050,28050,28040,28040,13
1692882900000,28044,28044,28044,28044,0.03
1692883500000,28050,28116,28050,28116,20.04
1692884400000,28100,28100,27991,27991,0.06
1692884700000,28000,28000,27980,27980,4.25
1692885000000,28000,28112,28000,28112,20.26
1692885600000,27991,27991,27991,27991,0.02
1692885900000,27955,27955,27955,27955,0.02
1692886500000,27900,27900,27900,27900,0.02
1692886800000,27950,27950,27950,27950,20
1692888000000,27818,27818,27505,27505,33.38
1692888600000,27705,27705,27705,27705,2
1692888900000,27749,27750,27749,27750,5.254
1692889500000,27750,27750,27750,27750,0.02
1692890400000,27722,27722,27612,27612,0.06
1692891000000,27618,27646,27618,27646,1.6
1692891300000,27523,27523,27523,27523,0.02
1692891600000,27648,27650,27648,27650,2
1692896700000,27868,27876,27868,27876,0.02
1692900300000,27930,27930,27930,27930,1
1692900600000,27940,27940,27940,27940,0.5
1692901200000,27942,27942,27942,27942,0.5
1692901500000,27946,27946,27946,27946,0.02
1692902400000,27840,27840,27840,27840,0.02
1692910200000,27854,27872,27813,27832,12.2
