openTime,open,high,low,close,volume
1692738000000,26895,26903,26741,26741,4.8
1692738300000,26834,26834,26829,26829,2
1692739500000,26563,26563,25698,26154,181
1692739800000,26305,26305,26305,26305,2
1692740100000,26482,26483,26467,26467,10.4
1692740700000,26483,26500,26483,26483,5.2
1692741900000,26403,26403,26384,26384,2.7
1692742200000,26374,26413,26373,26413,9
1692743100000,26530,26530,26520,26520,5.3
1692743400000,26510,26510,26500,26500,5.9
1692743700000,26527,26527,26527,26527,0.2
1692744600000,26682,26699,26682,26682,4.4
1692744900000,26693,26719,26693,26698,8.4
1692745500000,26710,26797,26710,26797,7.8
1692745800000,26797,27109,26797,27000,37
1692746400000,27031,27046,27031,27046,8.7
1692746700000,26875,26875,26875,26875,2
1692747000000,26971,26971,26971,26971,0.4
1692747300000,26993,27000,26993,27000,0.4
1692747600000,27000,27000,27000,27000,0.6
1692748500000,27000,27000,27000,27000,1.2
1692748800000,27027,27027,27027,27027,0.4
1692749400000,27085,27085,27085,27085,0.4
1692750000000,27065,27065,27022,27022,5.2
1692750300000,27126,27160,27126,27160,4
1692750600000,27024,27024,27011,27011,3.2
1692751500000,27197,27309,27188,27309,13.8
1692751800000,27141,27141,27140,27140,2
1692752100000,27112,27232,27094,27232,9.3
1692753000000,27285,27400,27285,27400,24.8
1692753600000,27268,27306,27251,27306,7
1692754500000,27318,27330,27318,27330,6.8
1692754800000,27330,27330,27330,27330,1.2
1692755100000,27318,27318,27318,27318,10
1692756300000,27393,27400,27389,27389,5.2
1692757200000,27252,27252,27249,27249,1.6
1692757500000,27264,27318,27248,27308,16.5
1692757800000,27363,27363,27363,27363,0.4
1692759600000,27316,27362,27316,27362,6
1692761400000,27246,27246,27218,27218,5.1
1692762900000,27139,27139,27110,27110,7.6
1692763800000,27125,27137,27110,27137,6
1692764400000,27254,27254,27254,27254,2
1692767700000,27221,27221,27210,27210,1.5
1692770100000,27295,27295,27295,27295,1
1692771000000,27294,27361,27294,27358,6.2
1692771300000,27358,27399,27358,27399,12
1692771600000,27399,27400,27399,27400,32
1692772200000,27400,27500,27400,27440,33.5
1692772500000,27369,27369,27369,27369,8.4
1692773100000,27450,27450,27444,27444,20.6
1692774900000,27350,27350,27348,27348,3.7
1692776400000,27319,27369,27319,27369,6
1692777600000,27226,27226,27226,27226,0.4
1692777900000,27205,27257,27204,27257,2.6
1692778500000,27255,27255,27254,27254,1.6
1692783900000,27300,27300,27262,27300,3.6
1692784500000,27261,27261,27261,27261,1
1692785100000,27300,27300,27244,27244,3.8
1692785400000,27239,27239,27230,27230,2.8
1692786300000,27202,27203,27201,27203,4
1692786600000,27240,27240,27240,27240,3
1692786900000,27231,27231,27231,27231,1.8
1692787200000,27240,27240,27240,27240,0.8
1692788700000,27159,27211,27095,27095,53.6
1692789000000,27296,27308,27296,27308,6
1692790200000,27318,27399,27317,27399,11.4
1692792600000,27390,27490,27381,27426,11.8
1692792900000,27419,27419,27355,27355,8
1692793500000,27378,27378,27333,27333,4
1692794400000,27296,27296,27268,27271,52.5
1692794700000,27300,27300,27298,27298,0.8
1692795000000,27298,27298,27298,27298,0.2
1692795300000,27267,27280,27191,27280,1.6
1692796500000,27223,27223,27223,27223,2
1692796800000,27176,27176,27150,27150,19.8
1692797400000,27219,27229,27219,27229,6
1692798000000,27199,27199,27150,27150,0.4
1692798600000,27299,27300,27299,27300,2.2
1692798900000,27377,27400,27313,27313,22.8
1692799200000,27348,27450,27348,27450,7.8
1692799500000,27447,27447,27446,27446,2.6
1692799800000,27323,27323,27323,27323,0.2
1692800100000,27433,27500,27349,27352,58.2
1692800400000,27439,27449,27426,27426,9
1692800700000,27447,27447,27414,27435,5.8
1692801000000,27435,27500,27385,27385,27.2
1692801300000,27381,27417,27381,27417,1
1692801600000,27393,27393,27393,27393,0.2
1692801900000,27382,27382,27380,27380,3.9
1692802200000,27358,27469,27358,27450,14
1692802500000,27492,27494,27450,27450,18.8
1692802800000,27485,27485,27450,27450,20.2
1692803100000,27450,27450,27450,27450,15.8
1692803400000,27474,27486,27450,27450,6
1692803700000,27450,27450,27450,27450,1.6
1692804000000,27443,27447,27443,27447,5.4
1692805800000,27445,27450,27445,27450,3
1692806400000,27500,27500,27434,27434,71.5
1692807000000,27499,27500,27498,27500,23
1692807300000,27521,27694,27521,27690,213.6
1692807600000,27741,28193,27741,28072,242.2
1692807900000,28057,28135,28002,28002,10.5
1692808200000,28046,28144,28033,28095,18.6
1692808500000,28080,28103,28028,28046,60.2
1692808800000,28065,28065,28032,28032,8.9
1692809100000,28032,28112,28032,28112,21.5
1692809700000,27981,28002,27959,27959,22.8
1692810000000,27955,27955,27955,27955,0.8
1692810600000,28028,28030,28028,28029,9.8
1692810900000,28125,28127,28125,28127,8.8
1692811200000,28100,28192,28052,28192,30.7
1692811500000,28056,28092,28012,28028,43.5
1692812400000,28166,28193,28166,28193,20
1692813000000,28029,28029,28028,28028,7
1692813300000,28028,28055,28012,28012,6.2
1692813600000,28030,28048,27968,28048,9.5
1692813900000,28034,28034,27990,27990,1.4
1692814200000,27995,27995,27990,27990,7
1692814500000,27983,27983,27933,27952,4.8
1692816000000,28003,28039,28003,28039,4
1692816900000,28042,28078,28042,28078,3
1692817200000,28068,28093,28067,28093,6.6
1692817500000,28099,28100,28099,28100,12.8
1692817800000,28100,28100,28100,28100,49
1692818100000,28100,28193,28100,28179,64.9
1692818700000,28175,28175,28154,28172,19.1
1692819000000,28169,28183,28122,28183,28.2
1692819300000,28177,28177,28122,28122,6.3
1692819600000,28174,28193,28174,28178,126.6
1692819900000,28183,28241,28180,28239,249.2
1692820200000,28329,28329,28244,28244,63.8
1692820500000,28245,28342,28178,28178,65.7
1692820800000,28178,28227,28178,28225,4.3
1692821100000,28208,28225,28190,28190,4
1692821400000,28261,28261,28222,28222,7.9
1692821700000,28220,28220,28148,28148,50
1692822000000,28218,28251,28218,28251,4.8
1692822300000,28250,28250,28232,28232,5.2
1692822600000,28228,28228,28186,28207,5.4
1692823800000,28162,28162,28148,28148,2
1692824100000,28186,28186,28150,28170,10.5
