openTime,open,high,low,close,volume
1691182800000,4128595,4132400,4128594,4132400,0.477
1691183100000,4133373,4143999,4133373,4142300,1.0006
1691183400000,4143250,4147500,4143250,4145350,0.7412
1691183700000,4144757,4144757,4140031,4143106,0.2724
1691184000000,4142550,4142550,4138163,4139000,0.1044
1691184300000,4139000,4140570,4139000,4140570,0.3291
1691184600000,4140750,4140750,4136330,4136330,0.3518
1691184900000,4137449,4137449,4135459,4137400,0.4713
1691185200000,4137000,4137000,4136000,4136000,0.0704
1691185500000,4135808,4140000,4135807,4140000,0.648
1691185800000,4140000,4140000,4139999,4140000,0.0846
1691186100000,4140000,4140000,4140000,4140000,0.0204
1691186400000,4140000,4142000,4140000,4142000,0.0404
1691186700000,4142500,4143600,4142500,4143000,0.0148
1691187000000,4142155,4144384,4141113,4144384,1.2198
1691187300000,4144100,4144800,4142800,4142800,0.0834
1691187600000,4142800,4145600,4142800,4145000,0.5286
1691187900000,4144600,4145000,4144600,4145000,0.402
1691188200000,4145001,4145001,4145001,4145001,0.3056
1691188500000,4145600,4145600,4145000,4145400,0.0602
1691188800000,4145500,4146200,4145000,4146200,0.0068
1691189100000,4146400,4146400,4145000,4145000,0.0234
1691189400000,4145000,4145001,4144600,4144600,2.5596
1691189700000,4144600,4144601,4142800,4142800,0.7116
1691190000000,4141960,4141960,4141800,4141800,0.021
1691190300000,4141500,4141500,4141000,4141001,0.2168
1691190600000,4141001,4141001,4140801,4140801,0.4416
1691190900000,4141150,4141150,4140526,4140526,0.086
1691191200000,4140526,4140526,4137719,4138750,0.3624
1691191500000,4139100,4145200,4139100,4140950,1.1174
1691191800000,4140001,4140001,4140001,4140001,0.0412
1691192100000,4141975,4142122,4141975,4141975,0.02
1691192400000,4144560,4147966,4144560,4147966,0.0071
1691192700000,4147897,4148551,4144601,4148550,0.6547
1691193000000,4148550,4148551,4148550,4148550,0.8876
1691193300000,4148551,4151070,4148550,4151070,0.4619
1691201400000,4148550,4148550,4142000,4142000,0.629
1691201700000,4141975,4141975,4138772,4138772,0.9074
1691202000000,4141007,4141869,4138093,4139996,0.611
1691202300000,4140000,4140000,4138374,4139716,0.0126
1691202600000,4139710,4140946,4139710,4140000,0.0344
1691202900000,4139065,4140000,4139000,4140000,0.3024
1691203200000,4140000,4140000,4139999,4139999,0.008
1691203500000,4139997,4140000,4139000,4139000,0.0984
1691203800000,4138939,4141211,4138938,4140944,0.1312
1691204100000,4142974,4142974,4141758,4141758,0.16
1691204400000,4141305,4141305,4141281,4141281,0.0006
1691204700000,4141562,4142015,4140000,4142015,0.0368
1691205000000,4141200,4141200,4138040,4138040,0.2948
1691205300000,4140500,4141200,4140500,4141200,0.0102
1691205900000,4141050,4141050,4141050,4141050,0.002
1691206200000,4141001,4141001,4140000,4140000,0.0254
1691206500000,4141001,4141001,4141000,4141000,0.027
1691207100000,4140001,4140001,4139213,4139213,0.0042
1691207400000,4139212,4139950,4138266,4139950,0.025
1691207700000,4139950,4139951,4139950,4139951,0.003
1691208000000,4139951,4139951,4139900,4139900,0.0012
1691208300000,4139102,4139102,4139102,4139102,0.0004
1691208600000,4139101,4139950,4139101,4139950,0.3616
1691209200000,4139350,4139550,4139350,4139400,0.017
1691209500000,4139102,4139102,4139101,4139101,0.0056
1691209800000,4139000,4139000,4137000,4137000,0.482
1691210100000,4136800,4136800,4134001,4134001,0.3724
1691210400000,4134001,4134001,4130000,4133001,0.9468
1691210700000,4133001,4133935,4131194,4133935,0.08
1691211000000,4133935,4135994,4133935,4135994,0.0324
1691211300000,4135946,4135946,4133027,4133027,0.0596
1691211600000,4135833,4135833,4135000,4135400,0.0424
1691212200000,4135453,4135454,4132599,4132599,0.1404
1691212500000,4132964,4132964,4132964,4132964,0.002
1691212800000,4135454,4135454,4135454,4135454,0.18
1691213100000,4135454,4137840,4135454,4137840,0.055
1691213400000,4139191,4139450,4136801,4139450,0.0222
1691213700000,4139549,4139638,4139549,4139638,0.032
1691214300000,4139639,4139639,4139639,4139639,0.0264
1691214600000,4139979,4139979,4139979,4139979,0.002
1691215200000,4139638,4139950,4139638,4139950,0.0224
1691215500000,4139639,4139639,4139638,4139638,0.029
1691215800000,4138500,4138500,4136801,4136801,0.024
1691216100000,4137400,4137400,4137400,4137400,0.014
1691216400000,4137401,4137401,4137400,4137400,0.0492
1691216700000,4137400,4137400,4136801,4136801,0.1138
1691217000000,4136801,4137797,4136801,4137797,0.05
1691217300000,4136701,4136701,4134573,4134573,0.044
1691217600000,4137632,4137632,4137632,4137632,0.0036
1691217900000,4137625,4137625,4137617,4137617,0.019
1691218500000,4137607,4137607,4137001,4137001,0.014
1691218800000,4136975,4136975,4136936,4136936,0.0076
1691219100000,4135800,4135801,4135800,4135801,0.0042
1691219400000,4136750,4136868,4136750,4136750,0.018
1691219700000,4137074,4137088,4137074,4137088,0.0648
1691220000000,4137088,4137089,4137088,4137088,0.2352
1691220300000,4137167,4137167,4137088,4137088,1.082
1691220600000,4137088,4137089,4137088,4137089,0.5956
1691220900000,4137089,4137167,4137089,4137167,0.389
1691221200000,4137189,4137512,4137188,4137188,0.0508
1691221500000,4137521,4137521,4137188,4137188,0.0078
1691221800000,4137188,4137188,4137188,4137188,0.3536
1691222100000,4137188,4137189,4137188,4137189,0.22
1691222400000,4137189,4137200,4137188,4137200,0.2532
1691222700000,4137288,4137300,4135801,4137254,0.2344
1691223000000,4135801,4135801,4135801,4135801,0.024
1691223300000,4137175,4137175,4135802,4135802,0.0092
1691223600000,4137090,4137090,4137082,4137082,0.0056
1691223900000,4135804,4135805,4133139,4133139,0.124
1691224500000,4134800,4136399,4134800,4136399,0.0084
1691224800000,4136899,4137300,4136897,4137300,0.0288
1691225100000,4137300,4139998,4137300,4137400,0.4282
1691225400000,4137200,4139999,4137071,4139999,0.204
1691225700000,4137715,4137715,4137715,4137715,0.0044
1691226000000,4136956,4139092,4136956,4139092,0.0036
1691226300000,4139088,4139954,4139088,4139953,0.0388
1691226600000,4139000,4139599,4137303,4137555,0.1254
1691226900000,4139199,4140000,4137473,4140000,0.3318
1691227200000,4140000,4140000,4140000,4140000,0.0002
1691227800000,4140100,4140100,4140100,4140100,0.026
1691228100000,4140462,4140462,4140200,4140200,0.0306
1691228400000,4140100,4140100,4140002,4140002,0.0012
1691228700000,4140001,4140002,4140001,4140002,0.016
1691229000000,4140001,4140001,4140000,4140000,0.0398
1691229300000,4140001,4140001,4140000,4140000,0.6912
1691229600000,4140000,4140000,4140000,4140000,0.67
1691229900000,4138439,4138439,4138439,4138439,0.0024
1691230200000,4138440,4138440,4138440,4138440,0.006
1691230500000,4140725,4140725,4140725,4140725,0.01
1691231100000,4138439,4138439,4135650,4135650,0.764
1691231400000,4138600,4138600,4138600,4138600,0.002
1691232000000,4139800,4139800,4139800,4139800,0.002
1691232300000,4138590,4138591,4138590,4138591,0.0058
1691232900000,4138591,4138591,4138000,4138099,0.0592
1691233200000,4138001,4138986,4138001,4138800,0.051
1691233500000,4138100,4138100,4138002,4138002,0.0308
1691233800000,4139199,4139199,4139199,4139199,0.001
1691234100000,4139150,4139199,4139150,4139199,0.001
1691235000000,4138600,4138800,4138600,4138800,0.0044
1691235600000,4138700,4139199,4138000,4139199,0.0512
1691235900000,4138800,4139199,4138599,4139199,0.083
1691236200000,4139199,4139350,4139197,4139300,0.0388
1691236500000,4139352,4139400,4139352,4139400,0.0054
1691236800000,4139400,4139400,4139200,4139200,0.076
1691237100000,4139206,4140290,4139206,4140201,0.0438
1691237400000,4140201,4140201,4139000,4139000,0.0158
1691237700000,4138050,4138050,4137850,4137850,0.3514
1691238000000,4137001,4137001,4137001,4137001,0.006
1691238300000,4137001,4137579,4135687,4137579,0.124
1691238600000,4137550,4137593,4137550,4137593,0.056
1691239200000,4135200,4135200,4134545,4134545,0.2328
1691239500000,4134000,4134000,4133695,4133695,0.014
1691239800000,4132525,4133488,4130000,4133479,0.8736
1691240100000,4133476,4133476,4133476,4133476,0.005
1691240400000,4133332,4133332,4133332,4133332,0.0016
1691240700000,4131601,4133479,4131408,4133479,0.246
1691241000000,4133479,4134963,4132053,4132053,0.0632
1691241300000,4134949,4134949,4134949,4134949,0.004
1691241600000,4132600,4135022,4132232,4135022,0.041
1691241900000,4134999,4134999,4134407,4134407,0.0126
1691242200000,4134407,4134407,4134407,4134407,0.0148
1691242500000,4134001,4134001,4133280,4133280,0.072
1691242800000,4133397,4133397,4130360,4130360,0.073
1691243100000,4131826,4133399,4130324,4133399,0.1918
1691243400000,4131550,4131550,4131550,4131550,0.0284
1691244000000,4135000,4137999,4135000,4137999,0.0706
1691244300000,4138050,4140570,4138050,4140570,0.0232
1691244600000,4137550,4138889,4137001,4137001,0.0184
1691244900000,4139592,4139730,4138950,4138950,0.0203
1691245200000,4139549,4139549,4139299,4139299,0.02
1691245500000,4139501,4140000,4139501,4140000,0.1612
1691245800000,4140000,4140177,4139500,4139501,0.0988
1691246100000,4140000,4140001,4137739,4137739,0.0728
1691246700000,4136801,4136801,4136801,4136801,0.0002
1691247000000,4139819,4139819,4139819,4139819,0.002
1691247300000,4141496,4141496,4141496,4141496,0.006
1691247600000,4138800,4140758,4138348,4140758,0.0402
1691247900000,4140199,4140199,4139699,4139699,0.0052
1691248200000,4139001,4139115,4139001,4139115,0.102
1691248500000,4139117,4139117,4134954,4134954,0.0692
1691248800000,4137200,4137200,4137197,4137197,0.0078
1691249100000,4135799,4135799,4133199,4134400,0.2292
1691249400000,4134196,4134401,4134196,4134401,0.207
1691250000000,4138650,4138650,4136450,4136450,0.022
1691250300000,4136600,4136600,4136600,4136600,0.01
1691250900000,4137669,4137669,4137669,4137669,0.0026
1691251200000,4137705,4137705,4137542,4137542,0.1784
1691251500000,4136001,4137294,4136000,4137294,0.0046
1691251800000,4137692,4137692,4137692,4137692,0.002
1691252100000,4137006,4137006,4136952,4136952,0.196
1691252400000,4136000,4136000,4136000,4136000,0.04
1691252700000,4136001,4136001,4136001,4136001,0.016
1691253000000,4136000,4136000,4135610,4135610,0.5756
1691253300000,4135610,4135610,4135610,4135610,0.032
1691253600000,4135610,4135610,4135610,4135610,0.02
1691254200000,4136250,4136250,4136250,4136250,0.01
1691254500000,4135610,4135610,4135610,4135610,0.002
