openTime,open,high,low,close,volume
1690602000000,140.503,140.503,140.503,140.503,16
1690605300000,141.291,141.291,141.291,141.291,8
1690606500000,140.502,140.502,140.5,140.5,60
1690608600000,140.102,140.102,140.102,140.102,12
1690608900000,141.291,141.291,141.291,141.291,4
1690611600000,140.502,140.502,140.502,140.502,14
1690616400000,141.137,141.14,141.137,141.14,8000
1690617900000,140.503,140.503,140.502,140.502,48
1690620300000,141.291,141.291,141.291,141.291,2
1690629600000,140.702,140.702,140.701,140.701,600
1690644000000,141.292,141.5,141.292,141.499,70
1690651800000,141.18,141.18,141,141,3986
