openTime,open,high,low,close,volume
1691201400000,10.466,10.573,10.466,10.558,10360
1691201700000,10.55,10.557,10.55,10.557,300
1691202000000,10.555,10.555,10.555,10.555,20
1691202300000,10.542,10.542,10.542,10.542,900
1691202900000,10.569,10.577,10.569,10.577,80
1691203200000,10.584,10.584,10.571,10.571,510
1691203500000,10.566,10.566,10.563,10.563,10000
1691203800000,10.565,10.565,10.563,10.563,1100
1691204100000,10.578,10.58,10.578,10.58,190
1691204400000,10.589,10.589,10.589,10.589,2500
1691204700000,10.589,10.591,10.589,10.591,1230
1691205000000,10.603,10.612,10.603,10.606,1530
1691205300000,10.612,10.612,10.61,10.61,15850
1691205600000,10.596,10.61,10.596,10.61,1200
1691205900000,10.61,10.61,10.608,10.608,10812
1691206200000,10.6,10.6,10.599,10.599,1120
1691206500000,10.592,10.592,10.592,10.592,7834
1691207100000,10.592,10.609,10.592,10.604,1940
1691207400000,10.61,10.61,10.61,10.61,4500
1691207700000,10.604,10.637,10.604,10.61,1754
1691208000000,10.634,10.634,10.628,10.628,3200
1691208900000,10.638,10.638,10.627,10.637,1610
1691209200000,10.665,10.665,10.665,10.665,10
1691209500000,10.678,10.684,10.667,10.684,11000
1691209800000,10.684,10.7,10.684,10.684,28393
1691210100000,10.738,10.738,10.738,10.738,3600
1691210400000,10.752,10.752,10.752,10.752,170
1691210700000,10.683,10.683,10.683,10.683,7200
1691211300000,10.719,10.755,10.719,10.755,1480
1691211600000,10.834,10.834,10.795,10.795,2220
1691211900000,10.775,10.775,10.775,10.775,330
1691212800000,10.795,10.795,10.795,10.795,25
1691213400000,10.788,10.79,10.788,10.79,2105
1691214000000,10.793,10.793,10.793,10.793,200
1691214600000,10.82,10.839,10.76,10.839,8854
1691214900000,10.843,10.843,10.837,10.837,5000
1691215200000,10.861,10.861,10.861,10.861,7000
1691215800000,10.865,10.865,10.76,10.76,412
1691216100000,10.799,10.807,10.799,10.807,1120
1691216400000,10.815,10.946,10.815,10.916,6818
1691217300000,10.866,10.866,10.866,10.866,250
1691217600000,10.868,10.868,10.868,10.868,100
1691218200000,10.879,10.879,10.879,10.879,10000
1691218800000,10.877,10.877,10.855,10.855,4220
1691219400000,10.8,10.8,10.8,10.8,6000
1691219700000,10.8,10.8,10.8,10.8,2000
1691220300000,10.8,10.8,10.8,10.8,2000
1691220600000,10.812,10.813,10.812,10.813,140
1691220900000,10.823,10.836,10.823,10.836,29890
1691221200000,10.84,10.84,10.834,10.834,2170
1691221500000,10.83,10.83,10.83,10.83,2046
1691222100000,10.82,10.836,10.82,10.836,2600
1691222400000,10.845,10.845,10.845,10.845,200
1691223000000,10.816,10.834,10.816,10.834,37000
1691223300000,10.827,10.827,10.827,10.827,20
1691223600000,10.849,10.849,10.849,10.849,922
1691223900000,10.827,10.827,10.827,10.827,1000
1691224500000,10.827,10.827,10.827,10.827,11136
1691225100000,10.9,10.91,10.9,10.91,6000
1691226000000,10.96,10.96,10.96,10.96,10000
1691226300000,10.964,10.975,10.955,10.955,23175
1691226600000,10.956,10.96,10.956,10.96,50255
1691226900000,10.88,10.989,10.88,10.981,3249
1691227200000,10.976,10.976,10.976,10.976,4250
1691227500000,10.999,10.999,10.999,10.999,5000
1691227800000,10.995,10.995,10.96,10.962,6000
1691228700000,10.866,10.866,10.866,10.866,1846
1691229000000,10.93,10.931,10.925,10.925,620
1691229300000,10.936,10.936,10.936,10.936,200
1691229600000,10.935,10.944,10.935,10.944,11000
1691229900000,10.937,10.937,10.937,10.937,200
1691230200000,10.961,10.961,10.957,10.957,2020
1691230500000,10.944,10.944,10.944,10.944,300
1691230800000,10.946,10.946,10.946,10.946,10
1691231100000,10.946,10.962,10.946,10.95,770
1691231400000,10.944,10.947,10.866,10.941,2050
1691232300000,10.921,10.922,10.921,10.922,1100
1691232600000,10.917,10.922,10.866,10.866,2400
1691233800000,10.9,10.9,10.9,10.9,200
1691234100000,10.9,10.9,10.9,10.9,400
1691234400000,10.9,10.9,10.9,10.9,20
1691234700000,10.87,10.87,10.85,10.85,1850
1691235000000,10.85,10.885,10.8,10.885,7528
1691235300000,10.88,10.885,10.88,10.885,16538
1691235600000,10.885,10.911,10.885,10.911,3896
1691235900000,10.893,10.893,10.893,10.893,15
1691236200000,10.891,10.891,10.891,10.891,1000
1691236500000,10.915,10.916,10.915,10.916,11000
1691237100000,10.944,10.958,10.944,10.958,1495
1691237400000,10.951,10.956,10.951,10.956,9611
1691238300000,10.956,10.956,10.888,10.888,8100
1691238900000,10.888,10.888,10.885,10.885,2000
1691239200000,10.885,10.885,10.882,10.882,92438
1691239800000,10.902,10.902,10.902,10.902,40
1691240400000,10.9,10.9,10.8,10.8,5224
1691241000000,10.916,10.916,10.916,10.916,10000
1691241900000,10.93,10.931,10.929,10.929,14800
1691242800000,10.93,10.93,10.916,10.916,20185
1691243100000,10.911,10.911,10.911,10.911,190
1691243400000,10.938,10.938,10.938,10.938,1000
1691244600000,10.953,10.953,10.953,10.953,5000
1691245500000,10.958,10.965,10.957,10.958,3020
1691245800000,10.958,10.959,10.958,10.959,131
1691246400000,10.965,10.965,10.965,10.965,200
1691246700000,10.965,10.965,10.965,10.965,892
1691247600000,10.965,10.965,10.965,10.965,27066
1691247900000,11,11.003,11,11,6827
1691248200000,10.965,10.965,10.948,10.95,18200
1691248500000,10.95,10.95,10.85,10.9,7636
1691248800000,10.9,10.9,10.9,10.9,11230
1691249400000,10.85,10.85,10.85,10.85,15000
1691249700000,10.85,10.856,10.84,10.84,9327
1691250300000,10.84,10.84,10.84,10.84,88
1691251800000,10.89,10.908,10.89,10.908,1300
1691252100000,10.801,10.801,10.801,10.801,2000
1691253000000,10.837,10.837,10.8,10.8,13000
1691253300000,10.8,10.8,10.8,10.8,2061
1691253900000,10.827,10.827,10.827,10.827,200
1691254200000,10.827,10.835,10.817,10.835,3700
1691254500000,10.835,10.836,10.82,10.825,10800
1691255100000,10.833,10.833,10.833,10.833,1000
1691255400000,10.8,10.8,10.8,10.8,5578
1691257500000,10.899,10.899,10.899,10.899,20
1691261700000,10.959,10.959,10.95,10.95,226
1691262000000,10.921,10.928,10.921,10.928,4900
1691262300000,10.935,10.935,10.935,10.935,500
1691263800000,10.935,10.935,10.935,10.935,190
1691266800000,10.936,10.951,10.936,10.951,10000
1691268300000,10.915,10.915,10.9,10.9,180
1691268900000,10.85,10.85,10.8,10.8,1860
