openTime,open,high,low,close,volume
1690837200000,728,728,728,728,1
1690841100000,728,728,728,728,20
1690842000000,728,728,728,728,13.7
1690845600000,729,729,726,726,1.6
1690845900000,729,729,729,729,0.1
1690848900000,728,728,728,728,12.2
1690850100000,729,729,729,729,10
1690850700000,730,730,730,730,1.4
1690854600000,728,728,728,728,927
1690855500000,728,728,721,721,88.4
1690855800000,721,721,718,719,1065.7
1690856100000,721,722,721,722,10
1690856400000,723,723,723,723,10
1690857600000,723,723,723,723,2
1690859400000,723,723,723,723,3.5
1690860000000,720,720,720,720,100
1690860300000,722,722,722,722,3.5
1690861200000,722,722,722,722,2
1690861800000,722,722,722,722,14.9
1690862100000,722,722,722,722,10
1690862700000,722,722,722,722,2.8
1690863600000,722,722,722,722,13
1690867500000,722,722,722,722,0.9
1690867800000,722,722,722,722,5
1690868400000,722,723,722,723,50
1690868700000,723,723,723,723,7
1690869000000,723,723,723,723,14
1690869300000,723,723,723,723,142.9
1690870200000,724,725,724,725,10.1
1690870500000,725,725,725,725,100
1690870800000,725,726,725,726,27.6
1690873200000,726,726,726,726,10
1690873800000,724,724,724,724,21.2
1690875600000,724,724,724,724,0.4
1690878000000,727,727,727,727,10
1690878300000,726,726,726,726,0.4
1690881600000,727,728,727,728,15.4
1690883100000,728,728,728,728,30.6
1690884000000,728,728,728,728,1
1690884300000,728,728,728,728,10
1690884900000,725,725,724,724,62.9
1690886700000,727,727,727,727,10
1690887900000,728,728,728,728,16
1690888200000,728,728,728,728,2
1690889100000,726,726,725,725,131.1
1690889400000,728,728,728,728,5.2
1690890300000,726,726,726,726,120
1690891500000,727,727,727,727,0.7
1690892100000,728,728,728,728,20
1690893600000,730,730,730,730,15.5
1690894800000,731,731,731,731,13
1690895700000,732,732,732,732,2.5
1690896000000,732,732,732,732,106.8
1690896600000,729,729,729,729,4
1690900800000,730,730,730,730,10
1690901100000,730,730,730,730,2
1690903200000,728,728,728,728,20
1690903500000,726,726,726,726,100
1690903800000,728,728,728,728,2.7
1690905600000,728,728,728,728,11.4
1690905900000,732,732,732,732,117.4
1690906200000,734,735,734,735,206.8
1690908300000,734,734,734,734,0.4
1690910700000,732,735,731,732,47
1690912200000,731,731,730,730,211.6
1690912800000,734,734,734,734,12.5
1690915500000,735,735,735,735,5
1690916100000,735,735,735,735,6
1690919400000,735,735,735,735,2
1690920000000,735,739,735,739,79.5
1690920600000,739,739,739,739,0.7
