openTime,open,high,low,close,volume
1691355600000,260452,260787,260452,260787,5.14
1691355900000,260844,260930,260657,260930,7.06
1691356200000,261037,261037,260596,260743,9.3734
1691356500000,260884,260884,260884,260884,0.4
1691356800000,260924,260924,260924,260924,0.76
1691357100000,260725,260725,260643,260643,1.52
1691357400000,260689,260689,260689,260689,0.4
1691358000000,260541,260541,260541,260541,0.02
1691358600000,260501,260501,260208,260208,2.7734
1691358900000,260177,260374,260110,260217,5.1472
1691359200000,260232,260232,260000,260230,3.1426
1691359500000,260320,260381,260320,260378,1.74
1691360100000,260512,260512,260512,260512,0.4
1691360400000,260647,260650,260614,260614,0.472
1691361300000,260617,260617,260617,260617,0.03
1691361600000,260305,260305,260000,260000,6
1691361900000,260279,260279,260279,260279,1.78
1691362200000,260236,260236,260005,260005,1.68
1691362800000,260022,260022,260005,260005,2.454
1691363100000,260007,260007,260007,260007,0.2
1691363400000,260071,260071,260071,260071,0.4
1691364000000,260139,260139,260139,260139,0.4
1691364300000,260206,260206,260206,260206,0.02
1691364600000,260260,260260,260260,260260,0.1
1691364900000,260225,260225,260225,260225,0.023
1691365200000,260255,260255,260215,260218,0.42
1691365800000,260218,260218,260218,260218,0.7658
1691366400000,260135,260135,260135,260135,0.2
1691366700000,260136,260136,260100,260100,4.16
1691367300000,260212,260213,260100,260100,0.92
1691367600000,260130,260130,260005,260005,5.1892
1691367900000,260034,260110,260034,260110,7.2396
1691368200000,260001,260001,259718,259728,35.0432
1691368500000,259717,259717,259216,259216,16.752
1691368800000,259554,259833,259505,259833,1.6508
1691369400000,259847,259847,259659,259659,0.2938
1691369700000,259626,259626,259626,259626,0.04
1691370000000,259728,259752,259728,259752,3.02
1691370300000,259869,259956,259868,259956,1.354
1691370600000,260038,260500,260038,260500,18.0254
1691370900000,260578,260741,260408,260741,2.7776
1691371200000,260915,260990,260915,260990,0.12
1691371500000,260999,261600,260999,261600,16.146
1691371800000,261857,261857,261461,261743,2.6262
1691372100000,261610,261635,261118,261194,8.026
1691372400000,261218,261218,261218,261218,0.2
1691372700000,261310,261423,261310,261328,1.96
1691373000000,261483,261492,261103,261103,5.4
1691373600000,261350,261500,261350,261500,3.245
1691373900000,261610,261679,261610,261679,1.263
1691374200000,261674,261725,261674,261725,2.84
1691374500000,261727,261735,261727,261735,0.38
1691374800000,261870,261923,261870,261923,1.2452
1691375100000,261937,261999,261937,261960,0.9256
1691375400000,261960,262235,261748,261946,24.1034
1691375700000,261980,261980,261980,261980,0.32
1691376000000,262005,262005,261966,261989,2.8144
1691376300000,261989,262556,261989,262556,8.068
1691376600000,262172,262438,262036,262224,9.76
1691376900000,262185,262203,261920,262203,5.6
1691377200000,262497,262503,262494,262503,2.3118
1691377500000,262362,262362,262362,262362,0.2
1691377800000,262349,262354,261944,261944,3.82
1691378100000,261997,262397,261648,262392,7.7934
1691378400000,262470,262472,262470,262472,6
1691378700000,262399,262400,262004,262004,1.6
1691379000000,262140,262140,262056,262100,3.2382
1691379300000,262140,262242,261898,261898,2.5532
1691379600000,262247,262263,262110,262128,1.3936
1691379900000,262178,262178,261724,262060,2.0006
1691380200000,262077,262077,261807,262040,2.0916
1691380500000,261848,261848,261200,261200,24
1691380800000,261814,261977,261814,261977,2.4
1691381100000,262109,262109,262109,262109,1.17
1691381400000,262141,262230,262141,262230,3.48
1691381700000,262092,262092,262080,262080,0.366
1691382000000,262193,262388,262193,262360,6.7461
1691382600000,262419,262430,262410,262430,1.8186
1691382900000,262441,262458,262419,262419,0.55
1691383200000,262490,262500,262419,262439,4.04
1691383500000,262490,262490,262490,262490,0.046
1691383800000,262459,262459,262459,262459,0.08
1691384100000,262460,262460,262460,262460,0.34
1691384400000,262450,262450,262450,262450,0.92
1691384700000,262440,262500,262256,262500,16.352
1691385000000,262340,262402,262220,262220,4.6904
