openTime,open,high,low,close,volume
1692824400000,243963,243986,243792,243985,5.4
1692824700000,243861,244123,243845,244000,7
1692825000000,244026,244026,244026,244026,0.4
1692825600000,244027,244027,244026,244026,1.4
1692826200000,243620,243628,243360,243487,4.2
1692826500000,243406,243838,243201,243837,6.4
1692826800000,243701,243701,243163,243433,9.2
1692827100000,243251,243337,241000,242226,244.2
1692827400000,242409,242409,240539,240723,37.9
1692827700000,241113,241250,240913,241250,8.2
1692828000000,241322,242260,241247,242149,21.2
1692828300000,242343,242866,242343,242488,12.9
1692828600000,242403,242681,242397,242681,8.2
1692828900000,242683,242683,242683,242683,0.2
1692829200000,242726,242798,242545,242798,9.2
1692829500000,242875,242875,242637,242637,0.6
1692829800000,242897,242898,242897,242898,1
1692830100000,242793,242997,242793,242978,4.4
1692830400000,242935,243426,242906,242906,16.2
1692830700000,242824,243044,242822,243044,12
1692831000000,242768,242887,242762,242887,2.4
1692831300000,242705,242974,242649,242901,11
1692831600000,242656,242846,242656,242846,1.6
1692832200000,242873,242906,242730,242839,3.4
1692832500000,242854,243892,242854,243330,75.3
1692832800000,243249,243415,242964,243156,30.2
1692833100000,243000,243134,242901,243134,4
1692833400000,243023,243023,242813,242813,6.6
1692833700000,242802,243058,242802,243058,1.4
1692834000000,243080,243204,243080,243204,0.6
1692834300000,243109,243224,243100,243101,4.8
1692834600000,243171,243171,242844,243006,13.8
1692834900000,243005,243050,243005,243050,5.8
1692835200000,242991,243322,242990,243241,14.2
1692835500000,243341,243669,243126,243619,74.3
1692835800000,243409,243526,243124,243339,31.4
1692836100000,243160,243277,242926,242926,12.6
1692836400000,242849,243210,242777,243146,20.2
1692836700000,243310,243310,242987,243194,8.4
1692837000000,243313,243440,243107,243193,3.6
1692837300000,243207,243911,243081,243507,17.4
1692837600000,243401,243401,243401,243401,0.2
1692837900000,243579,243579,243579,243579,0.6
1692838200000,243870,244015,243543,243543,5.4
1692838500000,243609,243610,243609,243610,1
1692838800000,243697,243697,243670,243670,1.6
1692839700000,243337,243497,243259,243283,2.8
1692840000000,243282,243286,242713,243286,24
1692840300000,243322,243322,243321,243321,1.8
1692840600000,243411,243644,243111,243111,7.8
1692840900000,243195,243196,243195,243196,1
1692841200000,243067,243183,242913,242913,5
1692841500000,243070,243070,242922,242965,0.8
1692841800000,242913,242941,242765,242941,1.6
1692842400000,242787,243048,242787,243048,1.2
1692842700000,243028,243127,243028,243034,1.2
1692843000000,243028,243028,242881,243014,3
1692843300000,243177,243177,243177,243177,0.2
1692843900000,243001,243193,243000,243165,3.6
1692844200000,243197,243376,243154,243374,3
1692844500000,243356,243377,243253,243253,0.6
1692844800000,243195,243195,243195,243195,0.4
1692845100000,243040,243040,243040,243040,0.6
1692845400000,243161,243240,242931,242931,9.3
1692845700000,242968,243017,242760,242851,3.8
1692846000000,242815,242815,242700,242811,1.4
1692846300000,242920,242920,242920,242920,0.4
1692846600000,242915,242918,242912,242918,2.2
1692846900000,243070,243214,242897,242975,8.4
1692847200000,243061,243130,243061,243130,2.6
1692847500000,242970,243227,242970,243227,0.6
1692847800000,243227,243294,243227,243294,0.8
1692848400000,243065,243065,243065,243065,1
1692848700000,243005,243005,243005,243005,0.6
1692849000000,243207,243242,243177,243177,4.8
1692849300000,243366,243366,243220,243332,3.6
1692849600000,243333,243383,243310,243313,2.8
1692849900000,243232,243268,243175,243268,0.8
1692850500000,243001,243001,243000,243000,0.4
1692850800000,243000,243000,242972,242972,1.4
1692851100000,243009,243155,242949,242949,1.4
1692851400000,243057,243362,243057,243352,3.2
1692851700000,243421,243552,243421,243552,2
1692852000000,243475,243587,243475,243587,1
1692852300000,243567,243686,243567,243686,1
1692852600000,243574,243575,243572,243575,1.4
1692853200000,243713,243800,243713,243751,1.8
1692853500000,243894,243894,243750,243750,5.2
1692853800000,243686,243900,243620,243780,33
1692854400000,243743,243772,243705,243705,1.8
1692855000000,243858,243870,243716,243716,1.8
1692855300000,243650,243706,243548,243668,2.8
1692855600000,243488,243761,243402,243711,8.2
1692855900000,243639,243639,243339,243339,1.6
1692856200000,243565,243590,243565,243590,0.6
1692856500000,243363,243363,243363,243363,0.2
1692856800000,243303,243303,243302,243302,0.8
1692857700000,243009,243015,242992,242992,3.4
1692858000000,243045,243177,243045,243177,4.6
1692858300000,243299,243299,243299,243299,0.4
1692858600000,243400,243727,243399,243399,16
1692858900000,243474,243828,243474,243828,6.6
1692859200000,243852,243852,243629,243629,1
1692859500000,243853,243853,243757,243757,0.4
1692859800000,243643,243644,243434,243434,7.2
1692860700000,243594,243595,243594,243595,1.2
1692861000000,243485,243485,243485,243485,0.4
1692861300000,243425,243741,243365,243741,7.2
1692861900000,243521,243522,243521,243521,1.8
1692862500000,243506,243592,243344,243592,2.8
1692862800000,243617,243618,243440,243480,4.2
1692863100000,243605,243606,243605,243606,0.4
1692863700000,243457,243709,243457,243709,1.8
1692864000000,243778,243778,243529,243631,3.8
1692864900000,243518,243518,243517,243517,0.4
1692865200000,243361,243519,243257,243257,3.8
1692865500000,243190,243202,243189,243191,0.8
1692865800000,243088,243302,242892,243302,7.2
1692867000000,243034,243072,242971,243046,1.6
1692867300000,243181,243500,243159,243500,11
1692867600000,243514,243869,243502,243869,6.6
1692867900000,243718,244000,243545,244000,10
1692868200000,243902,243922,243657,243657,24.7
1692868500000,243668,243791,243203,243469,4.8
1692868800000,243311,243547,243311,243547,0.4
1692869100000,243371,243412,243222,243222,6.8
1692869400000,243304,243304,243304,243304,0.2
1692869700000,243193,243193,242948,242980,2
1692870000000,242999,243000,242880,242999,9
1692870300000,243000,243000,242647,242683,5.6
1692870600000,242639,242744,242605,242605,0.6
1692871200000,242603,242745,242541,242541,3
1692871500000,242675,242800,242675,242800,1.4
1692871800000,242838,242838,242800,242800,1
1692872400000,243000,243000,243000,243000,0.2
1692872700000,243000,243000,243000,243000,3
1692873900000,243005,243005,242896,242977,1.8
1692875100000,243246,243246,243145,243145,1
1692875400000,243394,243394,243384,243384,0.4
1692875700000,243600,243600,243486,243486,0.4
1692876000000,243540,243563,243487,243563,1.2
1692876900000,243533,243769,243452,243452,2.4
1692877200000,243458,243648,243458,243648,0.4
1692877500000,243628,243649,243519,243522,5.2
1692877800000,243221,243227,243061,243061,3.1
1692878100000,243287,243288,243287,243288,1
1692878400000,243037,243037,242762,242955,11.3
1692878700000,242934,242934,242867,242867,2.4
1692879300000,242841,242841,242840,242840,0.7
1692879600000,242895,243029,242894,243029,1
1692879900000,243238,243299,243165,243166,7.3
1692880200000,243106,243300,243106,243272,7.1
1692880500000,243213,243352,243213,243247,1.6
1692880800000,243511,243552,243450,243552,3.4
1692881400000,243526,243666,243426,243426,4.8
1692881700000,243392,243507,243392,243420,6.8
1692882000000,243408,243408,243408,243408,0.2
1692882300000,243460,243461,243460,243461,0.4
1692882600000,243273,243273,243116,243116,0.4
1692882900000,242995,243169,242988,243002,1.2
1692883200000,243074,243075,242817,242875,8
1692883500000,242878,243044,242786,243034,5
1692883800000,242894,242894,242661,242669,5.4
1692884100000,242945,243104,242866,242970,6.3
1692884400000,242745,242759,242745,242759,1.4
1692884700000,242574,242632,242300,242361,7.2
1692885000000,242498,242500,242451,242451,2.2
1692885600000,242459,242459,242459,242459,0.2
1692885900000,242438,242438,242000,242000,4
1692886200000,242011,242028,241808,241905,5.2
1692886500000,241952,241952,241184,241399,23.1
