openTime,open,high,low,close,volume
1692829200000,0.308,0.308,0.306,0.306,44200
1692829800000,0.31,0.315,0.31,0.315,320000
1692831000000,0.31,0.31,0.306,0.306,50000
1692837600000,0.31,0.313,0.31,0.313,10000
1692838200000,0.313,0.313,0.313,0.313,46
1692838500000,0.308,0.313,0.307,0.313,41912
1692838800000,0.314,0.315,0.314,0.315,97668
1692840000000,0.314,0.314,0.314,0.314,4000
1692841200000,0.314,0.314,0.314,0.314,2000
1692848700000,0.314,0.314,0.314,0.314,700
1692849000000,0.314,0.314,0.314,0.314,80
1692849600000,0.314,0.316,0.314,0.316,190180
1692850200000,0.316,0.316,0.316,0.316,2000
1692851100000,0.315,0.315,0.315,0.315,200
1692852300000,0.315,0.316,0.315,0.316,62800
1692855000000,0.316,0.316,0.316,0.316,40
1692857700000,0.316,0.316,0.316,0.316,199910
1692864900000,0.316,0.316,0.316,0.316,6000
1692869700000,0.317,0.317,0.317,0.317,60
1692873000000,0.316,0.316,0.316,0.316,40
1692881100000,0.317,0.32,0.317,0.32,70000
1692882000000,0.32,0.32,0.32,0.32,3334
1692883800000,0.32,0.32,0.32,0.32,60000
1692884400000,0.32,0.32,0.32,0.32,200
1692886200000,0.32,0.32,0.32,0.32,16466
1692886500000,0.321,0.321,0.321,0.321,3000
1692886800000,0.321,0.321,0.321,0.321,360
1692889200000,0.317,0.317,0.317,0.317,140
1692890400000,0.317,0.317,0.316,0.316,20000
1692891600000,0.317,0.317,0.316,0.316,60978
1692892500000,0.321,0.321,0.316,0.316,43800
1692892800000,0.316,0.316,0.316,0.316,40674
1692893100000,0.316,0.316,0.314,0.314,60000
1692897300000,0.318,0.318,0.318,0.318,2000
1692897600000,0.318,0.318,0.318,0.318,3040
1692903600000,0.314,0.314,0.314,0.314,700
1692907200000,0.318,0.321,0.311,0.311,102276
1692908100000,0.311,0.311,0.311,0.311,200
