openTime,open,high,low,close,volume
1691183100000,1009,1009,1000,1000,60
1691183400000,1009,1009,1009,1009,0.2
1691184900000,1015,1018,1015,1018,3
1691186400000,1029,1029,1029,1029,0.2
1691187900000,1025,1025,1025,1025,0.2
1691202000000,1024,1024,1024,1024,5.8
1691207700000,1025,1025,1025,1025,90
1691208000000,1025,1025,1025,1025,54.7
1691213700000,1028,1028,1028,1028,1
1691214300000,1029,1029,1029,1029,10
1691215500000,1030,1033,1030,1033,18
1691223000000,1032,1033,1032,1032,28.8
1691224500000,1023,1023,1023,1023,0.8
1691226000000,1034,1034,1034,1034,11.2
1691226600000,1034,1034,1034,1034,40
1691226900000,1034,1034,1034,1034,20
1691228700000,1026,1026,1026,1026,0.4
1691230200000,1026,1026,1026,1026,0.2
1691232300000,1034,1034,1034,1034,1.4
1691233200000,1034,1034,1034,1034,600
1691238000000,1031,1031,1018,1018,505
1691239500000,1034,1034,1034,1034,0.2
1691249100000,1033,1033,1033,1033,0.2
1691253900000,1028,1028,1028,1028,20
1691257200000,1030,1030,1030,1030,0.2
1691258400000,1030,1030,1030,1030,0.2
1691260200000,1033,1033,1033,1033,2
