openTime,open,high,low,close,volume
1692651600000,9780,9780,9780,9780,2.96
1692652800000,9779,9779,9741,9779,20.3
1692653400000,9780,9781,9780,9781,21
1692653700000,9800,9800,9800,9800,2
1692654000000,9816,9816,9816,9816,1.5
1692654600000,9806,9806,9806,9806,20
1692657300000,9800,9800,9753,9753,0.8
1692658200000,9786,9786,9786,9786,10
1692659100000,9764,9764,9760,9760,40.85
1692659400000,9785,9785,9771,9771,39
1692661500000,9810,9810,9810,9810,0.2
1692662100000,9786,9786,9786,9786,1
1692662400000,9800,9871,9800,9871,53.6
1692663300000,9783,9783,9782,9782,4.2
1692665700000,9788,9790,9788,9790,39.4
1692666000000,9790,9790,9790,9790,1
1692666600000,9792,9792,9792,9792,1
1692666900000,9795,9795,9790,9790,8.08
1692667500000,9790,9790,9752,9752,73.16
1692667800000,9784,9784,9784,9784,3.78
1692669300000,9788,9800,9788,9800,5.8
1692670200000,9795,9795,9795,9795,0.2
1692671700000,9795,9795,9760,9760,4
1692673200000,9760,9760,9733,9733,67.27
1692673500000,9763,9763,9763,9763,0.2
1692674700000,9761,9761,9761,9761,0.96
1692675600000,9701,9701,9699,9699,3.71
1692676200000,9699,9699,9699,9699,3.98
1692676500000,9699,9741,9699,9741,1.5
1692677400000,9692,9692,9689,9689,3.5
1692677700000,9688,9688,9688,9688,2.27
1692680100000,9661,9661,9661,9661,1
1692681900000,9685,9685,9685,9685,7
1692682200000,9685,9691,9685,9691,45.95
1692683700000,9691,9691,9691,9691,1
1692685200000,9695,9695,9695,9695,1.02
1692685800000,9699,9701,9699,9701,23.52
1692687900000,9701,9701,9701,9701,1.1
1692688500000,9701,9717,9701,9717,106
1692693000000,9686,9686,9686,9686,1
1692693300000,9683,9683,9683,9683,0.31
1692694500000,9672,9672,9672,9672,1
1692696000000,9674,9674,9674,9674,65
1692700200000,9677,9681,9677,9681,10.25
1692702000000,9681,9681,9681,9681,2
1692703800000,9681,9685,9681,9685,1.2
1692704100000,9676,9676,9676,9676,1
1692704700000,9660,9660,9660,9660,1
1692706200000,9677,9685,9677,9685,237.8
1692706500000,9686,9686,9686,9686,54.56
1692706800000,9693,9693,9693,9693,0.2
1692707400000,9694,9694,9694,9694,0.61
1692708300000,9694,9694,9694,9694,0.2
1692710100000,9640,9640,9640,9640,10
1692710700000,9642,9643,9642,9643,4.2
1692711000000,9640,9640,9614,9614,50
1692711600000,9642,9642,9642,9642,2
1692711900000,9653,9653,9653,9653,10
1692712500000,9622,9622,9612,9612,46
1692713700000,9658,9659,9658,9659,39.7
1692714000000,9678,9678,9678,9678,5
1692715500000,9662,9662,9610,9610,1.2
1692717000000,9600,9600,9578,9578,74.2
1692717300000,9621,9621,9621,9621,2.08
1692718200000,9647,9647,9647,9647,0.7
1692718800000,9615,9643,9601,9601,62.04
1692719400000,9618,9618,9618,9618,1.03
1692720900000,9620,9623,9620,9623,4.12
1692721800000,9589,9589,9565,9565,8.23
1692722400000,9633,9633,9633,9633,1
1692723600000,9606,9606,9606,9606,8
1692723900000,9622,9622,9622,9622,6
1692724200000,9581,9581,9581,9581,10
1692724500000,9580,9580,9580,9580,6
1692725400000,9500,9503,9500,9500,27.06
1692725700000,9499,9499,9450,9450,8.2
1692726000000,9451,9451,9451,9451,4.1
1692726300000,9452,9452,9411,9411,50.49
1692726600000,9449,9453,9449,9453,4.2
1692727200000,9469,9469,9469,9469,4
1692727500000,9410,9410,9388,9400,41.45
1692727800000,9401,9404,9401,9404,38.74
1692728400000,9390,9390,9383,9383,7
1692729900000,9490,9490,9490,9490,0.8
1692732900000,9437,9437,9437,9437,0.1
1692733800000,9395,9396,9395,9396,6.4
1692734400000,9362,9365,9362,9365,0.8
1692734700000,9381,9390,9381,9390,6.7
1692735300000,9390,9390,9369,9369,16.6
1692736800000,9372,9400,9372,9400,1
