openTime,open,high,low,close,volume
1691010000000,12545,12585,12540,12584,38
1691010300000,12582,12586,12559,12559,82
1691010600000,12562,12562,12528,12541,32
1691010900000,12523,12523,12506,12506,24
1691011200000,12541,12545,12541,12545,8
1691011500000,12529,12590,12529,12590,14
1691011800000,12585,12586,12585,12586,32
1691012100000,12585,12585,12585,12585,2
1691012400000,12596,12617,12596,12617,106
1691012700000,12551,12591,12549,12591,22
1691013300000,12609,12609,12606,12606,4
1691013600000,12591,12606,12591,12606,10
1691014500000,12595,12595,12583,12583,6
1691015100000,12569,12577,12569,12576,21
1691015400000,12564,12564,12533,12535,31
1691015700000,12549,12549,12538,12538,15
1691016000000,12543,12543,12543,12543,2
1691016300000,12522,12530,12511,12525,30
1691017200000,12503,12536,12502,12536,54
1691017500000,12536,12537,12505,12505,36
1691018100000,12557,12557,12557,12557,2
1691019000000,12540,12569,12540,12569,6
1691020800000,12576,12576,12576,12576,4
1691021100000,12567,12567,12567,12567,2
1691021700000,12533,12577,12533,12577,14
1691022000000,12582,12582,12582,12582,10
1691022300000,12604,12607,12604,12607,14
1691024100000,12592,12592,12592,12592,2
1691024400000,12585,12586,12551,12580,19
1691024700000,12580,12580,12580,12580,20
1691025900000,12590,12603,12551,12603,124
