openTime,open,high,low,close,volume
1691269200000,178175,178175,178175,178175,0.002
1691270100000,179056,179152,179056,179152,3.248
1691276400000,179360,179360,179360,179360,0.03
1691277300000,178752,178752,178752,178752,1.35
1691277600000,178864,178912,178864,178912,0.03
1691278500000,178752,178752,178752,178752,0.001
1691279400000,179168,179168,179168,179168,0.001
1691283300000,180272,180272,180272,180272,0.22
1691284500000,179296,179296,179296,179296,0.002
1691288100000,179296,179296,179296,179296,0.004
1691289600000,180176,180176,180176,180176,1.2
1691290200000,178000,179984,178000,179984,0.016
1691292000000,178000,178000,176501,176501,1
1691292300000,178207,178207,178207,178207,0.2
1691292600000,177679,177679,177679,177679,0.016
1691292900000,177424,177424,177424,177424,0.005
1691293200000,177392,177392,177392,177392,0.005
1691295300000,176501,176501,176501,176501,0.2
1691296500000,178191,178191,178191,178191,0.004
1691297100000,178655,178655,178655,178655,0.002
1691298000000,179391,179391,179391,179391,0.1
1691298300000,178975,178975,178975,178975,0.2
1691298600000,178847,178880,178847,178880,0.228
1691298900000,178960,179120,178960,179120,0.214
1691299200000,179115,179115,179115,179115,0.005
1691302800000,179115,179115,179115,179115,0.2
1691305500000,179280,179280,179280,179280,0.7
1691308800000,176529,176529,176529,176529,0.03
1691311800000,178523,178523,178523,178523,0.02
1691313300000,178523,178523,178523,178523,0.002
1691313900000,178523,179248,178523,179248,0.18
1691314200000,179104,179104,179104,179104,0.001
1691316000000,176501,176501,176501,176501,0.03
1691320200000,179000,179000,179000,179000,0.012
1691326500000,177648,177648,177552,177552,0.004
1691326800000,176500,176500,176500,176500,0.3
1691327400000,176928,176928,173680,173680,1.571
1691327700000,176895,176895,176831,176831,0.004
1691328000000,176831,176831,176831,176831,0.002
1691328900000,173720,173720,173552,173552,0.004
1691331300000,175887,175887,175887,175887,0.004
1691331900000,173216,173216,173200,173200,0.029
1691332800000,173000,173000,172936,172936,2.021
1691333400000,172864,172864,172248,172248,0.083
1691343900000,175311,175311,175311,175311,0.102
