openTime,open,high,low,close,volume
1690752600000,77.689,77.689,77.689,77.689,2
1690754400000,77.593,77.689,75.652,75.652,2016
1690755900000,77.689,77.69,77.689,77.69,200
1690758300000,76.501,76.501,76.5,76.5,1000
1690758600000,77.689,77.69,77.689,77.69,20
1690762500000,77.59,77.7,77.59,77.7,1000
1690764900000,77.79,77.79,77.79,77.79,4
1690765800000,76.501,76.501,76.5,76.5,400
1690766100000,76.501,76.501,76.5,76.5,2000
1690766400000,76.5,76.5,76.5,76.5,800
1690766700000,76.5,76.5,76.5,76.5,400
1690767300000,76.5,76.5,76.5,76.5,400
1690767900000,76.5,76.5,76.5,76.5,400
1690768800000,77.139,77.7,77.139,77.7,1000
1690770900000,76.501,76.501,76.5,76.5,2708
1690771500000,76.5,77.48,76.4,76.4,5582
1690771800000,77.22,78.988,77.22,78.988,3279
1690772400000,77.835,77.835,77.734,77.735,92
1690772700000,78.78,78.79,78.78,78.79,1000
1690773600000,76.655,77.47,75.752,77.47,800
1690774800000,75.753,75.753,75.752,75.752,40
1690776300000,77.08,77.08,77.08,77.08,2
1690778100000,77.157,77.157,77.157,77.157,20
1690778400000,75.753,75.753,75.752,75.752,104
1690782000000,75.753,75.753,75.752,75.752,182
1690785300000,75.752,75.752,75.652,75.652,60
1690788900000,75.653,75.653,75.652,75.652,400
1690790400000,75.652,75.652,75.5,75.5,366
1690790700000,75.5,75.5,75.5,75.5,260
1690791900000,75.418,75.418,75.4,75.4,74
1690793100000,75.401,75.401,75.2,75.2,800
1690795500000,75.26,75.26,75.26,75.26,50
1690798200000,76.339,78,76.339,78,2788
1690798500000,78,78.526,75.418,75.418,2425
1690799700000,76.654,76.654,76.654,76.654,34
1690800000000,76.381,78.03,76.38,78.03,114
1690800600000,77.965,78.03,77.965,78.03,154
1690803000000,76.654,78.03,75.6,78.03,250
1690805700000,77,77,77,77,1600
1690806000000,77,77,77,77,3360
1690806300000,76.654,76.654,76.654,76.654,26
1690809000000,76.754,76.754,76.754,76.754,4
1690809300000,77.91,77.91,77.91,77.91,20
1690809600000,77.91,79,76.754,78.456,346
1690809900000,78.24,78.34,78.24,78.34,200
1690811700000,78.33,78.5,78.33,78.5,300
1690813500000,76.755,76.755,76.05,76.05,350
1690814400000,76.654,76.654,75.95,75.95,3000
1690815300000,77.899,77.9,77.899,77.9,200
1690818300000,77.379,77.4,77.379,77.4,1600
