openTime,open,high,low,close,volume
1690492500000,81.965,81.965,81.965,81.965,900
1690493700000,82,82,82,82,100
1690497000000,82,82,82,82,20
1690497600000,81.985,82,81.985,82,46
1690497900000,81.985,81.985,81.985,81.985,45.4
1690503900000,83.675,83.92,82.525,82.525,6600
1690504500000,83.755,83.755,83.755,83.755,0.1
1690505400000,83.01,83.01,83.005,83.005,150
1690508100000,82.81,82.81,82.81,82.81,100
1690509600000,83,83,83,83,318.4
1690512900000,82.805,82.805,82.795,82.795,278.4
1690513800000,83,83.98,83,83.98,2120.3
1690515000000,84,84,84,84,2380.8
1690515300000,84,84,84,84,934
1690515600000,83.445,83.445,83.445,83.445,3
1690515900000,83.44,83.44,83.44,83.44,26.2
1690517700000,83.44,83.44,83.44,83.44,213.8
1690519800000,83.44,83.44,83.44,83.44,20
1690520400000,83.44,83.44,83.44,83.44,239.4
1690521600000,83.44,83.44,83.44,83.44,1526.8
1690521900000,83.005,83.005,82.995,82.995,41.7
1690523700000,82.5,82.5,82.5,82.5,22
1690524000000,82.5,82.5,82.4,82.4,1189
1690524300000,82.385,82.385,82.385,82.385,10
1690525800000,83,83,82.835,82.835,1166
1690526400000,82.82,82.82,82.82,82.82,6
1690526700000,82.815,82.815,82.75,82.75,458
1690527300000,82.65,82.65,82.625,82.625,80
1690527600000,82.625,82.625,82.52,82.52,1262.6
1690527900000,82.41,82.41,82.385,82.385,66.1
1690528200000,82.34,82.34,82.34,82.34,63
1690528500000,82.34,82.34,82.34,82.34,1
1690528800000,82.33,83.5,82.325,83.5,2380
1690529100000,82.535,82.535,82.435,82.435,1428.6
1690529400000,82.385,82.385,82.035,82.035,385
1690529700000,83,83,82.665,82.665,871.4
1690530000000,82.645,82.645,82.455,82.455,386.5
1690530300000,82.44,83.3,82.44,82.905,1988.8
1690530600000,82.78,82.78,82.695,82.695,546.7
1690530900000,82.69,83,82.655,83,985.5
1690531200000,83,83,82.8,82.8,1430.2
1690531500000,82.735,82.735,82.57,82.57,3023.1
1690531800000,82.565,82.565,82.565,82.565,90
1690532100000,82.555,82.555,82.49,82.5,2261.2
1690532400000,82.485,82.485,82.485,82.485,250
1690532700000,82.475,82.475,82.36,82.36,490.4
1690533000000,82.345,82.345,82.345,82.345,20.8
1690533300000,82.32,82.32,82.22,82.22,1914.5
1690533600000,82.05,82.05,82,82,638.6
1690533900000,82,82,82,82,3028.6
1690534200000,82,82,82,82,120
1690534500000,82,82,82,82,84
1690534800000,82,82,82,82,20
1690535100000,82,82,82,82,30.2
1690535400000,82.3,82.5,82.3,82.42,1324.5
1690535700000,82.36,82.36,82.29,82.29,766
1690536000000,82.205,82.205,82.085,82.085,619.9
1690536300000,82.08,82.5,82.08,82.48,101
1690536600000,82.5,82.5,82.49,82.49,14.9
1690537200000,82.425,82.425,82.425,82.425,94.5
1690537500000,82.49,82.5,82.49,82.5,47.4
1690537800000,82.24,82.24,82.24,82.24,600
1690538400000,82.2,82.2,82,82,86
1690538700000,82.038,82.038,82.038,82.038,227.4
1690539000000,82,82.88,82,82.88,1296.6
1690539300000,82.88,83,82.88,83,6717.2
