openTime,open,high,low,close,volume
1690752300000,366,366,366,366,0.4
1690753200000,366,366,366,366,1.2
1690753800000,362.047,362.047,362.047,362.047,210
1690755000000,365.294,365.294,365.294,365.294,50
1690757700000,365.388,365.388,365.388,365.388,0.4
1690758600000,366,367.288,366,367.288,10
1690758900000,367.649,367.821,367.649,367.821,577.2
1690759200000,368,368.447,368,368.447,88
1690759500000,369.037,369.037,369.037,369.037,20
1690764900000,370,371.944,370,371.944,1962.6
1690765200000,371.962,371.962,371.962,371.962,0.2
1690770900000,371.967,371.967,371.967,371.967,2.6
1690771200000,366.97,366.97,366.969,366.969,858
1690771500000,370.499,370.499,370.499,370.499,110.6
1690774800000,367.5,367.5,367.5,367.5,7.6
1690776300000,370.499,370.499,370.499,370.499,200.2
1690777800000,366.208,366.208,365.394,365.394,3.8
1690778400000,365.12,365.123,365.047,365.047,61.5
1690780500000,365.069,365.069,365.069,365.069,44
1690782300000,365.081,365.081,365.081,365.081,37.8
1690785000000,365.034,365.034,365.034,365.034,12.4
1690792800000,370,370,370,370,2
1690794600000,372,372,372,372,2
1690795200000,372.55,375,372.55,375,20
1690797000000,370.537,370.537,370.537,370.537,1.8
1690799100000,370,370,370,370,2
1690800000000,370,370,368.57,368.57,1
1690800600000,373.16,373.16,373.16,373.16,3.5
1690800900000,368.538,368.538,368.538,368.538,4
1690803000000,368,368,368,368,0.4
1690806000000,371.127,371.127,371.127,371.127,5
1690806300000,371.12,371.12,371.12,371.12,5.4
1690807200000,371.621,371.639,371.621,371.639,341.1
1690810200000,371.64,371.678,371.64,371.678,200
1690813200000,368,368,367,367,60
1690817100000,367,367,367,367,20
1690819200000,367,367,367,367,20
1690819500000,367,367,367,367,50
1690822500000,367,367,365,365,20
1690830000000,366.909,366.909,366.909,366.909,15
1690833300000,365.282,365.282,365.282,365.282,80
1690833600000,365.282,365.282,365,365,120
