openTime,open,high,low,close,volume
1691355600000,4.204,4.204,4.204,4.204,2000
1691356800000,4.239,4.239,4.239,4.239,2
1691360400000,4.239,4.249,4.239,4.249,9434
1691360700000,4.249,4.25,4.232,4.232,9422
1691362500000,4.25,4.25,4.25,4.25,200
1691364900000,4.217,4.262,4.208,4.262,306406
1691365200000,4.219,4.262,4.124,4.262,140664
1691365800000,4.21,4.21,4.21,4.21,10
1691367000000,4.24,4.27,4.24,4.27,392
1691367300000,4.27,4.27,4.27,4.27,4678
1691370000000,4.212,4.212,4.202,4.202,2350
1691372700000,4.27,4.27,4.27,4.27,9352
1691373000000,4.27,4.275,4.27,4.275,9338
1691373900000,4.275,4.28,4.275,4.28,4668
1691374200000,4.28,4.28,4.28,4.28,4650
1691375400000,4.28,4.28,4.28,4.28,4672
1691376300000,4.28,4.28,4.205,4.205,3346
1691376600000,4.279,4.279,4.279,4.279,2
1691377200000,4.279,4.3,4.279,4.3,28022
1691377500000,4.3,4.3,4.3,4.3,23204
1691377800000,4.3,4.3,4.3,4.3,4658
1691378400000,4.3,4.3,4.3,4.3,84490
1691379300000,4.3,4.31,4.3,4.31,18542
1691379600000,4.31,4.32,4.31,4.32,15676
1691379900000,4.32,4.32,4.32,4.32,3000
1691380200000,4.32,4.32,4.32,4.32,4606
1691380500000,4.32,4.339,4.291,4.339,49230
1691381400000,4.298,4.298,4.298,4.298,10280
1691383500000,4.35,4.359,4.35,4.359,13746
1691383800000,4.359,4.36,4.358,4.36,38330
1691384100000,4.36,4.361,4.334,4.361,22338
1691384700000,4.361,4.361,4.361,4.361,1864
1691385000000,4.369,4.369,4.369,4.369,2
