openTime,open,high,low,close,volume
1690664700000,22.579,22.579,22.57,22.57,4
1690665300000,22.5,22.5,22.42,22.42,228
1690665900000,22.5,22.52,22.5,22.52,4
1690666500000,22.42,22.42,22.42,22.42,200
1690666800000,22.46,22.46,22.46,22.46,60
1690667100000,22.47,22.47,22.47,22.47,80
1690667700000,22.42,22.42,22.42,22.42,4448
1690668000000,22.42,22.44,22.385,22.44,1810
1690668300000,22.48,22.48,22.48,22.48,6
1690669200000,22.47,22.48,22.47,22.48,1922
1690669800000,22.386,22.432,22.321,22.432,2236
1690670400000,22.452,22.456,22.452,22.456,1050
1690671600000,22.48,22.48,22.48,22.48,1600
1690672500000,22.49,22.49,22.49,22.49,10
1690673400000,22.41,22.41,22.41,22.41,446
1690674300000,22.41,22.48,22.41,22.48,842
1690674600000,22.351,22.351,22.302,22.302,14833
1690675500000,22.41,22.41,22.41,22.41,30
1690675800000,22.41,22.41,22.41,22.41,100
1690678500000,22.39,22.39,22.39,22.39,8
1690678800000,22.39,22.39,22.363,22.363,3554
1690679400000,22.37,22.47,22.37,22.47,2140
1690680300000,22.362,22.362,22.362,22.362,466
1690680600000,22.362,22.362,22.362,22.362,596
1690680900000,22.362,22.362,22.362,22.362,2
1690681200000,22.362,22.362,22.362,22.362,736
1690681500000,22.339,22.339,22.3,22.3,49442
1690682100000,22.255,22.255,22.225,22.236,2504
1690682400000,22.225,22.225,22.162,22.162,20552
1690682700000,22.17,22.17,22.17,22.17,960
1690683000000,22.157,22.157,22.101,22.101,174
1690683900000,22.175,22.23,22.175,22.23,8088
1690684200000,22.23,22.23,22.23,22.23,14
1690684800000,22.23,22.235,22.23,22.235,2000
1690685400000,22.235,22.249,22.235,22.249,268
1690686000000,22.23,22.23,22.23,22.23,6
1690686300000,22.11,22.11,22.11,22.11,870
1690686600000,22.28,22.28,22.28,22.28,6
1690686900000,22.3,22.3,22.3,22.3,8
1690687500000,22.3,22.3,22.3,22.3,260
1690687800000,22.25,22.25,22.25,22.25,22
1690688700000,22.27,22.27,22.27,22.27,290
1690689300000,22.25,22.25,22.25,22.25,400
1690689900000,22.13,22.13,22.13,22.13,6
1690692900000,22.111,22.111,22.111,22.111,80
1690693200000,22.13,22.13,22.13,22.13,608
1690694100000,22.18,22.293,22.18,22.293,444
1690695000000,22.151,22.151,22.151,22.151,2
1690696500000,22.15,22.15,22.106,22.106,2580
1690696800000,22.24,22.24,22.24,22.24,88
1690697100000,22.13,22.13,22.13,22.13,612
1690697400000,22.11,22.11,22.1,22.1,1934
1690697700000,22.11,22.11,22.11,22.11,90
1690698600000,22.144,22.144,22.144,22.144,10
1690698900000,22.1,22.1,22.045,22.045,2118
1690700400000,22.033,22.06,22.009,22.009,6764
1690701300000,22.014,22.014,22.014,22.014,6
1690701600000,22.014,22.086,22.014,22.085,25242
1690701900000,22.009,22.009,22,22,21262
1690702200000,22.03,22.03,22.03,22.03,2
1690702500000,22.03,22.056,22.03,22.056,8000
1690702800000,22,22,21.9,21.9,16386
1690703100000,22,22,22,22,2000
1690703400000,22,22,22,22,2000
1690703700000,22,22,21.9,21.9,2244
1690704000000,21.986,21.99,21.986,21.99,1040
1690704600000,21.99,21.998,21.99,21.99,2009
1690705500000,21.99,21.99,21.99,21.99,500
1690705800000,22.06,22.072,22.06,22.072,3211
1690707900000,22.15,22.15,22.15,22.15,900
1690708500000,22.12,22.149,22.12,22.149,2710
1690710000000,21.99,22.1,21.981,22.1,1001
1690710900000,22,22,21.908,21.961,9498
1690711500000,22.12,22.4,22.12,22.4,14130
1690711800000,22.47,22.8,22.47,22.599,24976
1690712100000,22.61,22.88,22.61,22.88,15662
1690712400000,22.88,22.94,22.88,22.94,11560
1690712700000,22.63,22.63,22.574,22.574,5626
1690713600000,22.781,22.781,22.781,22.781,1214
1690713900000,22.78,22.78,22.78,22.78,530
1690714200000,22.578,22.578,22.541,22.541,60
1690715400000,22.59,22.7,22.59,22.7,2000
1690716300000,22.6,22.6,22.6,22.6,400
1690716600000,22.541,22.541,22.541,22.541,888
