openTime,open,high,low,close,volume
1690491600000,99.686,99.785,99.684,99.7,18608
1690491900000,99.78,99.83,99.709,99.83,5922
1690492200000,99.845,99.9,99.701,99.9,2245
1690492500000,99.9,99.9,99.8,99.8,31418
1690492800000,99.8,99.835,99.75,99.75,31114
1690493100000,99.739,99.739,99.739,99.739,20
1690493400000,99.76,99.774,99.76,99.774,322
1690493700000,99.847,100.1,99.847,100.1,3064
1690494300000,100.06,100.1,100.031,100.05,8335
1690494600000,100.014,100.09,99.826,99.87,4082
1690494900000,99.878,99.952,99.8,99.952,18123
1690495200000,100,100.085,99.995,99.995,44423
1690495500000,99.981,100.005,99.801,99.808,31894
1690495800000,99.87,99.915,99.8,99.8,158
1690496100000,99.8,99.832,99.8,99.832,198
1690496400000,99.888,99.978,99.85,99.978,4086
1690496700000,99.96,100,99.959,99.96,4880
1690497000000,99.959,100.055,99.814,100.015,34174
1690497300000,100.025,100.045,99.85,100,9926
1690497600000,99.9,100.02,99.9,100.02,2616
1690498200000,100,100.009,99.785,99.785,14288
1690498500000,99.815,99.825,99.799,99.825,5566
1690498800000,99.777,99.777,99.7,99.7,4072
1690499100000,99.7,99.7,99.691,99.7,9150
1690499400000,99.71,99.71,99.71,99.71,1194
1690499700000,99.75,99.75,99.75,99.75,200
1690500000000,99.75,99.756,99.75,99.75,280
1690500300000,99.75,99.75,99.6,99.6,11626
1690500600000,99.631,99.68,99.631,99.68,9503
1690500900000,99.685,99.685,99.518,99.518,18678
1690501200000,99.56,99.569,99.56,99.569,2560
1690501500000,99.61,99.61,99.51,99.51,3725
1690501800000,99.535,99.535,99.535,99.535,6
1690502100000,99.51,99.51,99.51,99.51,226
1690502400000,99.5,99.5,99.45,99.45,10816
1690502700000,99.45,99.45,99.448,99.448,4212
1690503000000,99.545,99.6,99.527,99.6,4260
1690503300000,99.6,99.602,99.3,99.3,178800
1690503600000,99.4,99.739,99.4,99.739,9748
1690503900000,99.774,99.86,99.75,99.86,14862
1690504200000,99.859,99.86,99.855,99.86,29900
1690504500000,99.83,99.89,99.83,99.89,25460
1690504800000,99.9,100.2,99.9,100.2,5509
1690505100000,100.286,100.4,100.286,100.4,5510
1690505400000,100.26,100.273,100.26,100.273,1120
1690505700000,100.334,100.334,100.257,100.257,3996
1690506000000,100.138,100.138,100.021,100.021,4282
1690506300000,100.062,100.1,100,100.1,166010
1690506600000,100.001,100.023,99.89,100.023,12312
1690506900000,100.016,100.024,100.016,100.024,652
1690507200000,100.024,100.083,99.937,99.998,2082
1690507500000,99.997,100.009,99.95,100.009,8
1690507800000,100.043,100.145,99.99,100.057,6203
1690508400000,100.162,100.162,100.162,100.162,2
1690508700000,100.161,100.27,99.89,100.27,8187
1690509000000,100.328,100.328,100.15,100.15,1274
1690509300000,100.29,100.29,100.29,100.29,900
1690510200000,100.3,100.3,100.3,100.3,642
1690510500000,100.244,100.244,100.244,100.244,400
1690510800000,100.213,100.213,100.171,100.171,596
1690511100000,100.103,100.14,100.068,100.14,367
1690511400000,100.002,100.002,99.89,99.89,4984
1690511700000,99.919,99.919,99.801,99.81,11148
1690512000000,99.927,99.927,99.786,99.802,3912
1690512300000,99.786,99.839,99.786,99.839,157
1690512600000,99.85,99.88,99.85,99.88,2242
1690512900000,99.935,99.935,99.935,99.935,100
1690513200000,99.948,99.948,99.895,99.895,444
1690513500000,99.93,99.995,99.93,99.995,867
1690513800000,99.82,99.916,99.82,99.916,1274
1690514100000,99.92,99.92,99.501,99.799,7568
1690514400000,99.799,99.88,99.799,99.88,750
1690514700000,99.875,100.487,99.509,99.915,153998
1690515000000,99.948,100.5,99.939,100.397,55746
1690515300000,100.5,100.999,100.416,100.8,42320
1690515600000,100.804,100.804,100.286,100.331,25618
1690515900000,100.2,100.2,100.001,100.004,3996
1690516200000,100.034,100.145,100.034,100.145,5460
1690516500000,100.091,100.091,100,100.01,3018
1690516800000,100.035,100.067,99.765,99.765,62013
1690517100000,99.632,99.644,99.225,99.225,57661
1690517400000,99.225,99.225,99,99,35776
1690517700000,98.973,99.2,98.973,99.185,9349
1690518000000,99.2,99.23,99.191,99.21,7982
1690518600000,99.25,99.25,99.25,99.25,6412
1690518900000,99.29,99.29,99.21,99.217,4398
1690519200000,99.291,99.5,99.291,99.456,13143
1690519500000,99.419,99.419,99.321,99.321,1446
1690519800000,99.213,99.279,99.21,99.271,35214
1690520100000,99.299,99.325,99.299,99.325,9686
1690520400000,99.301,99.314,99.211,99.22,6600
1690520700000,99.21,99.261,99.21,99.261,7420
1690521000000,99.21,99.21,99.041,99.06,36548
1690521300000,99.07,99.195,99.07,99.195,3612
1690521600000,99.12,99.175,99.12,99.135,1310
1690521900000,99.137,99.25,99.137,99.25,53620
1690522200000,99.26,99.38,99.25,99.38,2438
1690522500000,99.3,99.4,99.3,99.3,158636
1690522800000,99.3,99.3,99,99,17544
1690523100000,98.993,99.205,98.993,99.173,58462
1690523400000,99.08,99.199,99,99.199,4758
1690523700000,99.199,99.201,99.198,99.201,3108
1690524000000,99.189,99.19,99.08,99.08,10406
1690524300000,99.099,99.1,99.099,99.1,4203
1690524600000,99.058,99.058,99.041,99.055,2721
1690524900000,99.07,99.08,98.83,98.83,12138
1690525200000,98.8,98.8,98.703,98.766,12934
1690525500000,98.766,98.8,98.74,98.796,4377
1690525800000,98.8,99.015,98.8,99.015,16772
1690526100000,99.01,99.061,99.01,99.06,10164
1690526400000,99.075,99.26,99.075,99.26,1351
1690526700000,99.209,99.209,99.058,99.12,4025
1690527000000,99,99.129,99,99,19614
1690527300000,98.945,98.963,98.8,98.85,11696
1690527600000,98.882,99.075,98.882,99.075,47571
1690527900000,99.048,99.105,98.97,99.105,2980
1690528200000,99.05,99.05,99.026,99.026,808
1690528500000,98.97,99.13,98.97,99.039,6727
1690528800000,99.049,99.071,98.703,98.853,10936
1690529100000,99,99.125,99,99.125,1076
1690529400000,99,99.03,98.86,99.03,1978
1690529700000,98.921,98.983,98.921,98.983,2250
1690530000000,98.994,99.198,98.994,99.198,46882
1690530300000,99.199,99.26,99.05,99.26,4985
1690530600000,99.079,99.079,99.052,99.079,2662
1690530900000,99.079,99.079,99.03,99.03,2404
1690531200000,99.03,99.03,98.843,99.03,4710
1690531500000,99.02,99.045,98.703,98.777,29826
1690531800000,98.913,98.924,98.911,98.911,8252
1690532100000,98.911,99.045,98.911,99.045,137800
1690532400000,99.045,99.045,99.045,99.045,29638
1690532700000,99.045,99.079,99.023,99.079,369688
1690533000000,99.079,99.26,99.079,99.26,239328
1690533300000,99.26,99.26,99.25,99.26,9202
1690533600000,99.26,99.331,99.26,99.269,153330
1690533900000,99.269,99.4,99.269,99.345,9642
1690534200000,99.33,99.399,99.115,99.342,39944
1690534500000,99.371,99.371,99.316,99.316,6000
1690534800000,99.4,99.497,99.337,99.351,15326
1690535100000,99.424,99.5,99.292,99.292,42478
