openTime,open,high,low,close,volume
1691355600000,89.104,89.346,89.104,89.234,63180
1691355900000,89.171,89.266,89.129,89.266,16560
1691356200000,89.228,89.307,89.186,89.307,17460
1691356500000,89.33,89.33,89.29,89.29,5320
1691356800000,89.34,89.55,89.28,89.28,279360
1691357100000,89.273,89.3,89.125,89.185,11160
1691357400000,89.2,89.2,89.089,89.089,4060
1691357700000,89.092,89.169,88.969,88.969,42140
1691358000000,89.048,89.05,88.911,89,74080
1691358300000,89.021,89.074,88.913,89.074,43400
1691358600000,88.987,88.987,88.151,88.42,232100
1691358900000,88.526,88.576,88.304,88.337,162620
1691359200000,88.324,88.681,88.324,88.554,162860
1691359500000,88.587,88.61,88.587,88.61,10100
1691359800000,88.694,88.808,88.678,88.707,27120
1691360100000,88.72,88.874,88.706,88.826,66040
1691360400000,88.8,88.899,88.768,88.849,28080
1691360700000,88.828,88.849,88.798,88.8,35440
1691361000000,88.841,88.85,88.8,88.85,18620
1691361300000,88.899,88.965,88.769,88.965,40960
1691361600000,88.964,89,88.837,88.837,59260
1691361900000,88.85,88.9,88.7,88.7,36000
1691362200000,88.693,88.742,88.575,88.616,47980
1691362500000,88.609,88.64,88.512,88.512,8280
1691362800000,88.512,88.629,88.512,88.585,5800
1691363100000,88.59,88.59,88.464,88.5,18440
1691363400000,88.536,88.596,88.5,88.527,96900
1691363700000,88.529,88.538,88.45,88.538,37680
1691364000000,88.632,88.673,88.632,88.67,11520
1691364300000,88.631,88.631,88.263,88.263,54620
1691364600000,88.318,88.348,88.008,88.099,156440
1691364900000,88.131,88.257,88.019,88.194,135080
1691365200000,88.194,88.194,88.082,88.1,77160
1691365500000,88.09,88.245,88.075,88.238,61660
1691365800000,88.243,88.37,88.215,88.37,46080
1691366100000,88.352,88.429,88.348,88.426,2480
1691366400000,88.316,88.629,88.316,88.455,176700
1691366700000,88.5,88.52,88.436,88.448,29260
1691367000000,88.53,88.693,88.525,88.693,36840
1691367300000,88.548,88.548,88.42,88.42,103360
1691367600000,88.441,88.49,88.371,88.425,35120
1691367900000,88.455,88.465,88.3,88.323,15440
1691368200000,88.343,88.343,88,88.016,240200
1691368500000,88.013,88.12,87.8,88.068,280740
1691368800000,88.067,88.345,87.951,88.345,134060
1691369100000,88.282,88.414,88.01,88.01,163280
1691369400000,88.01,88.048,87.862,88.005,42520
1691369700000,88.087,88.137,87.997,88.014,13360
1691370000000,87.926,88.18,87.926,88.112,146460
1691370300000,88.104,88.199,88.013,88.199,42860
1691370600000,88.199,88.697,88.168,88.426,214460
1691370900000,88.434,88.799,88.408,88.763,147480
1691371200000,88.717,88.943,88.569,88.781,165780
1691371500000,88.866,89.2,88.778,89.111,237820
1691371800000,89.105,89.116,88.702,88.702,84800
1691372100000,88.701,88.854,88.623,88.854,61960
1691372400000,88.779,88.78,88.526,88.526,31100
1691372700000,88.556,88.803,88.556,88.803,41020
1691373000000,88.757,88.8,88.433,88.433,18200
1691373300000,88.532,88.577,88.492,88.497,1180
1691373600000,88.609,88.63,88.479,88.479,3440
1691373900000,88.489,88.489,88.423,88.452,10980
1691374200000,88.445,88.549,88.3,88.377,71040
1691374500000,88.342,88.53,88.303,88.427,40300
1691374800000,88.427,88.427,88.336,88.363,20580
1691375100000,88.395,88.395,88.265,88.317,55820
1691375400000,88.33,88.435,88.327,88.403,26080
1691375700000,88.423,88.676,88.349,88.61,53980
1691376000000,88.624,88.8,88.624,88.7,66920
1691376300000,88.776,88.85,88.701,88.709,149180
1691376600000,88.821,88.999,88.77,88.82,96340
1691376900000,88.857,89.09,88.857,89.057,70600
1691377200000,88.991,89.109,88.8,88.817,49500
1691377500000,88.892,88.893,88.561,88.742,105540
1691377800000,88.71,88.722,88.639,88.643,31060
1691378100000,88.65,88.729,88.65,88.729,45600
1691378400000,88.729,88.761,88.644,88.731,9640
1691378700000,88.782,88.782,88.744,88.753,2180
1691379000000,88.664,88.664,88.607,88.607,3120
1691379300000,88.565,88.761,88.565,88.761,10640
1691379600000,88.761,88.807,88.71,88.8,56660
1691379900000,88.743,88.759,88.635,88.714,8260
1691380200000,88.666,88.772,88.666,88.702,1180
1691380500000,88.714,88.847,88.714,88.847,19560
1691380800000,88.807,88.91,88.731,88.833,152000
1691381100000,88.8,88.921,88.8,88.921,30640
1691381400000,88.921,89,88.886,88.95,129740
1691381700000,88.9,89.12,88.883,89.029,100280
1691382000000,88.995,89.115,88.905,89.035,75440
1691382300000,89.032,89.212,89.032,89.128,83100
1691382600000,89.217,89.226,89.021,89.021,3800
1691382900000,89.144,89.144,88.956,88.985,9880
1691383200000,88.951,88.983,88.848,88.952,170820
1691383500000,88.893,88.961,88.85,88.855,3820
1691383800000,88.861,88.872,88.85,88.85,1060
1691384100000,88.851,88.947,88.851,88.871,5040
1691384400000,88.879,89,88.81,88.81,82780
1691384700000,88.8,88.804,88.68,88.751,36220
1691385000000,88.742,88.822,88.708,88.822,1500
1691385300000,88.825,88.887,88.825,88.887,820
