openTime,open,high,low,close,volume
1691356500000,3.998,3.998,3.998,3.998,1020
1691358300000,3.998,3.998,3.998,3.998,500
1691358900000,3.99,3.99,3.961,3.983,21000
1691359200000,3.976,3.976,3.97,3.97,24000
1691359500000,3.995,3.995,3.995,3.995,60
1691360400000,3.989,3.989,3.989,3.989,1000
1691360700000,3.986,3.999,3.986,3.997,44
1691365500000,3.998,3.998,3.977,3.995,1030
1691366400000,3.993,3.999,3.993,3.999,30000
1691367600000,3.977,3.977,3.977,3.977,46
1691367900000,3.988,3.988,3.988,3.988,5000
1691369400000,3.977,3.977,3.977,3.977,15032
1691370900000,3.989,3.989,3.989,3.989,20
1691373000000,3.981,3.981,3.981,3.981,56
1691373300000,3.977,3.977,3.973,3.973,4000
1691373600000,3.973,3.994,3.973,3.994,9108
1691375700000,3.963,3.963,3.963,3.963,1020
1691376000000,3.991,3.991,3.991,3.991,26
1691377500000,3.979,3.986,3.979,3.986,142
1691378100000,3.991,3.991,3.991,3.991,100
1691378400000,3.983,3.984,3.983,3.984,5200
1691379000000,3.984,3.984,3.984,3.984,2000
1691379300000,3.961,3.965,3.954,3.965,4036
1691379600000,3.954,3.955,3.95,3.95,60080
1691380200000,3.95,3.992,3.94,3.962,16448
1691380500000,3.986,3.986,3.97,3.97,2062
1691380800000,3.97,3.97,3.97,3.97,3578
1691381400000,3.953,3.953,3.937,3.937,8102
1691381700000,3.95,3.993,3.95,3.993,6590
1691382600000,3.975,3.975,3.975,3.975,60
1691382900000,3.982,3.982,3.982,3.982,600
1691383200000,3.952,3.952,3.951,3.952,800
1691383500000,3.955,3.955,3.955,3.955,2000
1691383800000,3.96,3.96,3.956,3.956,49300
1691384400000,3.953,3.955,3.953,3.955,60
1691384700000,3.955,3.955,3.955,3.955,70
