openTime,open,high,low,close,volume
1685568000000,52.306,52.306,52.306,52.306,400
1685569800000,52.395,52.395,52.395,52.395,191
1685570700000,52.41,52.41,52.41,52.41,95
1685573400000,52.409,52.409,52.409,52.409,200
1685576100000,52.409,52.409,51.841,51.841,34
1685577300000,51.841,51.841,51.841,51.841,100
1685578800000,52.277,52.277,52.277,52.277,690
1685581800000,52.277,52.277,52.277,52.277,6000
1685582100000,52.277,52.277,52.277,52.277,1600
1685582400000,52.287,52.29,52.287,52.29,25
1685583900000,52.296,52.296,51.658,51.658,2000
1685584200000,51.658,51.819,51.658,51.819,30019
1685585400000,51.65,51.65,51.549,51.549,11439
1685586000000,51.755,51.755,51.755,51.755,600
1685586300000,51.771,51.773,51.771,51.773,300
1685586900000,51.774,51.777,51.774,51.777,41
1685587200000,51.777,51.777,51.776,51.776,13
1685587500000,51.506,51.506,51.5,51.5,790
1685587800000,51.5,51.5,51.3,51.3,400
1685588100000,51.3,51.3,51.3,51.3,120
1685588400000,51.267,51.267,51,51,3666
1685588700000,51.002,51.002,51,51,296
1685589000000,51,51.033,51,51.033,1428
1685589900000,51.036,51.036,51.036,51.036,20
1685590500000,51.035,51.035,51.035,51.035,2
1685591400000,50.8,50.8,50.8,50.8,10
1685591700000,50.991,50.991,50.991,50.991,100
1685592300000,51.03,51.03,51.03,51.03,143
1685592600000,51.029,51.029,51.029,51.029,1000
1685597700000,51.102,51.105,51.102,51.105,9793
1685598300000,51.123,51.123,50.943,50.95,9
1685599200000,51.09,51.09,51.09,51.09,100
1685600100000,50.907,50.907,50.907,50.907,2400
1685601900000,51.036,51.039,51.036,51.039,46
1685604600000,51.033,51.033,51.033,51.033,28
1685604900000,50.886,50.886,50.884,50.884,38
1685605200000,51.033,51.033,51.033,51.033,980
1685606100000,50.884,50.884,50.884,50.884,7990
1685606400000,50.884,50.885,50.884,50.885,32346
1685606700000,50.885,50.885,50.885,50.885,14
1685608500000,50.85,50.85,50.601,50.775,19605
1685610600000,50.844,50.844,50.844,50.844,5
1685610900000,50.846,50.846,50.846,50.846,1600
1685611200000,50.8,50.8,50.8,50.8,20
1685612700000,50.801,50.801,50.801,50.801,480
1685613900000,50.68,50.68,50.45,50.604,510
1685614200000,50.61,50.61,50.61,50.61,200
1685615700000,50.67,50.67,50.67,50.67,4
1685616000000,50.669,50.669,50.669,50.669,126
1685616300000,50.669,50.669,50.669,50.669,100
1685617500000,50.739,50.772,50.739,50.772,6500
1685617800000,50.563,50.753,50.551,50.753,440
1685618700000,50.58,50.58,50.58,50.58,600
1685623500000,50.751,50.751,50.751,50.751,100
1685623800000,50.754,50.79,50.754,50.79,1015
1685624400000,50.825,50.825,50.825,50.825,90
1685624700000,50.825,50.832,50.825,50.832,90
1685627100000,50.858,50.858,50.858,50.858,200
1685627400000,50.602,50.619,50.56,50.619,1080
1685627700000,50.622,50.655,50.622,50.655,510
1685628300000,50.703,50.76,50.703,50.76,2996
1685628600000,50.76,50.772,50.76,50.772,20400
1685635500000,50.778,50.778,50.778,50.778,100
1685637900000,50.772,50.772,50.56,50.658,10120
1685638200000,50.961,50.961,50.961,50.961,27
1685638500000,50.976,50.997,50.976,50.997,2550
1685639400000,50.577,50.578,50.577,50.578,4500
1685640000000,50.963,50.976,50.963,50.976,3500
1685640300000,50.758,50.758,50.736,50.736,4142
1685641800000,50.91,50.91,50.91,50.91,500
1685644800000,50.921,50.921,50.921,50.921,200
1685646900000,51.069,51.069,51.069,51.069,300
1685647800000,50.9,50.9,50.55,50.55,218
1685650800000,50.957,50.957,50.957,50.957,16
1685652600000,50.957,50.957,50.957,50.957,120
