openTime,open,high,low,close,volume
1688072400000,6.44,6.44,6.44,6.44,200
1688072700000,6.422,6.422,6.419,6.419,7006
1688073000000,6.4,6.4,6.339,6.339,16000
1688073600000,6.444,6.444,6.444,6.444,160
1688073900000,6.461,6.461,6.461,6.461,2000
1688075400000,6.442,6.461,6.442,6.461,4020
1688075700000,6.463,6.463,6.463,6.463,20
1688076000000,6.44,6.44,6.44,6.44,300
1688076600000,6.451,6.451,6.451,6.451,400
1688076900000,6.439,6.439,6.439,6.439,170
1688077200000,6.456,6.456,6.456,6.456,34
1688077500000,6.461,6.461,6.454,6.454,5060
1688078100000,6.462,6.462,6.452,6.452,2920
1688078400000,6.457,6.457,6.457,6.457,6000
1688079600000,6.43,6.43,6.4,6.4,3142
1688080200000,6.4,6.4,6.38,6.38,3140
1688081400000,6.38,6.38,6.301,6.301,100000
1688081700000,6.322,6.39,6.3,6.39,30200
1688082000000,6.315,6.422,6.3,6.3,105220
1688082300000,6.377,6.377,6.377,6.377,5800
1688082600000,6.377,6.377,6.377,6.377,2020
1688082900000,6.377,6.377,6.315,6.377,41180
1688083200000,6.377,6.377,6.377,6.377,2000
1688083500000,6.377,6.377,6.377,6.377,197980
1688083800000,6.377,6.409,6.377,6.409,3200
1688084400000,6.409,6.445,6.409,6.445,13060
1688084700000,6.439,6.439,6.439,6.439,40
1688085900000,6.431,6.431,6.333,6.333,63000
1688086200000,6.404,6.419,6.404,6.409,2060
1688086500000,6.4,6.4,6.4,6.4,20
1688087100000,6.402,6.402,6.356,6.356,220
1688087400000,6.39,6.399,6.39,6.399,2000
1688087700000,6.364,6.364,6.364,6.364,600
1688088000000,6.334,6.334,6.251,6.251,24000
1688088300000,6.337,6.404,6.337,6.404,3000
1688088900000,6.382,6.382,6.382,6.382,2000
1688089200000,6.275,6.406,6.271,6.406,12600
1688089500000,6.342,6.342,6.342,6.342,356
1688090100000,6.375,6.375,6.375,6.375,2000
1688090400000,6.425,6.43,6.333,6.333,2144
1688091600000,6.404,6.42,6.404,6.42,1000
1688091900000,6.441,6.441,6.441,6.441,5680
1688092200000,6.441,6.441,6.441,6.441,2300
1688092500000,6.476,6.484,6.476,6.484,20000
1688092800000,6.484,6.562,6.484,6.562,95944
1688093100000,6.564,6.565,6.476,6.476,69594
1688093400000,6.5,6.576,6.5,6.576,40871
1688093700000,6.505,6.576,6.505,6.569,5976
1688094000000,6.515,6.515,6.438,6.438,54000
1688094300000,6.543,6.543,6.543,6.543,200
1688094600000,6.439,6.536,6.439,6.532,22020
1688094900000,6.529,6.575,6.529,6.575,20100
1688095200000,6.501,6.54,6.5,6.54,21494
1688095500000,6.5,6.597,6.5,6.597,14846
1688095800000,6.595,6.599,6.587,6.587,27557
1688096100000,6.509,6.509,6.5,6.5,60600
1688096400000,6.553,6.553,6.5,6.5,47978
1688096700000,6.553,6.553,6.553,6.553,660
1688097000000,6.552,6.552,6.548,6.548,4000
1688097600000,6.569,6.569,6.569,6.569,60
1688097900000,6.514,6.563,6.514,6.563,96020
1688098500000,6.499,6.55,6.496,6.496,112000
1688098800000,6.572,6.572,6.497,6.497,7400
1688099100000,6.558,6.558,6.553,6.553,740
1688099400000,6.55,6.55,6.55,6.55,6000
1688100300000,6.597,6.597,6.597,6.597,600
1688100900000,6.592,6.592,6.592,6.592,4000
1688101200000,6.496,6.569,6.479,6.569,22000
1688102100000,6.525,6.525,6.525,6.525,20
1688102700000,6.556,6.556,6.556,6.556,400
1688103000000,6.55,6.601,6.501,6.601,6160
1688103300000,6.601,6.601,6.585,6.585,1000
1688103600000,6.595,6.595,6.582,6.582,24000
1688103900000,6.516,6.582,6.516,6.582,4300
1688104500000,6.537,6.537,6.537,6.537,76
1688105700000,6.502,6.502,6.502,6.502,160
1688106000000,6.497,6.497,6.497,6.497,3090
1688106600000,6.489,6.489,6.489,6.489,20
1688106900000,6.489,6.489,6.489,6.489,800
1688107500000,6.476,6.476,6.422,6.422,12100
1688107800000,6.484,6.484,6.484,6.484,800
1688108400000,6.444,6.444,6.439,6.439,100000
1688108700000,6.431,6.431,6.357,6.372,98188
1688109000000,6.378,6.381,6.354,6.363,159963
1688109300000,6.476,6.483,6.476,6.483,600
1688109600000,6.405,6.491,6.344,6.344,283707
1688110500000,6.464,6.464,6.464,6.464,200
1688111100000,6.357,6.357,6.351,6.351,25846
1688112300000,6.454,6.454,6.454,6.454,5000
1688112600000,6.462,6.462,6.462,6.462,2000
1688113500000,6.404,6.404,6.37,6.37,121754
1688113800000,6.475,6.48,6.475,6.48,20000
1688114100000,6.404,6.404,6.378,6.388,69744
1688114400000,6.471,6.471,6.377,6.377,50100
1688114700000,6.476,6.476,6.476,6.476,140
1688115000000,6.406,6.488,6.377,6.488,124909
1688115600000,6.476,6.48,6.326,6.326,120507
1688115900000,6.448,6.459,6.35,6.35,83000
1688116200000,6.44,6.44,6.44,6.44,600
1688116800000,6.44,6.44,6.44,6.44,1000
1688117100000,6.439,6.439,6.439,6.439,20000
1688117400000,6.439,6.44,6.439,6.44,14200
1688117700000,6.44,6.479,6.44,6.479,16218
1688118000000,6.404,6.459,6.36,6.459,74569
1688118600000,6.443,6.443,6.436,6.436,10600
1688118900000,6.459,6.459,6.35,6.35,102000
1688119200000,6.438,6.438,6.438,6.438,6204
1688119500000,6.36,6.36,6.35,6.35,80000
1688119800000,6.371,6.371,6.353,6.356,87482
1688120100000,6.371,6.462,6.362,6.462,23320
1688120400000,6.373,6.373,6.373,6.373,163
1688121000000,6.46,6.46,6.46,6.46,1000
