openTime,open,high,low,close,volume
1686690900000,1222,1222,1222,1222,1
1686691800000,1224,1226,1224,1226,5
1686692100000,1226,1227,1226,1227,11.71
1686694500000,1227,1227,1227,1227,0.98
1686695700000,1225,1225,1223,1223,15.01
1686696000000,1223,1223,1222,1222,3.44
1686696600000,1223,1223,1223,1223,8
1686696900000,1218,1218,1218,1218,16.52
1686697200000,1218,1218,1218,1218,10.76
1686698400000,1219,1219,1219,1219,0.08
1686700500000,1219,1219,1219,1219,30.09
1686704400000,1219,1219,1218,1218,10.65
1686710400000,1221,1221,1221,1221,0.01
1686713400000,1221,1221,1221,1221,5
1686715200000,1223,1223,1223,1223,1
1686715500000,1219,1219,1219,1219,0.02
1686716400000,1219,1219,1219,1219,1.98
1686717000000,1218,1218,1218,1218,203.5
1686717600000,1222,1222,1222,1222,25
1686718200000,1222,1222,1222,1222,0.01
1686721800000,1222,1222,1218,1218,24.58
1686722400000,1218,1219,1218,1219,140
1686722700000,1219,1219,1219,1219,15
1686723000000,1217,1217,1209,1215,129.73
1686727200000,1214,1214,1214,1214,2
1686727800000,1212,1212,1204,1204,32
1686728400000,1209,1209,1209,1209,16.52
1686730500000,1209,1209,1209,1209,0.02
1686733500000,1217,1217,1217,1217,16.42
1686734100000,1212,1212,1212,1212,0.02
1686737100000,1218,1218,1218,1218,1.18
1686738600000,1219,1220,1219,1219,16
1686739200000,1220,1220,1220,1220,2
1686739800000,1220,1220,1220,1220,0.6
1686741600000,1220,1220,1220,1220,0.04
1686742500000,1219,1219,1219,1219,0.02
1686743400000,1219,1219,1219,1219,20
1686744000000,1220,1220,1220,1220,0.02
1686746400000,1219,1219,1219,1219,1.68
1686748200000,1219,1219,1218,1218,186.02
1686750000000,1219,1219,1219,1219,34.56
1686750600000,1215,1215,1215,1215,18.08
1686750900000,1215,1215,1215,1215,32.88
1686751500000,1214,1215,1213,1215,5.23
1686751800000,1215,1215,1215,1215,0.2
1686752700000,1214,1219,1214,1214,295.75
1686753600000,1214,1214,1214,1214,0.01
1686756600000,1217,1217,1217,1217,6
1686759300000,1216,1216,1216,1216,8
1686759600000,1220,1220,1220,1220,2.46
1686763800000,1220,1220,1220,1220,16.28
1686765300000,1220,1220,1220,1220,0.26
1686765600000,1220,1230,1220,1225,30.64
1686766500000,1228,1228,1228,1228,0.16
1686766800000,1223,1223,1223,1223,0.2
1686768300000,1228,1230,1228,1230,22.24
1686769200000,1227,1227,1227,1227,10
1686769800000,1227,1227,1227,1227,400.62
1686771000000,1232,1232,1232,1232,32.4
1686772200000,1227,1227,1227,1227,97.68
1686772500000,1227,1227,1227,1227,48.84
1686773100000,1223,1223,1209,1209,78.48
1686773700000,1209,1209,1209,1209,38.28
1686774600000,1210,1210,1208,1208,5.74
1686774900000,1207,1207,1204,1204,40
1686775200000,1205,1205,1205,1205,16.56
1686775500000,1204,1204,1199,1199,125.95
1686775800000,1198,1198,1189,1189,218.68
1686776100000,1189,1191,1189,1189,85.96
