openTime,open,high,low,close,volume
1685483100000,30.733,30.733,30.733,30.733,1778
1685483400000,30.733,30.737,30.733,30.737,18222
1685484300000,30.737,30.737,30.737,30.737,126
1685485500000,30.737,30.737,30.737,30.737,560
1685487000000,30.73,30.73,30.73,30.73,30
1685489700000,30.732,30.733,30.732,30.733,398
1685490000000,30.733,30.733,30.733,30.733,4
1685492700000,30.732,30.732,30.732,30.732,1000
1685493000000,30.731,30.733,30.731,30.733,9000
1685493300000,30.73,30.73,30.514,30.514,2002
1685495700000,30.735,30.735,30.588,30.588,64
1685496000000,30.588,30.588,30.588,30.588,1940
1685496900000,30.737,30.737,30.737,30.737,2754
1685497200000,30.737,30.737,30.737,30.737,726
1685498100000,30.737,30.737,30.737,30.737,2
1685503200000,30.735,30.735,30.735,30.735,10
1685508300000,30.515,30.515,30.378,30.378,4364
1685508900000,30.303,30.303,30.3,30.3,4316
1685509200000,30.3,30.3,30.3,30.3,1728
1685509500000,30.301,30.301,30.301,30.301,2020
1685509800000,30.301,30.301,30.3,30.3,142
1685510400000,30.3,30.3,30.3,30.3,266
1685511000000,30.3,30.3,30.3,30.3,400
1685511600000,30.3,30.301,30.3,30.301,496
1685511900000,30.3,30.3,30.02,30.02,2800
1685512200000,30.177,30.177,30.177,30.177,378
1685518200000,30.226,30.226,30.226,30.226,600
1685521500000,30.1,30.1,30.1,30.1,310
1685522400000,30.125,30.125,30.125,30.125,22
1685522700000,30.1,30.1,30,30,8000
1685523000000,30.109,30.109,29.928,29.928,901
1685531400000,30.001,30.001,30,30,600
1685532300000,30.038,30.038,30.038,30.038,800
1685533800000,30.037,30.037,30.037,30.037,18
1685541600000,30.03,30.03,29.9,29.9,200
1685541900000,29.9,29.9,29.686,29.686,100143
1685542800000,29.697,29.697,29.643,29.643,802
1685545200000,29.688,29.701,29.688,29.701,54
1685545500000,29.701,29.701,29.701,29.701,20
1685546700000,29.6,29.6,29.6,29.6,100
1685547300000,29.6,29.6,29.6,29.6,24
1685547900000,29.6,29.6,29.6,29.6,14
1685549100000,29.601,29.601,29.601,29.601,500
1685550900000,29.601,29.601,29.601,29.601,18
1685553600000,29.601,29.601,29.601,29.601,600
1685557800000,29.602,29.602,29.602,29.602,1400
1685558700000,29.61,29.61,29.61,29.61,8
1685564700000,29.637,29.637,29.637,29.637,600
1685566500000,29.637,29.637,29.637,29.637,2
