openTime,open,high,low,close,volume
1686259500000,27.674,27.714,27.674,27.714,30
1686260100000,27.333,27.333,27.333,27.333,5760
1686261000000,27.392,27.482,27.392,27.482,16
1686263700000,27.53,27.53,27.53,27.53,3701
1686273600000,27.53,27.53,27.53,27.53,1
1686274200000,27.54,27.54,27.54,27.54,100
1686276300000,27.44,27.44,27.44,27.44,2
1686276600000,27.442,27.442,27.442,27.442,1
1686277200000,27.44,27.44,27.44,27.44,840
1686279900000,27.452,27.452,27.452,27.452,1
1686280200000,27.452,27.452,27.452,27.452,1
1686282600000,27.452,27.46,27.452,27.46,30
1686283500000,27.46,27.46,27.46,27.46,1
1686288000000,27.494,27.52,27.494,27.52,30
1686290400000,27.522,27.64,27.5,27.5,10800
1686291300000,27.504,27.508,27.504,27.508,10413
1686291600000,27.512,27.518,27.512,27.518,287
1686299400000,27.52,27.52,27.52,27.52,20
1686300300000,27.52,27.52,27.52,27.52,120
1686305400000,27.52,27.52,27.52,27.52,800
1686310200000,27.52,27.526,27.52,27.526,100
1686311700000,27.534,27.544,27.534,27.544,10
1686312900000,27.45,27.45,27.44,27.44,1000
1686313800000,27.47,27.47,27.47,27.47,40
1686316800000,27.636,27.646,27.636,27.646,1500
1686319200000,27.654,27.656,27.654,27.656,145
1686320100000,27.66,27.664,27.66,27.664,1300
1686321300000,27.666,27.666,27.666,27.666,200
1686329100000,27.668,27.7,27.668,27.7,100
1686337800000,27.548,27.548,27.548,27.548,200
1686338700000,27.44,27.44,27.44,27.44,139
1686339900000,27.402,27.402,27.4,27.4,144
1686340500000,27.333,27.333,27.3,27.3,4811
1686340800000,27.304,27.304,27.304,27.304,6
1686341100000,27.312,27.328,27.312,27.328,200
