openTime,open,high,low,close,volume
1685998800000,15210,15210,15210,15210,0.033
1685999100000,15212,15218,15212,15218,5
1685999400000,15170,15170,15169,15170,1.992
1685999700000,15170,15170,15169,15169,1.994
1686000900000,15122,15122,15120,15120,1.1
1686001200000,15070,15070,15047,15047,20
1686003000000,15150,15191,15150,15191,4.2
1686003300000,15197,15197,15197,15197,0.02
1686003600000,15220,15220,15220,15220,12
1686004500000,15220,15220,15220,15220,0.38
1686005400000,15221,15221,15221,15221,0.1
1686005700000,15220,15220,15220,15220,2.82
1686006000000,15220,15220,15220,15220,1
1686006300000,15200,15200,15200,15200,2
1686007800000,15251,15268,15251,15268,1.57
1686008700000,15262,15268,15262,15268,0.39
1686009600000,15260,15260,15250,15251,7.64
1686012300000,15260,15291,15252,15291,7
1686013200000,15294,15294,15294,15294,0.5
1686013500000,15297,15300,15297,15300,4.66
1686013800000,15297,15297,15297,15297,21.34
1686014700000,15305,15315,15305,15315,8.3
1686016500000,15310,15310,15233,15233,16.6
1686022200000,15250,15313,15227,15313,16.69
1686023700000,15311,15311,15311,15311,20
1686027000000,15311,15311,15311,15311,20
1686028200000,15352,15361,15352,15361,2.77
1686035400000,15319,15319,15319,15319,0.02
1686036900000,15260,15260,15260,15260,4
1686037200000,15260,15260,15212,15212,3.128
1686039000000,15274,15274,15274,15274,0.02
1686039600000,15250,15250,15232,15232,17.21
1686045300000,15303,15303,15303,15303,0.26
1686052200000,15302,15302,15302,15302,0.18
1686053400000,15285,15285,15180,15180,5.05
1686053700000,15150,15150,15118,15118,8.999
1686055500000,15150,15210,15150,15210,0.74
1686056400000,15189,15189,15189,15189,6
1686057000000,15116,15116,15116,15116,0.28
1686057300000,15100,15100,15100,15100,2
1686057600000,15105,15105,15105,15105,0.123
1686057900000,15169,15179,15169,15179,19.23
1686058200000,15179,15179,15170,15170,1.4
1686058800000,15174,15174,15174,15174,2
1686059700000,15251,15300,15251,15300,22.544
1686060000000,15316,15352,15316,15352,44.08
1686060600000,15414,15450,15414,15450,60.44
1686060900000,15430,15444,15430,15444,41
1686062100000,15440,15450,15318,15318,55.374
1686062400000,15379,15379,15379,15379,1
1686062700000,15391,15400,15391,15400,5.04
1686063600000,15403,15403,15403,15403,4
1686064500000,15387,15387,15387,15387,0.6
1686070800000,15453,15500,15453,15500,51.07
1686071100000,15490,15500,15490,15500,26
1686072000000,15505,15505,15505,15505,2
1686075000000,15498,15498,15498,15498,0.2
1686077700000,15554,15554,15554,15554,0.482
1686078000000,15554,15554,15554,15554,0.058
1686078300000,15592,15592,15533,15533,0.138
1686080400000,15600,15600,15600,15600,2.21
1686081000000,15655,15701,15655,15701,14.272
1686081600000,15750,15868,15750,15868,7.115
1686081900000,15831,15831,15825,15825,40.722
1686082200000,15825,15900,15825,15900,47.938
1686082800000,15789,15789,15789,15789,1.5
