openTime,open,high,low,close,volume
1692910800000,27836,27848,27836,27848,9.99
1692911100000,27731,27731,27731,27731,0.02
1692914700000,27831,27900,27804,27900,36.68
1692915000000,28079,28079,28079,28079,0.02
1692915900000,28030,28030,28026,28026,2.96
1692916500000,28079,28247,28070,28247,8.59
1692916800000,28141,28150,28130,28130,5.86
1692919800000,28349,28349,28340,28340,0.06
1692920100000,28308,28308,28308,28308,0.25
1692921000000,28310,28320,28310,28320,2.1
1692921600000,28367,28375,28367,28375,1.2
1692921900000,28340,28340,28238,28238,2.31
1692922200000,28341,28341,28292,28292,1.109
1692924000000,28190,28190,28190,28190,2
1692928500000,28300,28300,28300,28300,0.02
1692928800000,28300,28300,28300,28300,1.98
1692930000000,28300,28300,28300,28300,1
1692932700000,28299,28299,28299,28299,0.6
1692933900000,28085,28085,27890,27890,3.67
1692934200000,28069,28069,28069,28069,0.02
1692936600000,28010,28010,28000,28000,8
1692936900000,28000,28000,28000,28000,2
1692937200000,27995,27995,27950,27950,0.78
1692937500000,27944,27944,27944,27944,0.02
1692937800000,27845,27845,27839,27839,0.144
1692939300000,27654,27654,27536,27536,17.06
1692939600000,27650,27653,27650,27653,14.6
1692939900000,27698,27960,27640,27960,13.689
1692942000000,27810,27810,27810,27810,0.2
1692943200000,27900,27900,27900,27900,0.02
1692948900000,27701,27824,27701,27824,0.52
1692950400000,27723,27730,27709,27709,2.052
1692950700000,27730,27730,27730,27730,0.06
1692952200000,27800,27949,27800,27949,0.68
1692959100000,27851,27851,27851,27851,0.12
1692961500000,27841,27841,27830,27830,0.08
1692961800000,27840,27840,27840,27840,0.06
1692967500000,27905,27905,27905,27905,0.04
1692971700000,27740,27740,27740,27740,2
1692972000000,27721,27721,27721,27721,5.15
1692972600000,27805,27805,27805,27805,1.02
1692972900000,27948,28000,27948,28000,0.66
1692973800000,27999,27999,27999,27999,0.02
1692981300000,27910,27910,27910,27910,0.4
1692982200000,27910,27910,27910,27910,1.6
1692987900000,27910,27910,27910,27910,0.5
1692988200000,27909,28000,27909,28000,0.58
1692988500000,28000,28000,28000,28000,0.24
1692988800000,28000,28000,28000,28000,0.8
1692989100000,28000,28173,28000,28173,6.84
1692989400000,28223,28223,28223,28223,1
1692989700000,28139,28139,28133,28133,5
