openTime,open,high,low,close,volume
1685826000000,16000,16000,16000,16000,0.1
1685828400000,15989,15989,15989,15989,2
1685829900000,16060,16060,16060,16060,1
1685830200000,16028,16028,16028,16028,0.2
1685830800000,16028,16028,16028,16028,1
1685832000000,16042,16042,16042,16042,4.2
1685832600000,16040,16040,16040,16040,0.6
1685833200000,16070,16070,16070,16070,2
1685834700000,16070,16070,16070,16070,0.2
1685836800000,16070,16115,16070,16115,1.2
1685837700000,16056,16056,16056,16056,0.2
1685838000000,16040,16040,16038,16038,8
1685838300000,16042,16042,16042,16042,0.4
1685838900000,16018,16018,16017,16017,9.4
1685844300000,16048,16057,16048,16057,6
1685852400000,16110,16110,16110,16110,2.2
1685852700000,16061,16066,16054,16054,11.9
1685853000000,16119,16165,16119,16165,10
1685853600000,16133,16133,16079,16079,0.4
1685859300000,16141,16141,16141,16141,1
1685860200000,16142,16142,16142,16142,3.8
1685860500000,16164,16164,16140,16140,1.8
1685860800000,16165,16165,16165,16165,2.6
1685861100000,16165,16166,16165,16166,2.6
1685862600000,16200,16214,16200,16214,2.2
1685863200000,16265,16265,16264,16264,7.2
1685863500000,16280,16280,16280,16280,1
1685864100000,16300,16313,16300,16313,5
1685864400000,16309,16309,16309,16309,0.1
1685864700000,16309,16309,16309,16309,3.5
1685865300000,16285,16300,16285,16286,2.7
1685865600000,16275,16275,16270,16270,17.4
1685865900000,16300,16300,16300,16300,2
1685870400000,16275,16344,16275,16293,9.9
1685871300000,16351,16351,16296,16296,24.5
1685871900000,16298,16298,16296,16296,4.7
1685872200000,16296,16296,16296,16296,1
1685872800000,16295,16379,16295,16379,23.8
1685873400000,16282,16282,16274,16274,2
1685877000000,16267,16267,16266,16266,10
1685881500000,16251,16251,16251,16251,1
1685884200000,16251,16251,16251,16251,0.1
1685884800000,16309,16309,16309,16309,0.2
1685885400000,16310,16310,16310,16310,1
1685886000000,16310,16310,16310,16310,10
1685886300000,16274,16274,16274,16274,0.1
1685886900000,16274,16274,16274,16274,0.5
1685889000000,16257,16257,16246,16246,14.5
1685889300000,16245,16245,16245,16245,9.8
1685889600000,16245,16280,16212,16212,45.2
1685890200000,16309,16339,16309,16339,20.4
1685896200000,16252,16252,16250,16250,42.2
1685896500000,16248,16249,16247,16247,5.9
1685897100000,16250,16250,16250,16250,1.8
1685898900000,16300,16353,16300,16353,42.4
1685900400000,16248,16248,16248,16248,0.2
1685904000000,16320,16339,16320,16339,2
1685906100000,16310,16310,16295,16295,10.4
1685912100000,16344,16344,16344,16344,7
