openTime,open,high,low,close,volume
1686949200000,15407,15407,15400,15400,7.6
1686949500000,15400,15450,15391,15391,8.6
1686949800000,15454,15477,15423,15426,31.8
1686950400000,15375,15375,15312,15312,23.3
1686952200000,15312,15312,15277,15277,9.8
1686952500000,15270,15270,15264,15264,8.7
1686954000000,15308,15308,15308,15308,1
1686954300000,15309,15327,15308,15308,10.4
1686954900000,15327,15343,15327,15343,17.2
1686955200000,15335,15370,15335,15357,25.6
1686956400000,15291,15352,15291,15352,11.8
1686956700000,15352,15352,15288,15288,0.4
1686959700000,15302,15302,15290,15290,2
1686967800000,15260,15260,15173,15173,12
1686968100000,15156,15156,15156,15156,0.1
1686969900000,15156,15156,15156,15156,2.2
1686972300000,15156,15156,15156,15156,1.5
1686973800000,15150,15165,15132,15165,1.8
1686975000000,15158,15159,15152,15152,9.8
1686975300000,15159,15159,15130,15130,0.4
1686975600000,15144,15144,15100,15100,101.1
1686976500000,15122,15174,15097,15097,4.1
1686976800000,15122,15167,15097,15122,8.9
1686977100000,15136,15181,15120,15150,7.5
1686977400000,15130,15130,15130,15130,0.1
1686978300000,15122,15177,15094,15094,12.7
1686978600000,15176,15183,15176,15183,14.1
1686978900000,15185,15185,15120,15120,0.4
1686979200000,15115,15115,15115,15115,4
1686979800000,15113,15113,15104,15104,15.1
1686980400000,15249,15432,15249,15401,86.4
1686980700000,15401,15437,15303,15303,63.4
1686981000000,15370,15373,15333,15333,6.3
1686981300000,15345,15361,15296,15361,19.1
1686981600000,15373,15373,15296,15296,10
1686981900000,15334,15339,15302,15302,11.1
1686982200000,15317,15317,15317,15317,0.2
1686982800000,15340,15345,15340,15345,0.6
1686983100000,15340,15340,15298,15298,0.4
1686984600000,15306,15306,15281,15281,0.4
1686985200000,15281,15281,15281,15281,0.4
1686985500000,15281,15281,15258,15258,0.3
1686986100000,15278,15278,15278,15278,0.1
1686986400000,15278,15278,15251,15251,0.3
1686987600000,15250,15255,15228,15228,1.9
1686987900000,15225,15228,15225,15228,1.2
1686988200000,15243,15243,15206,15206,0.8
1686989100000,15243,15243,15241,15241,0.4
1686989400000,15216,15243,15210,15210,1.4
1686990000000,15230,15239,15213,15213,0.7
1686990600000,15211,15211,15211,15211,1
1686991500000,15214,15227,15190,15190,2.3
1686991800000,15190,15209,15171,15171,1.6
1686992100000,15196,15196,15153,15153,0.3
1686993000000,15224,15232,15179,15179,6.3
1686993300000,15212,15212,15168,15169,0.7
1686993600000,15156,15156,15156,15156,0.2
1686993900000,15175,15176,15174,15176,12.2
1686994200000,15172,15187,15131,15131,11.2
1686995400000,15141,15141,15141,15141,0.8
1686996000000,15197,15197,15135,15135,0.3
1686997200000,15180,15180,15180,15180,3
1686997500000,15180,15180,15133,15133,0.3
1686997800000,15146,15179,15133,15133,1.4
1686999000000,15176,15176,15176,15176,0.6
1686999300000,15176,15176,15133,15133,0.4
1686999600000,15149,15160,15149,15160,5.8
1686999900000,15163,15163,15133,15133,0.4
1687000800000,15132,15174,15120,15120,3.6
1687002300000,15180,15182,15180,15182,6.1
1687002600000,15180,15180,15130,15130,0.4
1687003500000,15212,15212,15212,15212,0.2
1687003800000,15215,15215,15180,15180,0.3
1687004100000,15208,15208,15146,15146,0.9
1687006200000,15187,15187,15126,15126,0.8
1687007100000,15171,15193,15126,15126,8.7
1687008600000,15178,15178,15121,15121,1.2
1687011300000,15120,15120,15055,15119,25.1
1687012500000,15112,15112,15112,15112,3
1687015500000,15113,15113,15101,15101,10.2
1687016700000,15124,15124,15124,15124,4
1687018200000,15115,15115,15115,15115,2.6
1687023300000,15125,15125,15067,15067,0.4
1687035300000,15144,15144,15144,15144,9.8
