openTime,open,high,low,close,volume
1685998800000,3608763,3609400,3607089,3607599,1.2464
1685999100000,3607400,3607400,3604050,3604200,2.0894
1685999400000,3604000,3604200,3602001,3602150,2.185
1685999700000,3602001,3602200,3600000,3600001,4.8998
1686000000000,3600001,3600180,3595000,3596580,1.903
1686000300000,3596940,3602517,3596515,3601800,0.8442
1686000600000,3602517,3603417,3595000,3598200,0.808
1686000900000,3598400,3599100,3595096,3596400,0.6972
1686001200000,3597300,3604180,3597300,3600001,0.4124
1686001500000,3600540,3601620,3596600,3599640,2.5734
1686001800000,3600000,3603600,3598001,3599749,1.1641
1686002100000,3599749,3605998,3598601,3605218,1.6687
1686002400000,3605210,3607916,3605086,3607183,6.4533
1686002700000,3607181,3607923,3604639,3606796,0.7286
1686003000000,3606798,3607916,3606798,3607915,0.387
1686003300000,3607916,3609750,3607510,3609264,2.4758
1686003600000,3609263,3618360,3608258,3616904,2.2485
1686003900000,3616600,3616685,3614400,3616685,0.1599
1686004200000,3616052,3616800,3614724,3614724,0.9072
1686004500000,3616560,3624391,3616146,3623144,0.7557
1686004800000,3623144,3626820,3620401,3626820,0.7791
1686005100000,3627000,3627000,3621900,3622000,1.0039
1686005400000,3623800,3625266,3622000,3622000,1.0844
1686005700000,3622000,3626170,3622000,3623900,0.8712
1686006000000,3623000,3624840,3619502,3624603,7.9705
1686006300000,3624714,3625920,3622676,3624000,1.4605
1686006600000,3624200,3629160,3622602,3629160,2.9179
1686006900000,3628800,3632400,3620035,3628201,7.7503
1686007200000,3630876,3634920,3628201,3633404,1.5982
1686007500000,3633401,3642821,3633269,3641408,1.58
1686007800000,3642480,3644585,3638000,3638001,0.8215
1686008100000,3638000,3638001,3630500,3630500,5.0726
1686008400000,3630366,3633178,3627185,3627185,1.1198
1686008700000,3626500,3627587,3626000,3626200,0.1864
1686009000000,3626994,3626999,3624101,3624101,1.1312
1686009300000,3624102,3626540,3624102,3624103,0.7874
1686009600000,3624101,3624983,3623000,3624982,0.5018
1686009900000,3624983,3624983,3622862,3622862,0.639
1686010200000,3622750,3622750,3610000,3621034,3.6795
1686010500000,3621035,3623230,3620600,3622937,0.89
1686010800000,3622989,3623000,3620038,3623000,0.9876
1686011100000,3623000,3625378,3621200,3621200,1.273
1686011400000,3621200,3624806,3621200,3624806,0.475
1686011700000,3624806,3625900,3624806,3624976,0.184
1686012000000,3624976,3625680,3624000,3625680,0.7098
1686012300000,3625201,3625883,3624050,3624050,0.6704
1686012600000,3624050,3624050,3614980,3619969,3.746
1686012900000,3620000,3620000,3617514,3619800,1.4866
1686013200000,3618884,3619650,3616927,3616927,0.234
1686013500000,3617550,3617550,3615200,3615200,1.9134
1686013800000,3615200,3615200,3612800,3613680,0.8329
1686014100000,3613150,3614220,3613050,3613500,0.2863
1686014400000,3613500,3613500,3612000,3612001,0.2576
1686014700000,3612000,3612000,3608298,3608298,4.4492
1686015000000,3608299,3608299,3604464,3606606,1.5804
1686015300000,3607400,3609590,3605131,3606999,0.1268
1686015600000,3606373,3612600,3605484,3609980,1.189
1686015900000,3609989,3612199,3606600,3611199,1.0232
1686016200000,3607002,3608600,3607000,3608600,0.3314
1686016500000,3609179,3609179,3605622,3606120,0.2896
1686016800000,3606300,3606300,3601003,3602339,0.7292
1686017100000,3603800,3607966,3600732,3607893,0.6734
1686017400000,3607686,3607686,3605004,3605004,0.1094
1686017700000,3606400,3609180,3606400,3609180,0.1502
1686018000000,3609360,3616000,3609355,3616000,1.5866
1686018300000,3615624,3615889,3615624,3615883,0.1402
1686018600000,3616000,3616916,3616000,3616908,0.072
1686018900000,3618000,3622346,3618000,3619804,0.2698
1686019200000,3619999,3619999,3619199,3619457,0.4096
1686019500000,3619319,3625560,3617662,3618000,1.267
1686019800000,3619273,3619273,3619110,3619200,0.0204
1686020100000,3618750,3618750,3618750,3618750,0.0006
1686020400000,3619025,3619806,3619025,3619500,0.0478
1686020700000,3619501,3619501,3618000,3618000,0.0644
1686021000000,3617277,3622680,3616200,3616200,1.4359
1686021300000,3616800,3619350,3616550,3618450,0.0666
1686021600000,3617999,3617999,3616650,3616850,0.1176
1686021900000,3617250,3618750,3617050,3618700,0.8132
1686022200000,3619600,3619600,3615241,3616350,0.1172
1686022500000,3615241,3615799,3613647,3615499,0.2558
1686022800000,3615150,3615272,3615149,3615272,0.4566
1686023100000,3615320,3615750,3615150,3615750,0.5564
1686023400000,3615750,3615750,3615735,3615736,0.183
1686023700000,3615735,3616723,3615735,3616723,1.1898
1686024000000,3615750,3617850,3615750,3617191,0.0222
1686024300000,3617190,3619473,3615802,3619472,1.6218
1686024600000,3619472,3620000,3618151,3618151,0.706
1686024900000,3619016,3619492,3618602,3619492,0.0206
1686025200000,3619492,3621833,3619491,3621833,0.8244
1686025500000,3621940,3624107,3620951,3623000,0.7092
1686025800000,3621760,3625249,3621760,3624778,0.5518
1686026100000,3624778,3625925,3624740,3624740,0.3088
1686026400000,3624544,3625199,3623801,3624250,0.017
1686026700000,3624800,3625580,3621545,3624785,1.597
1686027000000,3622804,3626240,3622804,3626240,2.2852
1686027300000,3625293,3626718,3625151,3626650,0.649
1686027600000,3626649,3626734,3625050,3625059,0.0556
1686027900000,3625825,3625825,3625825,3625825,0.0202
1686028200000,3625653,3625653,3625652,3625652,0.0052
1686028500000,3624574,3624574,3621972,3622713,0.6038
1686028800000,3622350,3622350,3621972,3622181,0.0294
1686029400000,3622001,3622001,3621546,3621546,0.0978
1686029700000,3621546,3623940,3621546,3623940,0.0051
1686030000000,3621600,3625800,3621487,3625599,0.3092
1686030300000,3625450,3625891,3622000,3624600,0.2894
1686030600000,3624713,3624713,3622609,3622609,1.4774
1686030900000,3622610,3622610,3622200,3622200,0.2484
1686031200000,3622200,3622200,3620000,3620000,1.0546
1686031500000,3620000,3620000,3619001,3619001,0.8968
1686031800000,3619001,3620340,3619000,3620340,0.232
1686032100000,3620000,3620000,3619999,3619999,0.014
1686032400000,3620000,3621200,3620000,3621200,0.2116
1686032700000,3621200,3621579,3619900,3619900,0.0538
1686033000000,3619901,3619901,3619900,3619900,0.0054
1686033300000,3620000,3620000,3620000,3620000,0.0032
1686033600000,3619901,3621780,3616003,3620766,0.2887
1686033900000,3620600,3622800,3620600,3622200,0.8254
1686034200000,3621599,3621599,3618401,3619439,0.2742
1686034500000,3621384,3621384,3618408,3619537,0.8871
1686034800000,3619494,3620399,3615808,3616920,1.7508
1686035100000,3617460,3618355,3617460,3617599,0.1282
1686035400000,3617973,3617973,3617599,3617704,0.0484
1686035700000,3617599,3620800,3617599,3620800,1.0217
1686036000000,3621200,3621200,3620966,3620966,0.0782
1686036300000,3621780,3621780,3621780,3621780,0.0001
1686036600000,3621940,3621999,3621940,3621999,0.016
1686036900000,3621780,3621780,3618001,3618001,0.4506
1686037200000,3618001,3618050,3615700,3615700,0.4262
1686037500000,3616001,3616600,3610000,3610000,2.3858
1686037800000,3610259,3612767,3610259,3612767,0.2608
1686038100000,3611472,3611472,3611100,3611101,0.0296
1686038400000,3611101,3611384,3611101,3611200,0.2656
1686038700000,3611101,3611173,3611101,3611101,0.0364
1686039000000,3611101,3611101,3604741,3605997,1.779
1686039300000,3605200,3605300,3605055,3605055,0.501
1686039600000,3604989,3605000,3601970,3602001,0.814
1686039900000,3602048,3602950,3600003,3602164,0.3444
1686040200000,3602163,3603400,3600001,3603396,1.732
1686040500000,3602800,3602800,3602800,3602800,0.0088
1686040800000,3603350,3603396,3603300,3603300,0.0282
1686041100000,3603396,3603976,3600801,3603976,0.1061
1686041400000,3604000,3604950,3604000,3604850,0.0048
1686041700000,3604000,3605000,3601325,3601810,0.549
1686042000000,3600619,3604800,3600001,3604800,0.1362
1686042300000,3604800,3604800,3602001,3603797,0.144
1686042600000,3602400,3603546,3600001,3600001,0.346
1686042900000,3602600,3602600,3600000,3600001,3.0236
1686043200000,3600000,3600499,3600000,3600000,1.5368
1686043500000,3600001,3602160,3600000,3602160,0.0729
1686043800000,3603416,3604306,3603401,3603401,0.1377
1686044100000,3603801,3605000,3603801,3605000,0.2814
1686044400000,3605000,3606000,3605000,3606000,1.8737
1686044700000,3606291,3607920,3606291,3607920,0.0072
1686045000000,3607920,3608000,3607920,3608000,0.0004
1686045300000,3608000,3610000,3608000,3610000,0.6306
1686045600000,3609600,3609800,3609600,3609800,1.2684
1686045900000,3609800,3609999,3609800,3609999,0.668
1686046200000,3609871,3610080,3609871,3610080,0.1656
1686046500000,3611999,3613650,3611998,3613649,0.1658
1686046800000,3613647,3613936,3613642,3613936,0.0126
1686047100000,3613937,3614337,3613554,3613554,0.1638
1686047400000,3613599,3614680,3613599,3614680,0.0576
1686047700000,3613784,3613825,3613784,3613825,0.0728
1686048000000,3613000,3615090,3613000,3615090,0.0956
1686048300000,3614000,3615603,3614000,3615603,0.0346
1686048600000,3615602,3615602,3613600,3613600,0.1328
1686048900000,3614708,3614708,3612000,3612000,0.264
1686049200000,3611110,3613000,3611110,3612050,0.0584
1686049500000,3612300,3612300,3612300,3612300,0.4
1686049800000,3612001,3612001,3607213,3608395,0.5956
1686050100000,3608458,3608800,3606001,3606697,0.082
1686050400000,3607920,3609199,3606750,3607800,0.2392
1686050700000,3606708,3607150,3606554,3607100,0.0282
1686051000000,3607560,3607560,3605201,3606600,0.0516
1686051300000,3606350,3606350,3604521,3604850,0.2053
1686051600000,3604335,3604335,3600101,3600101,0.8454
1686051900000,3602160,3607748,3602160,3604400,1.3794
1686052200000,3604006,3607317,3604005,3605950,0.257
1686052500000,3605800,3606550,3605001,3606500,0.6514
1686052800000,3606999,3607300,3604005,3607246,1.0422
1686053100000,3605799,3605799,3603401,3605444,0.3552
1686053400000,3605443,3605443,3553560,3573359,21.0589
1686053700000,3574000,3610000,3572999,3603143,6.6575
1686054000000,3604000,3604000,3578760,3593000,2.2478
1686054300000,3593000,3599711,3589201,3593199,9.8149
1686054600000,3593060,3595350,3589000,3590000,0.4559
1686054900000,3588001,3588001,3580201,3583999,1.1624
1686055200000,3582799,3596760,3580050,3596760,0.8228
1686055500000,3596000,3601439,3591991,3594240,0.8754
1686055800000,3593400,3593400,3590000,3591750,1.162
1686056100000,3591285,3591285,3580786,3586860,1.4565
1686056400000,3586799,3589999,3586649,3588120,0.7625
1686056700000,3587399,3588480,3583000,3583000,0.859
1686057000000,3582000,3582719,3576413,3577600,0.4634
1686057300000,3577300,3578760,3567000,3574024,1.6684
1686057600000,3574911,3578800,3574911,3578800,0.0192
1686057900000,3578650,3585608,3577250,3583956,0.577
1686058200000,3581999,3582149,3576001,3576001,0.4658
1686058500000,3576001,3582000,3575000,3580001,0.85
1686058800000,3580001,3600000,3580001,3600000,3.2433
1686059100000,3600000,3612998,3599996,3610421,3.9299
1686059400000,3610001,3612048,3600051,3606300,1.0672
1686059700000,3607874,3621999,3607874,3617448,1.1934
1686060000000,3617449,3660000,3617449,3646001,7.3821
1686060300000,3646000,3650000,3635321,3650000,1.0178
1686060600000,3650000,3658000,3642000,3642840,1.1076
1686060900000,3642385,3643900,3635321,3635321,0.672
1686061200000,3634000,3645723,3630000,3644750,2.6378
1686061500000,3645269,3645269,3640000,3640690,0.076
1686061800000,3640040,3647949,3637860,3646015,0.4068
1686062100000,3647998,3654000,3647000,3647000,0.6462
1686062400000,3649599,3650000,3647954,3648800,0.3288
1686062700000,3650000,3658380,3646105,3648810,0.821
1686063000000,3646639,3652000,3646638,3649948,0.6936
1686063300000,3648718,3649900,3648201,3649800,0.3526
1686063600000,3650000,3651799,3645900,3646674,1.8124
1686063900000,3647000,3650500,3647000,3650500,0.5788
1686064200000,3650750,3657750,3646000,3646000,1.5986
1686064500000,3646599,3646599,3637115,3641594,0.9242
1686064800000,3641998,3642300,3639999,3640000,0.1142
1686065100000,3638231,3638231,3632561,3637199,1.2356
1686065400000,3636565,3640345,3636363,3636363,0.5018
1686065700000,3638200,3642501,3638200,3642501,0.2272
1686066000000,3641565,3643298,3641223,3643298,0.1252
1686066300000,3643999,3651000,3643999,3650498,0.6924
1686066600000,3649730,3655614,3644846,3647100,1.152
1686066900000,3648000,3652387,3648000,3648403,0.3626
1686067200000,3652000,3664091,3652000,3664091,1.4666
1686067500000,3660000,3662000,3653602,3661999,1.0782
1686067800000,3662000,3666349,3661175,3661175,0.7108
1686068100000,3660751,3660751,3659500,3659500,0.0172
1686068400000,3659401,3671724,3659401,3665000,12.3358
1686068700000,3668000,3668000,3666011,3666011,1.1394
1686069000000,3666799,3666799,3663422,3665999,0.3566
1686069300000,3662800,3663038,3658437,3663038,1.704
1686069600000,3659476,3663400,3659476,3660420,0.3894
1686069900000,3662400,3662400,3659350,3659350,0.498
1686070200000,3661948,3676999,3661948,3674521,3.854
1686070500000,3676660,3690000,3676660,3687800,2.3236
1686070800000,3687800,3694799,3678368,3680000,1.379
1686071100000,3680000,3685372,3679380,3680964,2.3545
1686071400000,3681999,3700000,3681999,3699730,4.1633
1686071700000,3697500,3703999,3694000,3703999,2.0316
1686072000000,3704000,3708000,3695600,3695600,1.9209
1686072300000,3698000,3734415,3698000,3731760,2.6474
1686072600000,3732201,3732201,3716777,3719998,2.249
1686072900000,3720000,3740000,3720000,3730699,1.7839
1686073200000,3734000,3736802,3732001,3733750,0.3928
1686073500000,3734407,3735750,3726360,3726360,0.3848
1686073800000,3726428,3735028,3726428,3729241,1.9382
1686074100000,3729000,3731240,3725000,3725000,1.0424
1686074400000,3725000,3729799,3722200,3722200,2.166
1686074700000,3722599,3727633,3722504,3727598,2.958
1686075000000,3727597,3734315,3727597,3733500,1.2941
1686075300000,3732841,3734581,3731601,3733021,0.4316
1686075600000,3732850,3733200,3732650,3733200,0.003
1686075900000,3733000,3735950,3732805,3735950,0.0052
1686076200000,3736000,3740000,3735720,3735720,0.0831
1686076500000,3734820,3734820,3730000,3730000,0.5439
1686076800000,3732000,3732850,3732000,3732850,0.061
1686077100000,3734000,3735230,3732550,3732550,0.004
1686077400000,3732000,3732000,3728340,3728340,0.634
1686077700000,3728426,3730300,3728426,3730300,0.098
1686078000000,3729783,3730500,3729060,3730050,0.1009
1686078300000,3730500,3731340,3730499,3731340,1.4742
1686078600000,3731599,3732000,3731599,3732000,0.413
1686078900000,3734000,3734976,3732553,3732599,0.0174
1686079200000,3733599,3760000,3733599,3756731,2.7064
1686079500000,3756044,3766540,3750000,3762000,3.9146
1686079800000,3761100,3763999,3754863,3755400,3.2198
1686080100000,3758000,3760600,3757465,3757465,0.148
1686080400000,3758049,3760000,3756420,3760000,0.7
1686080700000,3761648,3775999,3757707,3769800,4.5748
1686081000000,3769999,3798492,3769999,3794000,7.493
1686081300000,3794646,3796000,3784637,3784637,0.5505
1686081600000,3786600,3790000,3782400,3782400,0.5766
1686081900000,3783060,3793524,3783060,3793524,1.8014
1686082200000,3792405,3796000,3792400,3794040,0.9786
1686082500000,3794900,3797234,3784860,3784860,1.0846
1686082800000,3783864,3783864,3758982,3763912,4.2016
1686083100000,3764000,3773800,3764000,3773800,0.186
1686083400000,3771669,3771669,3764400,3767697,4.6336
1686083700000,3767650,3772801,3767201,3769400,1.268
1686084000000,3768000,3768000,3760200,3763000,1.1819
1686084300000,3763000,3769000,3763000,3767400,1.1121
1686084600000,3767400,3767550,3766545,3766545,0.0254
1686084900000,3767523,3767598,3765367,3765367,0.1398
