openTime,open,high,low,close,volume
1692392400000,3803600,3806448,3803600,3806448,0.0418
1692392700000,3806448,3809229,3806448,3808413,0.1608
1692393000000,3806993,3808700,3805000,3807799,1.034
1692393300000,3809150,3810550,3803100,3810550,3.1802
1692393600000,3814264,3814769,3814264,3814769,0.033
1692393900000,3814998,3814998,3810240,3810240,4.7724
1692394200000,3811000,3811000,3808000,3808000,0.2418
1692394500000,3808000,3810621,3805800,3808561,0.2552
1692394800000,3810431,3811394,3809382,3809382,0.1898
1692395100000,3808562,3808562,3805400,3806342,0.4134
1692395400000,3807008,3807008,3804546,3804546,0.0958
1692395700000,3804546,3804546,3802000,3803773,0.1378
1692396000000,3800715,3801190,3800715,3800715,0.0674
1692396300000,3805275,3806000,3804001,3804396,0.0762
1692396600000,3804001,3804589,3804001,3804589,0.465
1692396900000,3808565,3809778,3807195,3807195,0.0298
1692397200000,3806501,3806501,3804001,3804001,0.0696
1692397500000,3804000,3804069,3802557,3804069,0.0546
1692397800000,3805934,3805934,3804340,3804731,0.382
1692398100000,3807464,3807977,3807446,3807951,0.0392
1692398400000,3807951,3807951,3806380,3807516,0.5774
1692398700000,3808000,3810000,3808000,3808880,0.2236
1692399000000,3808881,3808881,3806456,3808191,0.076
1692399300000,3808192,3811244,3808192,3811244,0.124
1692399600000,3808192,3808192,3803913,3807999,0.6488
1692399900000,3807992,3809653,3807599,3808967,0.036
1692400200000,3808791,3808791,3804193,3804193,0.1896
1692400500000,3804001,3804001,3803201,3803201,0.1038
1692400800000,3803201,3803560,3803201,3803560,0.0246
1692401100000,3803301,3803301,3802500,3802500,0.0502
1692401400000,3802588,3802588,3802000,3802000,0.0508
1692401700000,3802001,3802195,3801110,3801849,0.4814
1692402000000,3801400,3801599,3800002,3801518,0.0984
1692402300000,3801433,3801434,3800269,3800999,0.5378
1692402600000,3801000,3805600,3801000,3805600,0.0812
1692402900000,3805799,3805986,3801200,3804987,0.3046
1692403200000,3804987,3804987,3804987,3804987,0.002
1692411000000,3805959,3805959,3800002,3803100,0.727
1692411300000,3801853,3804639,3801853,3804639,0.2149
1692411600000,3803960,3804921,3803960,3804921,0.1598
1692411900000,3804920,3808771,3804678,3808771,0.3098
1692412200000,3808766,3808873,3807074,3807980,0.4516
1692412500000,3807075,3809397,3802000,3809397,0.2882
1692412800000,3809378,3809389,3804545,3804545,0.0404
1692413100000,3808367,3808367,3807999,3807999,0.0332
1692413400000,3804664,3810000,3804547,3805860,0.1508
1692413700000,3806904,3806904,3804545,3804545,0.2414
1692414000000,3805808,3806894,3800100,3800100,3.099
1692414300000,3800101,3805470,3798500,3798500,5.3626
1692414600000,3802759,3803384,3796000,3799885,0.4418
1692414900000,3799582,3799950,3798000,3798000,0.0898
1692415200000,3795385,3795385,3780000,3790252,1.3129
1692415500000,3790301,3794280,3790301,3794280,0.3347
1692415800000,3794545,3794545,3790982,3794545,0.1402
1692416100000,3794545,3795941,3794545,3795941,0.2108
1692416400000,3794401,3794401,3794401,3794401,0.057
1692416700000,3794400,3794400,3792580,3792810,0.3565
1692417000000,3793020,3793020,3793020,3793020,0.0011
1692417300000,3793020,3794900,3793020,3794900,0.2534
1692417600000,3794900,3795793,3793650,3795793,0.2763
1692417900000,3795001,3795001,3794001,3794001,0.2284
1692418200000,3794000,3794000,3792550,3793833,0.431
1692418500000,3794298,3794298,3792552,3793020,0.17
1692418800000,3793440,3794545,3793440,3794506,0.0644
1692419100000,3792916,3792916,3792916,3792916,0.007
1692419400000,3794022,3795000,3794022,3795000,0.199
1692419700000,3795000,3799110,3795000,3799110,1.2392
1692420000000,3799110,3800000,3799110,3799500,0.1156
1692420300000,3799501,3800000,3799501,3799950,0.0509
1692420600000,3799950,3799950,3799838,3799839,0.1218
1692420900000,3799950,3800000,3799840,3800000,0.6206
1692421200000,3800000,3800000,3798000,3798048,0.3702
1692421500000,3798048,3799530,3798048,3799530,0.6227
1692421800000,3799109,3799530,3798867,3798867,0.1096
1692422100000,3798867,3798867,3796000,3797160,0.1954
1692422400000,3796403,3797640,3796403,3797640,0.3168
1692422700000,3798990,3798990,3796000,3796000,0.3194
1692423000000,3795002,3796666,3790001,3790001,0.9254
1692423300000,3790290,3790700,3790000,3790000,0.793
1692423600000,3788000,3790000,3785099,3785402,0.5683
1692423900000,3786719,3786949,3782358,3784648,2.1186
1692424200000,3784828,3784830,3782100,3782100,0.5314
1692424500000,3783090,3783360,3783090,3783359,0.4594
1692424800000,3783316,3784699,3783316,3784650,0.0674
1692425100000,3784650,3784830,3784650,3784830,0.0028
1692425400000,3785039,3786699,3785039,3785501,0.399
1692425700000,3785500,3785500,3783090,3783090,0.283
1692426000000,3783850,3783850,3782357,3782357,0.1872
1692426300000,3782357,3783950,3782356,3783950,0.4676
1692426600000,3783951,3786524,3783951,3786200,0.0926
1692426900000,3786895,3787755,3783680,3783680,0.248
1692427200000,3783679,3783679,3780000,3780000,0.7158
1692427500000,3780001,3782520,3779001,3782520,0.5701
1692427800000,3779000,3781649,3778000,3779370,0.2359
1692428100000,3781469,3781469,3774000,3776510,0.9294
1692428400000,3776511,3776511,3773001,3773327,0.2098
1692428700000,3775139,3777679,3774950,3774950,0.2822
1692429000000,3774950,3774950,3770000,3772600,0.4984
1692429300000,3772198,3772198,3771800,3772195,0.134
1692429600000,3772170,3772180,3772170,3772180,0.122
1692429900000,3772180,3772180,3770000,3770000,1.999
1692430200000,3770000,3777480,3770000,3777480,0.1706
1692430500000,3780184,3780184,3779228,3779228,0.2492
1692430800000,3779166,3780000,3779166,3779998,0.4678
1692431100000,3779998,3779998,3779998,3779998,0.2756
1692431400000,3779997,3779998,3779675,3779997,0.5656
1692431700000,3779998,3779999,3779998,3779998,0.3864
1692432000000,3779999,3780631,3779999,3780631,0.4436
1692432300000,3781677,3781677,3779600,3779600,0.4894
1692432600000,3782000,3787500,3782000,3787499,1.154
1692432900000,3787500,3792860,3787500,3792800,0.333
1692433200000,3792101,3792101,3790100,3790100,0.3438
1692433500000,3790001,3797559,3790001,3794000,0.1702
1692433800000,3793850,3796590,3791580,3791580,0.9326
1692434100000,3791580,3791580,3785016,3789002,1.0938
1692434400000,3789001,3791970,3784361,3784361,1.0101
1692434700000,3784550,3789240,3781949,3788675,0.2034
1692435000000,3788550,3788550,3785616,3785616,0.0368
1692435300000,3785003,3787493,3785003,3787493,0.0792
1692435600000,3786136,3786137,3784000,3784940,0.0652
1692435900000,3782086,3782894,3780059,3782852,1.0082
1692436200000,3782520,3782520,3782520,3782520,0.0498
1692436500000,3782520,3782520,3781863,3781864,0.477
1692436800000,3781863,3781863,3779342,3779342,0.8268
1692437100000,3780999,3785767,3780130,3781552,0.5482
1692437400000,3781551,3783724,3779318,3779318,0.2256
1692437700000,3780200,3781068,3776657,3781037,1.1336
1692438000000,3781106,3782553,3776077,3782553,0.8046
1692438300000,3784588,3787741,3784588,3787741,0.0672
1692438600000,3787741,3788761,3787741,3787999,0.1908
1692438900000,3788772,3788772,3785951,3787804,0.052
1692439200000,3786713,3787804,3786700,3787801,0.038
1692439500000,3787801,3787801,3787801,3787801,0.01
1692439800000,3787800,3787800,3777060,3786399,1.7858
1692440100000,3784349,3784349,3778805,3784153,0.0914
1692440400000,3783988,3783995,3783779,3783779,0.047
1692440700000,3784041,3787744,3784041,3786130,0.1292
1692441000000,3786131,3786131,3785256,3785256,0.1644
1692441300000,3786940,3786940,3785256,3785257,0.3292
1692441600000,3785400,3785448,3784163,3784163,0.2082
1692441900000,3784163,3784164,3784163,3784164,0.247
1692442200000,3784165,3784165,3783666,3783666,0.0726
1692442500000,3782672,3782672,3780576,3780576,0.1346
1692442800000,3782141,3782141,3782141,3782141,0.0002
1692443100000,3781764,3783663,3781751,3783586,0.024
1692443400000,3780845,3783901,3780845,3783901,0.039
1692443700000,3780906,3783766,3780862,3782348,0.0862
1692444000000,3780841,3783854,3780000,3780000,0.6244
1692444300000,3781399,3783036,3781399,3783036,0.1
1692444600000,3783312,3783312,3780750,3782310,0.0888
1692444900000,3782730,3782730,3782218,3782520,0.0103
1692445200000,3782219,3782219,3780491,3780491,0.0644
1692445500000,3780900,3780900,3780000,3780001,0.2142
1692445800000,3780654,3781679,3780350,3781679,0.1618
1692446100000,3781749,3781749,3780798,3780798,0.006
1692446400000,3780976,3782093,3780976,3782093,0.0022
1692446700000,3781149,3781949,3780850,3780850,0.0818
1692447000000,3780799,3781480,3780000,3780001,0.2082
1692447300000,3780001,3780828,3776589,3780828,0.1472
1692447600000,3782264,3782264,3777852,3780091,0.1656
1692447900000,3780142,3781900,3779174,3781900,0.3004
1692448200000,3778052,3778735,3773394,3778730,1.0312
1692448500000,3778730,3782996,3778730,3782996,0.132
1692448800000,3782951,3782951,3776000,3781948,0.1776
1692449100000,3782893,3782893,3781943,3781943,0.0218
1692449400000,3781447,3781943,3781447,3781943,0.0478
1692449700000,3781942,3781943,3781448,3781943,0.0552
1692450000000,3781943,3781943,3781866,3781866,0.0324
1692450300000,3781943,3781943,3781943,3781943,0.29
1692450600000,3781942,3781943,3781750,3781943,1.2348
1692450900000,3781943,3786480,3781943,3784250,2.56
1692451200000,3783199,3795750,3783199,3789059,1.7442
1692451500000,3789999,3790531,3789900,3790052,1.3968
1692451800000,3790053,3790250,3790052,3790052,0.3852
1692452100000,3790052,3791819,3790052,3791000,0.1476
1692452400000,3791000,3791000,3791000,3791000,0.018
1692452700000,3791539,3791539,3790059,3790059,0.0444
1692453000000,3790053,3790053,3786000,3789021,0.0986
1692453300000,3789019,3789019,3789000,3789000,0.1016
1692453600000,3787116,3787116,3786729,3786998,0.3964
1692453900000,3786999,3787000,3786998,3787000,3.3884
1692454200000,3787000,3787000,3787000,3787000,0.0028
1692454500000,3787000,3791599,3787000,3791400,0.2808
1692454800000,3791401,3791401,3789361,3790001,0.3732
1692455100000,3790000,3797597,3789361,3797597,0.208
1692455400000,3796298,3805200,3794963,3794963,0.8348
1692455700000,3796491,3796491,3792100,3792100,0.1154
1692456000000,3793648,3793648,3793648,3793648,0.0002
1692456300000,3793494,3793495,3792101,3792101,0.242
1692456600000,3793775,3793776,3793775,3793775,0.06
1692456900000,3793300,3793300,3792100,3792101,0.0556
1692457200000,3792101,3792101,3789900,3789900,0.2094
1692457500000,3789900,3805791,3789050,3800306,2.2338
1692457800000,3800321,3810000,3800310,3808852,0.3782
1692458100000,3808000,3809990,3802235,3809990,0.233
1692458400000,3806181,3809994,3802503,3802503,0.1902
1692458700000,3809252,3809989,3803859,3809770,0.0928
1692459000000,3803982,3803982,3803900,3803900,0.053
1692459300000,3804980,3804980,3804980,3804980,0.006
1692459600000,3802000,3805000,3802000,3802653,0.2404
1692459900000,3805425,3810000,3805425,3810000,0.4046
1692460200000,3810000,3820000,3810000,3820000,1.568
1692460500000,3820000,3820800,3819938,3820800,0.2516
1692460800000,3820423,3821050,3819938,3820000,0.1744
1692461100000,3820272,3825000,3810000,3822000,4.4562
1692461400000,3815476,3821399,3810006,3812550,0.2552
1692461700000,3816000,3825000,3816000,3822069,1.0816
