openTime,open,high,low,close,volume
1685826000000,3791336,3793013,3789632,3791367,7.38
1685826300000,3791603,3792361,3787104,3788919,1.74
1685826600000,3788281,3788281,3770001,3781756,13.93
1685826900000,3781986,3784735,3780417,3783428,3.8
1685827200000,3783428,3785490,3780039,3781783,3.64
1685827500000,3781734,3785213,3781734,3784667,3.3
1685827800000,3784668,3785651,3783329,3783757,1.26
1685828100000,3782881,3783757,3774399,3777311,6.28
1685828400000,3776963,3780336,3775552,3778686,2.46
1685828700000,3778538,3780242,3778538,3780054,0.18
1685829000000,3780051,3780937,3779286,3780602,1.56
1685829300000,3781680,3781859,3780751,3781153,0.86
1685829600000,3781220,3786619,3781151,3785094,4.96
1685829900000,3785559,3787552,3785227,3786583,2.06
1685830200000,3786323,3789000,3785364,3788667,2.3
1685830500000,3788326,3789775,3788125,3789775,0.66
1685830800000,3788241,3790044,3788241,3788912,2.34
1685831100000,3789563,3790517,3788520,3789600,2.7
1685831400000,3789711,3791881,3789691,3791346,3.64
1685831700000,3791106,3791999,3785094,3790696,6.58
1685832000000,3790696,3790696,3790000,3790606,0.22
1685832300000,3790585,3791854,3790585,3791838,0.4
1685832600000,3790604,3791888,3789777,3790603,0.46
1685832900000,3791736,3791736,3789000,3791313,1.18
1685833200000,3791236,3792008,3788898,3790440,2.08
1685833500000,3789911,3790662,3789641,3790662,1.22
1685833800000,3790678,3791083,3789162,3789834,0.34
1685834100000,3790192,3790765,3789332,3789335,0.52
1685834400000,3789794,3791207,3789600,3791207,1.34
1685834700000,3790174,3791217,3789665,3790784,0.68
1685835000000,3791250,3791372,3787875,3790298,3.92
1685835300000,3789061,3789061,3786400,3787530,1.14
1685835600000,3788249,3788249,3788249,3788249,0.02
1685835900000,3788173,3789357,3786999,3788334,1.06
1685836200000,3788388,3788431,3784772,3785527,6.2
1685836500000,3785543,3788472,3785543,3787700,1.74
1685836800000,3787900,3788185,3785574,3787869,1.3
1685837100000,3787639,3788253,3785000,3786356,1.92
1685837400000,3786113,3788304,3785892,3786189,0.94
1685837700000,3785930,3787000,3784936,3786480,1.48
1685838000000,3786430,3786430,3783558,3783558,0.6
1685838300000,3783309,3785800,3783309,3785800,0.48
1685838600000,3786069,3786071,3784987,3785896,0.34
1685838900000,3786143,3786800,3783924,3784262,4.4
1685839200000,3784620,3785631,3784484,3784579,1
1685839500000,3784693,3784693,3783556,3783871,0.26
