openTime,open,high,low,close,volume
1688245200000,4413197,4413197,4411824,4412579,0.62
1688245500000,4412021,4412844,4411162,4411902,1.76
1688245800000,4411797,4414396,4411693,4413987,2.48
1688246100000,4413197,4413673,4412903,4412903,0.36
1688246400000,4411700,4412078,4411539,4411539,0.22
1688246700000,4411252,4412297,4411252,4412297,0.22
1688247000000,4412294,4412639,4411373,4411377,0.54
1688247300000,4411970,4412094,4411031,4412000,0.86
1688247600000,4412000,4413108,4411650,4411748,0.54
1688247900000,4412844,4412844,4411657,4412558,0.06
1688248200000,4411986,4413674,4411986,4412793,0.84
1688248500000,4411812,4413390,4411812,4413390,0.66
1688248800000,4413561,4414835,4412624,4413733,1.32
1688249100000,4414498,4415137,4413713,4414047,0.58
1688249400000,4414047,4415274,4413232,4413825,0.98
1688249700000,4413598,4413599,4413593,4413599,0.08
1688250000000,4414107,4415111,4413879,4415000,0.44
1688250300000,4414400,4416134,4414400,4415352,0.66
1688250600000,4416268,4416268,4413391,4414713,1.66
1688250900000,4413348,4413830,4409738,4409925,6.58
1688251200000,4411008,4411671,4409670,4410000,2.18
1688251500000,4410576,4410576,4407803,4409769,1.54
1688251800000,4410748,4411319,4410603,4411103,1.36
1688252100000,4411159,4411705,4409649,4410912,0.48
1688252400000,4410918,4413682,4410912,4413152,1.22
1688252700000,4412951,4413039,4412385,4413014,0.88
1688253000000,4410912,4411445,4410523,4410526,0.3
1688253300000,4410534,4412499,4410517,4412187,0.42
1688253600000,4412500,4412964,4411855,4411988,0.72
1688253900000,4411277,4412647,4411201,4411604,0.72
1688254200000,4411363,4411363,4410999,4410999,0.14
1688254500000,4411163,4412097,4410517,4411887,2
1688254800000,4411863,4411863,4410130,4410811,0.84
1688255100000,4411374,4411374,4410579,4411292,0.16
1688255400000,4412327,4413682,4411862,4412744,1
1688255700000,4413078,4413078,4411574,4411584,0.5
1688256000000,4412249,4412903,4411540,4412903,1
1688256300000,4412411,4412411,4411593,4411758,0.1
1688256600000,4410581,4410581,4408927,4409749,1.38
1688256900000,4411073,4412575,4409642,4411982,1.54
1688257200000,4411246,4411332,4407224,4409579,1.92
1688257500000,4409357,4421845,4408889,4420029,4.6
1688257800000,4421055,4421055,4407005,4410578,4.8
1688258100000,4411426,4418655,4410502,4410544,7.48
1688258400000,4411337,4411746,4409142,4410475,2.62
1688258700000,4408761,4411543,4407752,4411543,3.24
1688259000000,4410275,4411084,4408884,4409426,0.24
1688259300000,4409791,4411125,4406809,4408588,1.62
1688259600000,4408544,4409735,4404398,4404398,3.32
1688259900000,4405572,4409820,4405316,4409511,1.24
1688260200000,4409710,4411521,4409710,4410359,1.82
1688260500000,4409753,4411111,4408219,4408219,1.14
1688260800000,4408016,4409210,4408001,4409197,0.66
1688261100000,4409095,4409095,4407428,4408197,0.74
1688261400000,4408200,4410000,4406700,4406700,1.62
1688261700000,4407961,4408528,4406782,4407007,3.26
1688262000000,4407867,4410008,4407867,4410008,0.54
1688262300000,4409218,4410090,4409069,4409246,3.08
1688262600000,4409102,4409102,4406331,4407485,1.86
1688262900000,4406761,4408575,4406000,4408575,0.76
1688263200000,4407321,4408984,4405932,4407141,1.24
1688263500000,4407335,4407607,4406638,4407607,0.16
1688263800000,4407350,4408918,4405930,4405930,0.82
1688264100000,4407461,4407660,4394009,4403022,15.96
1688264400000,4403022,4410451,4403022,4408579,6.2
1688264700000,4409549,4410137,4408539,4409012,0.64
1688265000000,4408926,4413902,4407855,4411867,2.44
1688265300000,4412163,4415028,4411373,4413754,1.68
1688265600000,4415326,4416075,4411183,4411183,4.68
1688265900000,4411183,4411183,4409151,4409151,6.1
1688266200000,4409477,4410095,4407152,4407152,1.52
1688266500000,4406496,4407225,4403068,4403548,4.42
1688266800000,4403571,4405684,4402247,4403404,7.62
1688267100000,4403496,4406560,4403496,4403712,2.26
1688267400000,4403131,4406675,4403000,4406000,2.92
1688267700000,4406000,4406000,4403406,4403907,0.64
1688268000000,4403848,4406519,4403398,4405107,2.26
1688268300000,4406260,4406871,4404652,4405429,0.28
1688268600000,4403309,4404488,4403301,4404010,0.86
1688268900000,4404978,4405081,4394890,4397914,14.26
1688269200000,4398273,4400099,4394643,4400099,6.84
1688269500000,4399832,4400458,4396011,4399400,4.74
1688269800000,4399400,4400716,4398600,4398600,4
1688270100000,4400053,4400206,4395930,4399621,6.64
1688270400000,4398157,4399770,4393539,4399215,6.84
1688270700000,4399770,4400730,4395000,4398721,4.8
1688271000000,4398398,4399158,4397581,4399158,1.12
1688271300000,4399144,4401500,4397676,4401500,2.58
1688271600000,4400350,4400998,4399884,4400134,1.12
1688271900000,4400616,4404738,4400614,4404738,2.3
1688272200000,4404896,4405405,4401912,4402732,6.78
1688272500000,4402729,4403225,4400890,4401520,1.74
1688272800000,4401534,4402352,4400414,4400973,4.02
1688273100000,4400974,4403825,4400859,4403825,2.26
1688273400000,4403655,4403655,4400383,4400393,1.72
1688273700000,4401167,4404280,4401108,4402279,1.46
1688274000000,4402279,4405929,4402279,4405277,4.7
1688274300000,4404593,4405047,4402552,4402782,1.88
1688274600000,4403189,4403298,4401925,4403298,0.82
1688274900000,4402398,4402824,4401041,4401126,1.02
1688275200000,4401039,4401580,4400981,4401468,1.04
1688275500000,4400976,4402225,4400029,4400069,2.98
1688275800000,4400070,4401713,4400000,4400000,1.54
1688276100000,4400996,4401058,4399783,4400920,0.2
1688276400000,4400348,4401385,4399569,4401384,0.46
1688276700000,4400525,4400759,4399930,4400759,0.1
1688277000000,4402530,4403416,4401528,4401528,0.44
1688277300000,4401333,4401454,4396410,4398473,2.88
1688277600000,4396987,4399583,4395056,4399184,4.06
1688277900000,4400124,4400671,4398639,4398953,1.24
1688278200000,4398984,4400350,4398063,4399441,1.06
1688278500000,4399399,4400553,4399391,4399447,0.66
1688278800000,4400553,4401005,4400028,4400028,0.56
1688279100000,4401005,4402800,4401005,4402800,2.08
1688279400000,4401201,4402698,4400524,4401714,0.7
1688279700000,4400744,4401113,4399463,4401088,0.7
1688280000000,4400822,4401800,4400821,4401800,0.36
1688280300000,4402007,4402827,4399997,4400282,1.26
1688280600000,4400282,4400282,4397740,4397740,1.5
1688280900000,4398780,4399566,4396850,4398980,1.45
1688281200000,4398423,4399755,4398423,4398634,0.54
1688281500000,4399581,4400253,4399581,4400253,0.16
1688281800000,4400158,4400253,4399265,4400253,0.88
1688282100000,4401039,4402219,4399659,4402219,0.42
1688282400000,4401744,4401982,4400716,4400716,0.62
1688282700000,4400291,4401711,4400291,4401711,1.16
1688283000000,4401208,4402124,4398699,4399560,2.34
1688283300000,4399086,4400306,4397735,4399905,7.97
1688283600000,4400011,4400731,4398500,4400731,4.22
1688283900000,4400731,4400731,4398980,4400400,3.16
1688284200000,4400317,4400317,4399226,4399362,0.26
1688284500000,4399936,4400131,4399936,4400131,0.16
1688284800000,4400131,4400731,4398975,4399411,2.32
1688285100000,4400351,4400731,4399470,4400456,2.14
1688285400000,4400731,4403375,4400731,4402730,7.22
1688285700000,4402745,4407200,4402496,4406356,6.76
1688286000000,4406356,4406356,4403046,4403354,2.54
1688286300000,4404087,4404197,4404087,4404197,4.08
1688286600000,4404197,4404197,4401817,4401817,0.88
1688286900000,4401358,4401661,4399260,4399392,3.8
1688287200000,4399795,4401201,4398310,4399930,2.3
1688287500000,4399919,4401064,4399919,4400639,0.7
1688287800000,4400205,4401532,4400205,4401502,0.84
1688288100000,4400511,4401509,4397360,4398567,2.63
1688288400000,4398304,4400188,4397740,4400188,2.88
1688288700000,4401045,4401694,4400388,4401532,1.66
1688289000000,4401472,4402235,4400157,4402234,0.8
1688289300000,4402740,4403545,4401122,4403545,2.26
1688289600000,4402662,4403538,4402059,4402927,2.64
1688289900000,4403151,4403874,4403151,4403874,0.96
1688290200000,4403088,4404118,4402785,4402785,0.24
1688290500000,4403619,4404463,4403582,4404462,0.88
1688290800000,4404000,4405999,4403028,4404194,1.44
1688291100000,4404910,4405521,4403776,4404818,0.54
1688291400000,4404234,4405106,4403962,4404578,0.88
1688291700000,4404082,4404237,4401067,4403556,2.82
1688292000000,4403524,4406321,4402482,4405282,6.68
1688292300000,4405953,4406000,4404927,4404927,2.74
1688292600000,4404420,4406000,4403715,4404129,2.66
1688292900000,4404129,4405715,4401834,4403990,4.48
1688293200000,4403700,4404398,4403700,4404398,0.04
1688293500000,4405174,4405560,4404441,4405508,0.74
1688293800000,4404943,4404943,4402824,4404282,0.84
1688294100000,4403129,4403300,4403129,4403300,0.04
1688294400000,4404158,4404919,4404158,4404823,0.56
1688294700000,4404323,4405494,4403341,4404022,1.12
1688295000000,4403581,4404684,4402848,4404000,1.3
1688295300000,4404051,4404051,4403127,4403127,0.2
1688295600000,4403082,4404647,4402901,4402924,0.68
1688295900000,4403265,4403265,4403265,4403265,0.02
1688296200000,4402800,4403851,4402800,4403851,0.08
1688296500000,4403851,4404225,4402001,4404123,5.04
1688296800000,4403825,4404653,4403825,4403985,0.24
1688297100000,4403400,4404093,4402982,4404093,0.86
1688297400000,4403713,4404093,4402771,4403745,0.3
1688297700000,4403216,4403517,4402655,4403517,0.2
1688298000000,4404300,4404571,4404101,4404571,0.12
1688298300000,4404240,4405705,4404240,4404378,1.04
1688298600000,4404070,4404733,4403815,4404327,0.3
1688298900000,4405072,4405100,4405072,4405100,0.04
1688299200000,4404785,4409247,4404785,4409065,6.58
1688299500000,4408095,4409062,4404587,4407699,2.02
1688299800000,4405506,4408075,4400744,4407375,12.44
1688300100000,4407375,4407861,4406774,4406774,5.82
1688300400000,4406574,4407406,4405738,4406622,1.22
1688300700000,4405758,4405758,4404656,4405165,0.38
1688301000000,4405186,4405749,4404995,4405749,0.38
