openTime,open,high,low,close,volume
1688681100000,144.339,144.339,144.339,144.339,40
1688684100000,144,144,144,144,2
1688685300000,144,144.076,144,144.076,1200
1688688600000,144.598,144.598,144.598,144.598,2
1688690400000,144.598,144.598,144.598,144.598,2
1688701800000,144.598,144.598,144.598,144.598,2
1688711400000,143.5,143.5,143.5,143.5,20
1688713500000,143.5,143.5,143.5,143.5,136
1688715000000,143.5,143.5,142.2,142.2,19794
1688717700000,143.198,143.198,143.198,143.198,2
1688725800000,143.098,143.099,143.098,143.099,500
1688729100000,143.2,143.2,143.2,143.2,5486
1688760300000,142.628,142.628,142.628,142.628,2
1688761500000,142.064,142.064,142.061,142.061,50
1688762700000,143.198,143.199,143.198,143.199,280
