openTime,open,high,low,close,volume
1685494200000,139.33,139.33,139.33,139.33,16
1685510700000,139.331,139.331,138.5,138.5,20000
1685517000000,139.049,139.049,139.049,139.049,1028
1685518200000,139.599,139.6,139.599,139.6,2138
1685518500000,139.042,139.042,139.042,139.042,22
1685522100000,139.75,139.75,139.75,139.75,10774
1685526000000,140.307,140.727,140.307,140.727,144
1685530800000,140.307,140.307,140.307,140.307,18
1685531400000,140.001,140.001,140.001,140.001,18
1685537700000,139.329,139.329,138.482,138.482,5652
1685539800000,139.174,139.175,139.174,139.175,1218
1685540700000,139.65,139.65,139.65,139.65,716
1685541300000,138.483,138.483,138.483,138.483,56
1685544300000,138.484,138.484,138.483,138.483,620
1685544900000,139.868,139.896,139.868,139.896,660
1685548800000,140.306,140.307,140.306,140.307,20
