openTime,open,high,low,close,volume
1692916200000,9.145,9.185,9.145,9.185,1577
1692916500000,9.187,9.187,9.187,9.187,500
1692916800000,9.16,9.16,9.16,9.16,11852
1692920700000,9.214,9.214,9.214,9.214,200
1692921300000,9.22,9.22,9.22,9.22,10
1692922500000,9.219,9.219,9.219,9.219,600
1692923100000,9.218,9.223,9.218,9.223,16000
1692924600000,9.227,9.227,9.227,9.227,100
1692924900000,9.227,9.227,9.227,9.227,300
1692927000000,9.16,9.16,9.16,9.16,4600
1692928200000,9.199,9.199,9.199,9.199,13
1692928800000,9.215,9.215,9.215,9.215,300
1692929700000,9.237,9.237,9.237,9.237,4800
1692930900000,9.238,9.238,9.238,9.238,3762
1692931800000,9.252,9.252,9.148,9.148,42248
1692932100000,9.172,9.172,9.172,9.172,6000
1692932400000,9.172,9.172,9.172,9.172,550
1692932700000,9.184,9.184,9.184,9.184,960
1692933300000,9.191,9.191,9.191,9.191,200
1692933900000,9.141,9.141,9.141,9.141,5280
1692934200000,9.141,9.141,9.141,9.141,2000
1692934800000,9.144,9.21,9.144,9.21,50901
1692935100000,9.21,9.211,9.21,9.211,11260
1692935400000,9.213,9.217,9.213,9.217,218
1692935700000,9.218,9.218,9.218,9.218,40
1692936000000,9.204,9.204,9.204,9.204,20000
1692936300000,9.204,9.204,9.204,9.204,2110
1692936600000,9.202,9.202,9.202,9.202,40
1692937500000,9.2,9.2,9.2,9.2,20
1692938700000,9.163,9.163,9.163,9.163,60
1692939000000,9.164,9.164,9.164,9.164,40
1692940500000,9.182,9.182,9.182,9.182,110
1692941100000,9.14,9.14,9.058,9.058,10000
1692942900000,9.126,9.13,9.126,9.13,6563
1692943200000,9.155,9.155,9.155,9.155,1000
1692944700000,9.094,9.094,9.094,9.094,4000
1692945000000,9.107,9.151,9.107,9.151,3888
1692945600000,9.182,9.182,9.182,9.182,20
1692948900000,9.179,9.179,9.179,9.179,20000
1692951300000,9.174,9.174,9.174,9.174,200
1692953100000,9.075,9.075,9.075,9.075,1000
1692953400000,9.104,9.106,9.104,9.106,3291
1692953700000,9.123,9.124,9.07,9.07,4819
1692954300000,9.073,9.102,9.073,9.102,6715
1692954600000,9.103,9.103,9.103,9.103,3291
1692955500000,9.118,9.118,9.118,9.118,1095
1692958200000,9.118,9.118,9.118,9.118,2000
1692959700000,9.118,9.118,9.118,9.118,260
1692960000000,9.118,9.118,9.118,9.118,200
1692960600000,9.118,9.118,9.118,9.118,20
1692961200000,9.1,9.1,9.086,9.086,1900
1692962700000,9.118,9.118,9.118,9.118,360
1692963600000,9.094,9.094,9.094,9.094,4000
1692963900000,9.118,9.131,9.118,9.131,17110
1692964200000,9.134,9.134,9.134,9.134,200
1692964500000,9.094,9.094,9.094,9.094,1100
1692964800000,9.094,9.094,9.094,9.094,610
1692965700000,9.095,9.095,9.095,9.095,1000
1692966600000,9.114,9.136,9.114,9.135,6100
1692966900000,9.135,9.135,9.135,9.135,3800
1692967800000,9.095,9.095,9.095,9.095,80
1692968700000,9.124,9.124,9.124,9.124,15
1692970500000,9.164,9.184,9.164,9.184,606
1692971100000,9.184,9.184,9.184,9.184,2174
1692972000000,9.095,9.095,9.073,9.091,4298
1692972900000,9.158,9.2,9.158,9.2,555
1692973500000,9.216,9.216,9.216,9.216,100
1692975900000,9.185,9.185,9.185,9.185,3256
1692979500000,9.181,9.181,9.181,9.181,20000
1692979800000,9.181,9.181,9.181,9.181,1776
1692980400000,9.181,9.181,9.181,9.181,24
1692980700000,9.181,9.181,9.181,9.181,280
1692982800000,9.15,9.15,9.15,9.15,2192
1692986100000,9.152,9.152,9.152,9.152,10
1692986400000,9.153,9.153,9.153,9.153,10
1692987600000,9.163,9.163,9.163,9.163,70
1692991200000,9.19,9.19,9.19,9.19,100
1692991500000,9.202,9.202,9.202,9.202,2000
