openTime,open,high,low,close,volume
1685568600000,741,741,741,741,0.7
1685569500000,741,741,741,741,13.5
1685570400000,741,741,741,741,7
1685573400000,741,741,741,741,1
1685574000000,741,741,741,741,10
1685574300000,741,741,741,741,24
1685574900000,741,742,741,742,150.5
1685575500000,742,743,742,743,404
1685575800000,740,741,740,741,7.4
1685577900000,740,740,737,737,256.8
1685578500000,744,744,744,744,200
1685579100000,744,744,744,744,10
1685579400000,743,743,743,743,141.2
1685580000000,741,741,738,738,189.7
1685580300000,739,739,739,739,499.4
1685582400000,739,739,739,739,0.2
1685584200000,739,739,739,739,5.4
1685584800000,739,739,737,737,1.8
1685585400000,739,739,739,739,2
1685585700000,739,739,739,739,25
1685586000000,739,739,739,739,0.6
1685587500000,737,737,735,735,661.4
1685587800000,735,735,735,735,717
1685588100000,735,735,732,733,160
1685588700000,733,733,733,733,5
1685589000000,732,732,730,730,27.4
1685589300000,731,731,731,731,8
1685589600000,731,731,731,731,120
1685590500000,732,732,732,732,10
1685590800000,732,732,732,732,1
1685591400000,732,732,730,730,7.6
1685594400000,731,731,731,731,1
1685595000000,731,731,731,731,1
1685595600000,731,731,731,731,10
1685597700000,731,731,730,730,602
1685598300000,730,730,730,730,6
1685598600000,731,731,731,731,31.2
1685599200000,731,731,731,731,20
1685600100000,731,733,730,733,73.3
1685602500000,733,733,733,733,20
1685602800000,733,733,732,732,103
1685604300000,732,732,732,732,5
1685604600000,732,732,732,732,1.2
1685605200000,732,732,730,730,62.1
1685605800000,731,732,731,732,40
1685608800000,732,732,732,732,7
1685609700000,733,733,733,733,0.7
1685610600000,733,733,733,733,0.8
1685613600000,733,733,733,733,10
1685613900000,733,733,733,733,20
1685614200000,733,733,733,733,21
1685614500000,732,732,730,732,73.2
1685615100000,733,733,733,733,10
1685615400000,733,733,733,733,37
1685616900000,733,733,733,733,50
1685617500000,733,733,733,733,5
1685618700000,730,730,730,730,52
1685619300000,731,731,731,731,1.4
1685622300000,732,732,732,732,53
1685622900000,730,730,730,730,600
1685623500000,731,731,731,731,10
1685624100000,731,731,730,730,100.4
1685624400000,731,731,731,731,150
1685625000000,731,731,731,731,0.2
1685626200000,730,730,730,730,100
1685626500000,730,730,730,730,40
1685626800000,731,731,731,731,23
1685627100000,731,731,731,731,1.5
1685628000000,730,730,729,729,107.4
1685628300000,730,730,730,730,1
1685628600000,730,730,730,730,1
1685631000000,729,729,729,729,102
1685632500000,729,729,729,729,116
1685632800000,729,729,729,729,0.7
1685633100000,729,729,729,729,10
1685634600000,728,729,728,729,150.8
1685637300000,728,728,728,728,72.6
1685638500000,731,731,731,731,3
1685639700000,731,731,731,731,2
1685646600000,731,731,731,731,6
1685647800000,727,727,726,726,796.6
1685648100000,726,726,726,726,20
1685652600000,727,727,727,727,4
