openTime,open,high,low,close,volume
1690146000000,773,773,773,773,0.1
1690147200000,769,769,769,769,219.8
1690147500000,769,769,769,769,1.9
1690147800000,769,769,769,769,0.1
1690148700000,768,768,764,764,903
1690151400000,767,767,767,767,0.1
1690152300000,766,766,764,764,44.2
1690153200000,766,766,766,766,3
1690155300000,765,765,764,764,20.4
1690155600000,767,767,767,767,0.1
1690156200000,764,764,764,764,200
1690156500000,767,767,767,767,0.1
1690158900000,764,764,764,764,1.4
1690159500000,768,768,768,768,100
1690160400000,764,764,764,764,144
1690160700000,764,764,764,764,10
1690161300000,764,764,763,763,12.5
1690161600000,763,763,761,761,4
1690162500000,761,761,761,761,2
1690162800000,760,760,758,758,53.2
1690163100000,758,758,757,758,9.5
1690163700000,757,757,756,756,2
1690164300000,756,756,755,755,85.2
1690164900000,754,754,754,754,15
1690165800000,755,755,755,755,157.9
1690166100000,755,755,755,755,0.1
1690167600000,755,755,755,755,1.3
1690167900000,755,755,752,754,47.6
1690168500000,754,755,754,755,253.4
1690170000000,755,755,755,755,0.3
1690170300000,755,755,754,754,802.5
1690170600000,754,754,754,754,100
1690171200000,752,752,750,750,133.1
1690171500000,750,750,748,748,831
1690173000000,754,754,754,754,0.1
1690173300000,754,754,754,754,130
1690173600000,754,755,754,755,10.5
1690174200000,756,756,756,756,31.6
1690174800000,756,756,756,756,5
1690175100000,753,753,753,753,10
1690177200000,758,758,758,758,2.1
1690179900000,758,758,758,758,0.1
1690181100000,758,758,758,758,2
1690182300000,755,755,754,754,251.8
1690182900000,758,758,758,758,8
1690183200000,755,755,755,755,3
1690183800000,759,759,759,759,2
1690184400000,758,758,758,758,5.2
1690185300000,758,758,758,758,3
1690185900000,757,757,757,757,4
1690190100000,756,756,756,756,200
1690190700000,756,756,756,756,19.8
1690191600000,756,756,756,756,0.1
1690191900000,753,753,749,749,636.5
1690192200000,749,749,730,732,2659.1
1690192500000,732,732,732,732,12
1690192800000,732,734,732,734,240.8
1690193100000,736,740,733,733,399.9
1690193400000,737,737,737,737,20
1690193700000,735,737,735,737,123.8
1690194000000,736,736,731,731,306.4
1690194300000,734,735,734,735,144.2
1690194600000,736,736,736,736,25.5
1690194900000,734,736,734,736,281.2
1690195200000,737,737,737,737,20
1690195500000,737,737,735,735,141.6
1690195800000,737,738,737,738,0.7
1690196100000,738,738,738,738,41
1690196400000,738,738,738,738,1955.4
1690196700000,738,738,738,738,54.6
1690198800000,735,736,735,736,3.4
1690200000000,736,736,736,736,250
1690202400000,736,736,736,736,28
1690202700000,736,736,736,736,5.4
1690203000000,735,735,734,734,80
1690203600000,734,734,734,734,20
1690204200000,735,735,735,735,420
1690204500000,735,735,735,735,9.3
1690204800000,735,735,735,735,0.1
1690205400000,735,735,735,735,10
1690205700000,735,735,735,735,44
1690206000000,735,735,735,735,13
1690206300000,734,734,734,734,47.6
1690206600000,733,733,732,732,20
1690207200000,733,733,733,733,7.9
1690207500000,733,733,733,733,212
1690207800000,733,733,733,733,10
1690208700000,733,733,733,733,27.2
1690209300000,732,732,726,726,1637.3
1690209600000,730,731,730,731,95.2
1690209900000,731,731,731,731,4.6
1690212000000,732,732,732,732,35.8
1690212300000,732,732,732,732,27.2
1690212600000,732,732,731,731,311.2
1690212900000,731,731,731,731,152
1690213200000,731,731,731,731,27.2
1690213500000,731,731,731,731,193.9
1690214700000,731,731,731,731,27.2
1690215000000,731,731,731,731,27.2
1690215300000,732,732,732,732,54.4
1690216200000,734,735,734,735,31.6
1690216500000,736,736,736,736,27
1690216800000,736,736,736,736,39.4
1690217100000,736,736,736,736,271.6
1690217400000,736,736,736,736,899.4
1690217700000,736,736,736,736,756.6
1690218000000,737,738,737,738,6
1690218300000,738,738,738,738,107.2
1690218600000,738,738,738,738,20
1690218900000,739,739,738,738,20.4
1690219200000,739,740,739,740,4
1690219800000,740,742,740,742,18.3
1690220400000,740,740,740,740,10.1
1690221300000,740,740,740,740,27
1690224900000,742,743,742,742,125.8
1690227300000,742,742,742,742,10
1690229100000,742,742,742,742,41
1690229400000,738,738,738,738,3.2
1690230000000,739,739,739,739,1
1690230900000,739,739,739,739,4
1690231500000,739,739,739,739,0.1
1690232100000,740,740,740,740,0.5
