openTime,open,high,low,close,volume
1685653200000,46.047,46.047,46.047,46.047,800
1685653800000,45.855,45.855,45.855,45.855,1200
1685654100000,46.176,46.176,46.176,46.176,1700
1685654400000,46.182,46.182,46.182,46.182,2000
1685658600000,45.598,45.598,45.598,45.598,10
1685658900000,45.598,45.598,45.598,45.598,7800
1685659200000,45.598,45.598,45.598,45.598,1314
1685659800000,45.598,45.598,45.598,45.598,878
1685660100000,45.598,46.02,45.598,46.02,16
1685660700000,45.702,45.702,45.666,45.666,5000
1685662200000,45.759,45.759,45.759,45.759,30
1685670300000,46.182,46.182,46.182,46.182,10
1685673000000,46.299,46.299,46.299,46.299,20
1685674800000,45.966,45.966,45.966,45.966,21
1685684400000,46.33,46.33,46.33,46.33,10
1685688900000,46.33,46.33,46.33,46.33,100
1685694300000,45.918,45.918,45.918,45.918,598
1685696700000,45.9,45.9,45.864,45.864,6191
1685702100000,45.88,45.88,45.88,45.88,160
1685720700000,46.32,46.32,46.32,46.32,10
1685729700000,46.32,46.32,46.32,46.32,4
1685736900000,46.311,46.311,46.311,46.311,40
1685737200000,46.302,46.302,46.239,46.239,9796
1685738100000,46.32,46.32,46.32,46.32,10
