openTime,open,high,low,close,volume
1687035600000,245010,245010,245010,245010,0.02
1687036500000,245178,245178,245178,245178,0.0204
1687037100000,245108,245108,245108,245108,0.03
1687038000000,245102,245102,245102,245102,0.07
1687039200000,245140,245140,245140,245140,0.02
1687039500000,245200,245339,245200,245339,0.2
1687040100000,245473,245741,245473,245741,2
1687041900000,245637,245637,245637,245637,0.02
1687042500000,245603,245729,245603,245729,1
1687042800000,245670,245670,245670,245670,0.026
1687043100000,245728,245741,245728,245741,0.554
1687044000000,245440,245440,245440,245440,0.1
1687044300000,245339,245339,245100,245100,0.08
1687045200000,245100,245100,245100,245100,4.0466
1687046100000,245100,245100,244908,244908,0.6
1687046400000,245100,245100,245100,245100,0.049
1687046700000,244820,244820,244820,244820,0.08
1687047300000,245080,245090,245080,245090,0.16
1687047600000,244400,244400,244310,244329,0.6
1687047900000,244221,244844,244201,244820,0.7008
1687048200000,244870,244870,244870,244870,0.8
1687048500000,244911,244911,244911,244911,0.3
1687048800000,244520,244664,244292,244664,2.3
1687049100000,244401,244859,244401,244817,2.52
1687049400000,244500,244939,244500,244939,1.5
1687049700000,245000,245069,245000,245069,2
1687050000000,245089,245089,245069,245069,2.84
1687050300000,245090,245105,245090,245100,1.964
1687050600000,244980,244980,244787,244787,0.66
1687051200000,244890,244890,244890,244890,0.02
1687051500000,244980,244980,244980,244980,0.02
1687052100000,244990,244990,244990,244990,0.02
1687052400000,244990,244990,244990,244990,0.74
1687052700000,245000,245177,245000,245177,2.5
1687053000000,245170,245214,245170,245214,0.228
1687053600000,245260,245260,245260,245260,0.28
1687053900000,245260,245260,245260,245260,0.2
1687054200000,245302,245302,245301,245301,0.32
1687054500000,245301,245301,245161,245161,0.3
1687055400000,245020,245160,245000,245160,0.28
1687055700000,245121,245121,245118,245118,0.12
1687056000000,245000,245000,244975,244975,0.39
1687056300000,245113,245130,244972,244972,2.2
1687057200000,245080,245080,245080,245080,0.08
1687057500000,244932,245219,244932,245219,0.26
1687058700000,245196,245196,245157,245157,2.5
1687059000000,245237,245237,245237,245237,0.02
1687059300000,245237,245730,245237,245720,2.151
1687059600000,245719,245719,245719,245719,0.4
1687059900000,245670,245670,245670,245670,0.08
1687060200000,245240,245240,245235,245235,1
1687060800000,245460,245460,245460,245460,0.08
1687062300000,245680,245717,245680,245717,0.78
1687062600000,245680,245690,245680,245690,1
1687064400000,245660,245660,245648,245648,0.2666
1687065000000,245581,245741,245581,245730,1.48
1687065600000,245860,246266,245730,245986,17.9738
1687065900000,246089,246090,246089,246090,1.72
1687066200000,245930,246000,245920,246000,3.422
1687066500000,246000,246200,246000,246200,2
1687066800000,246300,246310,246041,246042,0.4086
1687067100000,246074,246074,245421,245421,1.3382
1687067400000,245428,245428,245222,245222,1.78
1687067700000,245222,245222,245222,245222,0.3
1687068000000,245222,245222,244800,244800,3.2804
1687068300000,245268,245640,245268,245639,1.46
1687068600000,245462,245462,245165,245165,2.1
1687068900000,245431,245431,245358,245358,0.3
1687069200000,245415,245415,245301,245301,0.2
1687070400000,245350,245423,245350,245380,0.8
1687070700000,245350,245350,245350,245350,0.3
1687071000000,245350,245350,245049,245049,1.76
1687071300000,245251,245251,244924,244979,2.58
1687072200000,245600,245600,245600,245600,0.3
1687072800000,245831,245831,245831,245831,0.1
1687073100000,245580,245580,245480,245480,1
