openTime,open,high,low,close,volume
1685912400000,267200,267370,267075,267370,4.4
1685912700000,267261,267370,267000,267370,8
1685913000000,267370,267370,267370,267370,2
1685914200000,267278,267425,267278,267425,16.4
1685914500000,267268,267268,267234,267234,1.4
1685914800000,267191,267191,267191,267191,0.8
1685915100000,267191,267299,267191,267216,5.4
1685915400000,267215,267216,267203,267216,0.5
1685915700000,267180,267180,267098,267098,6
1685916000000,267069,267100,267068,267100,15.4
1685916300000,267303,267306,267302,267306,1.2
1685916600000,267368,267507,267194,267381,4.6
1685916900000,267321,268200,267318,267952,18.8
1685917200000,267634,267797,267437,267742,6.8
1685917500000,267900,267900,266620,266620,13.2
1685917800000,266943,267007,266407,266620,6
1685918100000,266537,267155,266537,267082,4.6
1685918400000,267256,267445,267256,267363,3
1685918700000,267363,267364,267203,267364,3.6
1685919000000,267364,267364,267280,267280,1.4
1685919300000,267205,267205,266781,266781,3.8
1685919600000,266957,267287,266957,267287,4
1685919900000,267221,267350,266950,266957,7
1685920200000,266909,266918,266771,266771,1.8
1685920500000,266966,267030,266818,266854,1.8
1685920800000,266808,266808,265500,265799,66
1685921100000,265800,266120,265601,265781,204.4
1685921400000,265726,266124,265726,266069,64.7
1685921700000,266165,266244,266112,266112,11.7
1685922000000,266022,266352,266016,266352,48.9
1685922300000,266301,266328,264684,265831,74.1
1685922600000,265849,266124,265820,266064,25.8
1685922900000,266054,266124,266045,266064,24.9
1685923200000,265915,265915,265557,265622,49.7
1685923500000,265396,265612,265297,265612,33.7
1685923800000,265501,265501,265357,265357,3.4
1685924100000,265122,265380,264729,265327,40.4
1685924400000,265202,265536,264783,265536,78
1685924700000,265401,265702,265401,265702,7
1685925000000,265659,265849,265659,265783,10.6
1685925300000,265732,265776,265730,265776,3.1
1685925600000,265730,265763,265697,265697,40.8
1685925900000,265698,265727,264108,264876,137.2
1685926200000,264802,265068,264797,265000,26.2
1685926500000,265019,265055,264796,264816,15.4
1685926800000,264727,264727,264259,264449,29.7
1685927100000,264380,264387,264300,264300,5.4
1685927400000,264202,264202,263266,264042,30.4
1685927700000,263862,263998,263700,263800,46.4
1685928000000,263800,263999,263673,263999,8
1685928300000,263935,264000,263879,264000,9.4
1685928600000,263917,264000,263719,264000,2.4
1685928900000,263979,263994,263871,263994,4.2
1685929200000,263856,264133,263800,264062,27.4
1685929500000,264083,264679,264002,264678,10.4
1685929800000,264678,264703,264430,264703,9.6
1685930100000,264600,264600,264500,264500,30.2
1685930400000,264433,265028,264375,265028,35.8
1685930700000,264979,265342,264979,265295,3.4
1685931000000,265284,265284,264909,264994,195.4
1685931300000,265155,265155,264771,264897,6.8
1685931600000,264996,264996,264894,264996,4.4
1685931900000,264883,264890,264883,264890,0.8
1685932200000,264968,264995,264733,264744,3.2
1685932500000,264817,264817,264594,264594,1
1685932800000,264601,264794,264594,264794,4
1685933100000,264668,264788,264216,264388,2.4
1685933400000,264217,264436,264000,264000,15.3
1685933700000,264000,264011,263066,263697,79.8
1685934000000,263680,263856,263286,263414,121.8
1685934300000,263401,263760,263400,263552,26.3
1685934600000,263563,263638,263389,263568,20.7
1685934900000,263391,263500,262929,263500,38.1
1685935200000,263585,263723,263490,263723,19.5
1685935500000,263714,263904,263702,263904,8
1685935800000,263923,263936,263528,263676,7.5
1685936100000,263688,263712,263300,263316,9.3
1685936400000,263111,263160,263001,263124,7.3
1685936700000,263001,263088,262588,263004,10.3
1685937000000,262785,262785,262785,262785,0.2
1685937300000,262582,262638,262500,262550,15.2
1685937600000,262551,262600,262170,262400,72.8
1685937900000,262400,262646,262336,262601,64.6
1685938200000,262743,262963,262700,262910,14.6
1685938500000,262993,263351,262993,263300,31.8
1685938800000,263300,263300,263300,263300,7
1685939100000,263205,263218,263205,263218,1.4
1685939700000,263087,263087,262985,262985,4.8
1685940000000,263068,263140,263000,263140,2.2
1685940300000,263140,263140,262869,262920,11.2
1685940600000,262932,262944,262456,262716,53.4
1685940900000,262679,262954,262554,262827,6.6
1685941200000,262625,262625,262430,262564,5.8
1685941500000,262558,262751,262380,262714,10
1685941800000,262653,262704,261800,262260,32.7
1685942100000,262161,262523,262062,262431,11.6
1685942400000,262440,262660,262330,262654,3.8
1685942700000,262640,262728,262288,262467,19
1685943000000,262581,262581,262495,262572,2
1685943300000,262603,262603,262566,262566,0.8
1685943600000,262619,262619,262619,262619,0.2
1685943900000,262620,262630,262586,262630,5.4
1685944200000,262744,262803,262585,262623,8.4
1685944500000,262577,262892,262577,262892,2.3
1685944800000,262892,263249,262892,263045,8.6
1685945100000,263038,263040,262793,262800,23.8
1685945400000,262800,262967,262793,262967,18.6
1685945700000,262793,262972,262793,262972,6.4
1685946000000,262997,263280,262784,263107,3.8
1685946300000,263033,263133,262909,263023,2.4
1685946600000,263032,263194,262998,263080,3.2
1685947200000,263269,263269,262659,262659,32.8
1685947500000,262682,263034,262272,262331,124.5
1685947800000,262301,262843,262278,262548,49.9
1685948100000,262769,262910,262506,262696,11.6
1685948400000,262557,262857,262515,262783,14.4
1685948700000,262625,262940,262515,262931,5
1685949000000,262981,263078,262750,263062,7
1685949300000,263079,263320,262727,263095,5.8
1685949600000,263057,263225,262914,262914,11.8
1685949900000,263062,263136,262847,263024,7.2
1685950200000,263136,263226,263038,263073,5
1685950500000,263031,263188,262900,263039,39.2
1685950800000,262991,263169,262962,263169,2.2
1685951100000,263170,263205,262999,263052,13.2
1685951400000,263171,263318,262995,263298,23.4
1685951700000,263227,263313,263193,263194,1
1685952000000,263199,263199,263163,263165,1.6
1685952300000,263210,263262,263083,263083,1
1685952600000,263060,263131,262750,263032,5.2
1685952900000,262845,263198,262725,262832,50.9
1685953200000,262800,262800,262512,262654,4.9
1685953500000,262678,262898,262678,262774,1.8
1685953800000,263039,263199,262809,262850,4.6
1685954100000,263076,263076,262710,262932,4.6
1685954400000,262947,262948,262716,262716,6.8
1685954700000,262691,262699,262575,262623,2.5
1685955000000,262623,262698,262438,262438,5.2
1685955300000,262582,262695,262481,262481,2
1685955600000,262555,262700,262273,262645,17.3
1685955900000,262793,262977,262764,262908,5.7
1685956200000,262837,262837,262836,262836,2.2
1685956500000,262783,262887,262783,262843,1.2
1685956800000,262854,262854,262854,262854,0.4
1685957100000,262636,262841,262466,262657,3.9
1685957700000,262465,262465,262464,262464,1.7
1685958300000,262520,262520,262338,262338,0.6
1685958600000,262250,262532,262250,262500,3.4
1685958900000,262498,262499,262400,262416,2.2
1685959200000,262256,262494,262256,262277,15
1685959500000,262248,262248,262240,262240,2.4
1685959800000,262500,262500,262304,262340,8.9
1685960100000,262251,262386,262120,262386,4
1685960400000,262347,262415,262347,262415,1
1685960700000,262282,262412,262282,262412,1
1685961000000,262361,262769,262360,262375,6.8
1685961300000,262400,262548,262110,262110,2
1685961600000,262193,262223,261890,262090,15.3
1685961900000,262000,262100,262000,262085,3
1685962200000,262270,262270,261919,261920,1
1685962500000,261900,261900,261625,261796,18.2
1685962800000,261625,262101,261480,262061,7.6
1685963100000,262125,262125,262032,262032,2.8
1685963700000,261880,261980,261880,261979,1.8
1685964000000,262179,262272,262178,262266,3.4
1685964300000,262522,262529,262522,262529,1
1685964600000,262542,262800,262344,262344,14.2
1685964900000,262416,262580,262416,262552,3.6
1685965200000,262543,262543,262529,262530,53.2
1685966100000,262483,262597,262483,262597,2.6
1685966400000,262594,262689,262283,262558,13
1685966700000,262451,262451,262450,262450,0.6
1685967300000,262447,262447,262356,262356,1.3
1685967600000,262556,262556,262260,262260,1.8
1685967900000,262281,262501,262217,262335,15.4
1685968200000,262257,262485,262201,262335,10
1685968500000,262284,262394,261400,261400,16.6
1685968800000,261461,261658,261270,261453,12.8
1685969100000,261443,261557,261275,261557,3.6
1685969400000,261451,261451,261242,261304,2.8
1685969700000,261231,261705,261231,261591,4.2
1685970000000,261591,261591,260774,261453,43.8
1685970300000,261453,261502,261078,261502,6.8
1685970600000,261660,261958,261660,261792,2.3
1685970900000,261974,261974,261700,261700,2
1685971200000,261610,261620,261610,261620,2
1685971500000,261622,262034,261593,261593,23
1685971800000,261696,262163,261696,262163,8.8
1685972100000,261899,262203,261899,262000,2.6
1685972700000,262000,262000,261795,261795,8.8
1685973000000,261577,261700,261480,261527,4.9
1685973300000,261701,261703,261692,261692,5
1685973600000,261530,261530,260763,260906,80.4
1685973900000,260841,260929,260340,260596,21.7
1685974200000,260462,260554,259953,259953,114.9
1685974500000,259957,260395,259752,260395,233.1
1685974800000,260331,260428,260040,260333,6.3
1685975100000,260196,260196,260088,260088,3.9
1685975400000,260253,260500,260184,260500,5.5
1685975700000,260468,260806,260317,260391,30.5
1685976000000,260335,260469,260335,260343,3.8
1685976300000,260687,260896,260687,260849,5.5
1685976600000,261008,261008,260893,260893,3.1
1685977200000,260948,260948,258780,259764,110.6
1685977500000,259769,260637,259260,260484,53.8
1685977800000,260484,260484,259800,259800,34.3
1685978100000,259822,259822,258310,258974,36.2
1685978400000,258961,259326,258770,258961,96.7
1685978700000,258937,259245,258000,259209,68.9
1685979000000,258989,259130,258323,259130,14.8
1685979300000,258812,258965,258372,258840,161.3
1685979600000,259297,259400,259116,259400,9.2
1685979900000,259375,259487,258555,258710,7.9
1685980200000,258893,258893,256608,257737,171.8
1685980500000,257354,257449,254297,254297,229
1685980800000,254353,254675,248291,249134,608
1685981100000,248849,253243,248739,252626,190.4
1685981400000,252833,253534,251923,253503,117.4
1685981700000,253474,254184,252733,253398,108.4
1685982000000,253197,253718,252495,253362,21
1685982300000,253292,253991,253133,253886,8.8
1685982600000,253672,253770,253231,253427,2.6
1685982900000,253921,253989,253397,253397,10.2
1685983200000,253360,253627,253260,253461,17.6
1685983500000,253171,253436,252299,252528,16
1685983800000,252560,253385,252560,253135,8
1685984100000,253135,253606,253135,253606,61.2
1685984400000,253615,253657,252847,252922,25
1685984700000,252967,253049,252578,252769,11.2
1685985000000,252649,252777,252399,252613,9.3
1685985300000,252538,253173,252480,253021,4.4
1685985600000,253062,253254,252933,253247,11
1685985900000,252906,253119,252585,253119,8.1
1685986200000,253068,253068,252586,253053,0.8
1685986500000,253053,253775,253053,253775,4.4
1685987100000,254221,254335,254186,254186,2.2
1685987400000,254000,254084,253915,253915,0.6
1685987700000,253988,254031,253952,254031,26.4
1685988000000,253893,253955,253542,253831,15
1685988300000,253592,253858,253261,253484,13.2
1685988600000,253490,253824,253355,253622,12.6
1685988900000,253431,253624,253402,253564,2.2
1685989200000,253475,253605,253000,253117,42.4
1685989500000,252996,252996,252786,252967,3.4
1685989800000,252920,252920,252499,252545,3.9
1685990100000,252690,252899,252649,252671,10
1685990400000,252826,253124,252534,252560,21.6
1685990700000,252669,252669,252253,252410,8.6
1685991000000,252557,252557,252380,252380,2.8
1685991300000,252557,252557,252160,252450,2.6
1685991600000,252506,252506,251803,252312,10
1685991900000,252300,252626,252300,252626,1.2
1685992200000,252620,252620,252377,252445,2.2
1685992500000,252215,252344,251914,252122,4.4
1685992800000,252207,252228,252207,252228,1.2
1685993100000,251867,251867,250825,251523,50.2
1685993400000,251503,252223,251357,252223,11.4
1685993700000,251897,251947,251848,251848,2.8
1685994000000,251817,251817,251817,251817,0.6
1685994300000,252104,252621,252104,252537,5.2
1685994600000,252675,252675,252447,252530,4.8
1685994900000,252285,252456,252216,252456,7.6
1685995200000,252433,252460,252222,252302,6.8
1685995500000,252089,252160,252072,252150,523.8
1685995800000,252132,252492,252120,252300,215.9
1685996100000,252300,252300,252000,252120,56.7
1685996400000,252048,252400,252019,252019,117.5
1685996700000,252012,252076,251851,251851,40.8
1685997000000,251946,251968,251784,251950,44
1685997300000,251967,251967,251900,251918,40.4
1685997900000,251947,252110,251947,252048,8.8
1685998200000,252015,252028,251976,252028,4.1
1685998500000,252024,252024,251868,251868,15.4
