openTime,open,high,low,close,volume
1685566800000,260166,260376,260166,260279,0.8
1685567100000,260163,260163,260109,260109,0.6
1685568300000,259839,260026,259633,259737,2.4
1685568600000,259737,259737,259737,259737,0.8
1685568900000,259864,260221,259864,260221,6.8
1685569200000,260003,260033,260003,260026,2.4
1685569500000,260073,260073,260000,260000,2.6
1685570400000,260000,260000,259919,259919,0.4
1685570700000,260137,260407,260137,260383,3
1685571000000,260495,260507,260229,260351,5.2
1685571300000,260398,260939,260398,260615,8.1
1685571600000,260531,260531,260531,260531,0.2
1685572200000,260550,260699,260550,260592,4.8
1685572500000,260535,260784,260535,260784,2.6
1685572800000,260783,260783,260562,260562,1.4
1685573100000,260566,260566,260566,260566,0.2
1685573700000,260478,260867,260478,260734,17.4
1685574000000,260640,260690,260640,260690,0.6
1685574300000,260509,260835,260509,260835,1.6
1685574600000,260808,260808,260676,260676,0.4
1685574900000,260614,260614,260409,260555,7.3
1685575200000,260568,260579,260555,260555,12.6
1685575500000,260592,260928,260562,260928,1.9
1685575800000,260670,260844,260593,260593,3
1685576100000,260741,260796,260500,260700,25.1
1685576400000,260977,261665,260907,261210,38.8
1685576700000,261316,261316,261045,261100,17.4
1685577000000,261100,261105,260947,261100,8
1685577300000,260822,261040,260822,260939,5.4
1685577600000,261252,261491,261049,261270,5.6
1685577900000,261344,261344,261174,261340,2
1685578200000,261696,263003,261696,262709,85.3
1685578500000,262875,262967,262606,262822,17.8
1685578800000,262822,263379,262822,262996,13.6
1685579100000,262996,263100,262849,262911,70.4
1685579400000,263234,263297,261899,261899,14.8
1685579700000,261594,261758,260889,261286,86.6
1685580000000,261352,261359,261203,261203,2.4
1685580300000,261093,261108,260600,260732,21.4
1685580600000,260775,260775,260336,260336,60.4
1685580900000,260202,260664,260169,260552,14.4
1685581200000,260746,261380,260746,261380,8
1685581500000,261509,261801,261502,261800,11
1685581800000,261946,262201,261900,261900,65.5
1685582100000,261771,262128,261633,262121,34.8
1685582400000,262061,262121,261866,262080,7.7
1685582700000,261959,262150,261908,262150,0.6
1685583000000,261996,262136,261984,262136,4.2
1685583300000,261839,261917,261839,261917,0.4
1685583600000,261937,262065,261737,261737,2.8
1685583900000,261516,261889,261367,261549,19.2
1685584200000,261310,261548,261101,261412,6
1685584500000,261460,261460,261460,261460,0.4
1685584800000,261460,261460,261460,261460,0.8
1685585100000,261118,261306,261042,261199,2.6
1685585700000,261129,261178,261129,261178,0.4
1685586000000,261037,261386,261037,261386,1.2
1685586300000,261303,261426,261202,261426,106.2
1685586600000,261426,261626,261426,261626,2.2
1685587200000,261355,261500,261355,261401,2.2
1685587500000,261202,261216,259461,259461,290
1685587800000,259553,259798,258436,259036,132.2
1685588100000,259016,259164,258565,259043,15.9
1685588400000,258755,259056,257000,257995,337.4
1685588700000,258116,258864,257996,258663,69.4
1685589000000,258736,259247,258736,259170,155.2
1685589300000,259201,259772,259201,259772,72.1
1685589600000,259743,259775,259451,259644,45.9
1685589900000,259652,259728,259213,259260,255.9
1685590200000,259268,259684,259197,259684,33.3
1685590500000,259765,259774,259503,259524,112.2
1685590800000,259405,259475,259229,259445,7.8
1685591100000,259358,259391,259356,259391,1.6
1685591400000,259375,259375,259369,259369,2
1685591700000,259380,259488,259380,259488,3.1
1685592000000,259293,259524,259244,259443,23.4
1685592300000,259406,259406,259406,259406,0.4
1685592900000,259340,259368,259339,259368,1.8
1685593200000,259372,259380,259128,259212,6.8
1685593500000,259197,259212,259000,259080,70.2
1685593800000,259092,259248,259092,259168,87.1
