openTime,open,high,low,close,volume
1685570400000,0.3,0.3,0.293,0.293,1000000
1685571000000,0.298,0.302,0.298,0.302,18000
1685571900000,0.298,0.298,0.294,0.298,28000
1685574300000,0.298,0.298,0.298,0.298,1114
1685574600000,0.298,0.298,0.298,0.298,8886
1685579700000,0.299,0.3,0.299,0.3,8600
1685580000000,0.3,0.3,0.3,0.3,5160
1685580600000,0.3,0.3,0.3,0.3,10320
1685580900000,0.3,0.3,0.3,0.3,1720
1685581200000,0.3,0.3,0.3,0.3,29240
1685581500000,0.3,0.3,0.3,0.3,6880
1685581800000,0.3,0.301,0.3,0.301,43808
1685582400000,0.301,0.301,0.301,0.301,270
1685583000000,0.3,0.3,0.3,0.3,600
1685583300000,0.301,0.301,0.301,0.301,10320
1685583600000,0.301,0.301,0.301,0.301,32900
1685583900000,0.301,0.301,0.301,0.301,8600
1685585100000,0.301,0.301,0.3,0.3,2312
1685586000000,0.3,0.3,0.3,0.3,60000
1685586600000,0.3,0.301,0.3,0.301,59688
1685587500000,0.3,0.3,0.3,0.3,20000
1685589000000,0.301,0.301,0.301,0.301,60000
1685590800000,0.3,0.302,0.296,0.302,380000
1685591100000,0.302,0.302,0.302,0.302,60000
1685591400000,0.296,0.302,0.296,0.302,5020
1685592300000,0.301,0.301,0.301,0.301,22
1685594700000,0.301,0.301,0.301,0.301,8600
1685595000000,0.301,0.301,0.301,0.301,8600
1685597400000,0.301,0.302,0.301,0.302,800
1685597700000,0.302,0.302,0.302,0.302,6880
1685598600000,0.302,0.302,0.302,0.302,120
1685598900000,0.302,0.302,0.302,0.302,20
1685599200000,0.302,0.302,0.302,0.302,180
1685599500000,0.302,0.302,0.302,0.302,60000
1685600100000,0.301,0.302,0.299,0.302,530
1685600400000,0.302,0.302,0.302,0.302,80
1685601600000,0.302,0.302,0.302,0.302,3440
1685603700000,0.302,0.302,0.302,0.302,60
1685609100000,0.302,0.302,0.302,0.302,8600
1685609400000,0.302,0.302,0.302,0.302,6880
1685610600000,0.302,0.302,0.302,0.302,40
1685610900000,0.302,0.302,0.302,0.302,5160
1685617500000,0.302,0.302,0.302,0.302,3440
1685618100000,0.302,0.302,0.302,0.302,724
1685619300000,0.304,0.304,0.304,0.304,1720
1685622600000,0.304,0.304,0.304,0.304,420
1685622900000,0.303,0.304,0.303,0.304,3060
1685628000000,0.303,0.303,0.303,0.303,200
1685636700000,0.303,0.303,0.302,0.302,4000
1685637000000,0.304,0.304,0.304,0.304,4000
1685649600000,0.304,0.304,0.304,0.304,60000
1685649900000,0.304,0.304,0.304,0.304,120000
