openTime,open,high,low,close,volume
1690238100000,0.298,0.298,0.298,0.298,20
1690240200000,0.298,0.298,0.298,0.298,1020
1690240500000,0.296,0.296,0.296,0.296,40
1690245900000,0.297,0.298,0.297,0.298,100000
1690246500000,0.297,0.297,0.296,0.296,311696
1690246800000,0.297,0.298,0.297,0.298,235560
1690247100000,0.298,0.298,0.298,0.298,436
1690248300000,0.297,0.297,0.297,0.297,10000
1690248600000,0.297,0.297,0.297,0.297,10000
1690248900000,0.297,0.297,0.297,0.297,20000
1690250100000,0.297,0.297,0.297,0.297,1200
1690254300000,0.297,0.297,0.297,0.297,2000
1690254900000,0.297,0.297,0.297,0.297,5244
1690257600000,0.297,0.297,0.296,0.296,100000
1690258800000,0.298,0.298,0.298,0.298,30000
1690260000000,0.298,0.298,0.298,0.298,2000
1690264500000,0.296,0.296,0.296,0.296,850
1690265700000,0.297,0.297,0.297,0.297,1020
1690268100000,0.297,0.297,0.297,0.297,10000
1690274700000,0.296,0.296,0.296,0.296,35000
1690275000000,0.296,0.296,0.296,0.296,45000
1690277400000,0.297,0.297,0.297,0.297,200
1690283400000,0.297,0.297,0.297,0.297,4000
1690284000000,0.297,0.297,0.297,0.297,4000
1690285800000,0.297,0.297,0.297,0.297,640
1690286100000,0.297,0.298,0.297,0.298,13440
1690286400000,0.298,0.298,0.296,0.296,4520
1690287000000,0.298,0.298,0.298,0.298,3180
1690287300000,0.298,0.298,0.298,0.298,60000
1690290000000,0.296,0.296,0.296,0.296,68000
1690290600000,0.298,0.298,0.298,0.298,1020
1690290900000,0.298,0.298,0.298,0.298,5600
1690291200000,0.298,0.298,0.298,0.298,38500
1690291500000,0.297,0.297,0.297,0.297,20000
1690291800000,0.297,0.297,0.297,0.297,20000
1690292700000,0.298,0.298,0.298,0.298,20
1690295100000,0.296,0.296,0.296,0.296,40336
1690296300000,0.297,0.298,0.297,0.298,3440
1690296600000,0.298,0.298,0.298,0.298,366
1690298400000,0.297,0.297,0.297,0.297,10000
1690298700000,0.297,0.297,0.297,0.297,20000
1690300200000,0.297,0.297,0.297,0.297,20
1690305900000,0.297,0.297,0.297,0.297,1000
1690315500000,0.297,0.297,0.297,0.297,1020
1690316700000,0.297,0.297,0.297,0.297,2480
