openTime,open,high,low,close,volume
1685568300000,905,905,905,905,1
1685569800000,905,905,905,905,22
1685576700000,905,905,905,905,5.5
1685582400000,906,906,906,906,0.2
1685588100000,905,905,903,903,130
1685588400000,903,903,903,903,190
1685590800000,900,900,896,896,198.6
1685604600000,902,902,902,902,0.2
1685610300000,902,902,902,902,0.1
1685618700000,893,893,890,890,50.8
1685622600000,895,895,895,895,10
1685623800000,895,895,895,895,0.2
1685624100000,895,895,895,895,0.8
1685625000000,895,895,895,895,0.2
1685627100000,895,895,895,895,2
1685632200000,895,895,895,895,40
1685638800000,897,897,897,897,3
1685646900000,896,896,896,896,5
1685647800000,895,895,890,890,35
1685648400000,891,891,891,891,5
1685649300000,891,891,891,891,6
1685652900000,891,891,891,891,2.5
