openTime,open,high,low,close,volume
1690146900000,1123,1123,1123,1123,6
1690147500000,1125,1125,1125,1125,0.1
1690147800000,1125,1125,1125,1125,162.3
1690154400000,1125,1125,1125,1125,15
1690155900000,1124,1124,1124,1124,0.4
1690156200000,1116,1116,1116,1116,4.5
1690159800000,1113,1116,1110,1116,102.1
1690162200000,1115,1115,1114,1114,34
1690162800000,1108,1108,1108,1108,28.6
1690164300000,1100,1100,1100,1100,39.8
1690166100000,1101,1101,1101,1101,0.2
1690168500000,1101,1101,1100,1100,142.2
1690170000000,1100,1100,1100,1100,120
1690170300000,1100,1100,1100,1100,160
1690171500000,1101,1101,1100,1100,21.7
1690171800000,1098,1098,1086,1086,40
1690173000000,1096,1096,1096,1096,0.1
1690173900000,1097,1097,1097,1097,0.5
1690175100000,1094,1094,1093,1093,6
1690176900000,1099,1099,1099,1099,1
1690177200000,1099,1099,1099,1099,0.1
1690186200000,1098,1098,1098,1098,20
1690188000000,1097,1097,1097,1097,40
1690188300000,1097,1097,1097,1097,0.1
1690190400000,1097,1097,1096,1096,260
1690191900000,1088,1088,1084,1084,306.4
1690192200000,1084,1084,1079,1079,81.6
1690192800000,1078,1078,1074,1074,596.4
1690193100000,1073,1073,1071,1071,1025.7
1690194600000,1075,1075,1075,1075,18.4
1690194900000,1075,1075,1069,1075,96.5
1690195500000,1079,1079,1079,1079,0.1
1690195800000,1079,1079,1079,1079,28.1
1690196400000,1081,1081,1081,1081,10
1690201200000,1077,1077,1068,1068,39
1690201500000,1074,1074,1074,1074,2
1690204800000,1078,1080,1078,1080,950.1
1690205700000,1080,1080,1080,1080,100
1690206900000,1070,1070,1070,1070,20
1690207500000,1076,1078,1076,1078,27.6
1690208100000,1078,1078,1078,1078,0.1
1690208400000,1080,1080,1080,1080,23.1
1690209000000,1080,1080,1080,1080,100
1690219800000,1079,1079,1079,1079,1
1690224600000,1079,1079,1079,1079,60
1690225800000,1079,1079,1079,1079,0.1
1690227000000,1079,1079,1079,1079,50
1690229700000,1078,1078,1078,1078,120
1690230000000,1078,1078,1078,1078,0.5
1690230900000,1077,1077,1077,1077,10
1690231200000,1076,1076,1076,1076,103
