openTime,open,high,low,close,volume
1686085500000,12674,12674,12674,12674,4
1686086700000,12667,12668,12667,12668,40
1686088800000,12666,12666,12666,12666,1
1686089100000,12666,12666,12635,12635,4
1686090900000,12635,12635,12620,12620,24.78
1686091500000,12635,12635,12635,12635,98.5
1686091800000,12685,12686,12685,12686,8.2
1686092400000,12727,12727,12727,12727,20
1686092700000,12680,12680,12664,12664,0.4
1686093000000,12662,12662,12661,12661,52.76
1686093300000,12700,12725,12679,12679,69.9
1686094200000,12695,12695,12695,12695,1
1686094500000,12695,12698,12654,12654,21.5
1686096000000,12709,12709,12700,12700,1.4
1686096600000,12680,12680,12678,12678,18.8
1686099000000,12671,12671,12671,12671,1
1686099300000,12671,12671,12671,12671,2
1686099600000,12671,12671,12589,12589,28.1
1686100200000,12589,12589,12544,12544,8.2
1686101100000,12538,12538,12522,12523,31.4
1686102600000,12523,12523,12521,12521,6.91
1686105300000,12525,12525,12525,12525,20
1686105600000,12527,12527,12527,12527,2
1686105900000,12533,12533,12533,12533,6
1686107100000,12562,12562,12562,12562,18.6
1686107700000,12530,12530,12530,12530,0.2
1686108000000,12527,12527,12522,12522,0.8
1686108600000,12500,12500,12444,12444,49.3
1686108900000,12444,12444,12435,12440,11.54
1686109800000,12490,12490,12490,12490,1.46
1686110700000,12594,12594,12594,12594,2
1686115200000,12641,12641,12641,12641,20
