openTime,open,high,low,close,volume
1692392400000,9380,9380,9380,9380,1
1692393600000,9429,9430,9429,9430,3.94
1692394500000,9406,9406,9406,9406,3
1692395400000,9407,9407,9407,9407,0.1
1692395700000,9406,9408,9400,9400,6.8
1692396300000,9412,9415,9412,9415,4
1692396600000,9417,9417,9417,9417,20
1692397500000,9400,9400,9400,9400,9
1692398100000,9400,9400,9400,9400,1
1692399300000,9380,9380,9380,9380,0.2
1692399600000,9382,9382,9382,9382,20
1692399900000,9383,9383,9383,9383,20
1692400200000,9385,9386,9385,9386,0.7
1692400800000,9368,9368,9366,9367,1.3
1692402300000,9325,9328,9301,9302,34.46
1692402900000,9317,9321,9317,9321,5.45
1692411000000,9327,9331,9327,9331,23.56
1692411600000,9332,9334,9332,9334,12
1692411900000,9305,9305,9305,9305,10
1692412200000,9331,9331,9331,9331,0.22
1692412500000,9331,9331,9331,9331,9.6
1692413400000,9331,9334,9331,9334,2.48
1692414000000,9335,9335,9335,9335,1
1692414300000,9335,9335,9303,9307,54.18
1692414600000,9302,9302,9302,9302,12.14
1692415200000,9302,9302,9302,9302,0.2
1692416100000,9316,9316,9316,9316,6
1692417300000,9332,9332,9332,9332,0.6
1692420900000,9333,9333,9331,9331,17.17
1692421200000,9372,9374,9372,9374,2
1692421500000,9374,9374,9374,9374,26
1692422700000,9359,9359,9359,9359,2
1692423300000,9354,9354,9348,9348,68.8
1692423600000,9320,9320,9320,9320,2
1692424200000,9322,9322,9322,9322,2
1692424800000,9322,9322,9322,9322,2
1692425400000,9311,9311,9311,9311,2
1692426600000,9322,9322,9322,9322,4
1692427800000,9322,9322,9322,9322,4.2
1692428400000,9301,9301,9300,9301,84.93
1692428700000,9302,9302,9302,9302,0.5
1692429000000,9302,9303,9302,9303,3.1
1692431400000,9328,9328,9328,9328,0.1
1692431700000,9328,9330,9328,9330,10.85
1692433200000,9350,9354,9350,9354,5.5
1692433500000,9354,9354,9354,9354,0.2
1692434100000,9354,9354,9354,9354,0.32
1692434700000,9311,9311,9311,9311,25.7
1692435300000,9345,9345,9345,9345,0.24
1692436500000,9353,9353,9353,9353,6
1692437400000,9354,9354,9354,9354,3.44
1692437700000,9354,9364,9354,9364,6.5
1692438600000,9374,9374,9374,9374,2
1692439800000,9380,9380,9380,9380,1.2
1692440400000,9342,9342,9342,9342,13.14
1692441600000,9344,9344,9344,9344,1.14
1692442200000,9343,9343,9343,9343,0.4
1692444300000,9322,9354,9322,9354,9.62
1692445200000,9325,9325,9321,9321,2
1692446400000,9320,9320,9320,9320,1
1692446700000,9320,9320,9320,9320,2
1692447000000,9320,9320,9303,9303,2.5
1692447600000,9303,9303,9300,9300,8.32
1692447900000,9301,9301,9301,9301,2
1692448200000,9308,9308,9308,9308,1
1692448500000,9313,9317,9313,9317,2.21
1692450000000,9300,9300,9300,9300,1.32
1692450600000,9308,9308,9300,9300,8
1692451500000,9329,9329,9329,9329,5
1692452700000,9329,9329,9329,9329,3.2
1692453000000,9329,9329,9329,9329,0.5
1692453300000,9324,9324,9324,9324,0.5
1692454200000,9323,9323,9300,9300,22
1692454500000,9300,9300,9291,9293,49.4
1692455400000,9332,9336,9332,9336,56.9
1692455700000,9338,9338,9338,9338,3
1692456000000,9339,9339,9339,9339,0.1
1692457200000,9334,9334,9334,9334,1
1692457500000,9303,9303,9300,9300,2.42
1692458100000,9342,9352,9342,9352,1.2
1692459000000,9325,9347,9325,9347,3.72
1692460200000,9400,9400,9400,9400,1.34
1692461400000,9370,9370,9370,9370,2.6
1692463500000,9459,9459,9459,9459,0.34
1692463800000,9459,9459,9459,9459,1
1692464100000,9465,9465,9465,9465,0.2
1692464400000,9458,9458,9458,9458,16.4
1692464700000,9458,9458,9458,9458,2.35
1692465000000,9443,9443,9402,9402,326.6
1692465600000,9396,9396,9396,9396,0.31
1692465900000,9370,9370,9370,9370,4
1692467400000,9386,9402,9386,9402,92
1692468600000,9390,9390,9390,9390,0.8
1692470700000,9384,9384,9384,9384,0.1
1692471000000,9382,9382,9382,9382,1
1692471600000,9360,9360,9360,9360,0.1
1692472800000,9366,9366,9366,9366,5
1692475500000,9328,9334,9328,9334,4
1692475800000,9352,9352,9352,9352,60
1692476400000,9305,9305,9290,9290,24.89
1692477900000,9291,9291,9291,9291,0.1
1692478200000,9296,9296,9296,9296,0.18
