openTime,open,high,low,close,volume
1685654100000,13151,13159,13150,13150,18
1685654400000,13150,13156,13106,13156,119
1685654700000,13118,13133,13101,13133,21
1685655000000,13112,13112,13102,13102,4
1685655600000,13100,13100,13076,13076,16
1685656500000,13100,13100,13100,13100,2
1685656800000,13125,13127,13125,13127,4
1685657100000,13134,13134,13134,13134,8
1685658000000,13099,13099,13099,13099,6
1685658900000,13107,13107,13072,13072,139
1685659200000,13069,13094,13068,13094,23
1685659500000,13074,13106,13070,13106,90
1685659800000,13106,13106,13100,13103,25
1685660100000,13138,13138,13086,13136,39
1685660400000,13097,13097,13092,13092,27
1685661900000,13064,13064,13039,13039,14
1685662200000,13039,13040,12978,12978,192
1685662500000,12983,12983,12982,12983,22
1685662800000,12995,12999,12972,12999,311
1685663100000,13030,13031,13010,13010,37
1685663400000,13010,13015,13010,13015,40
1685663700000,13057,13058,13057,13058,8
1685664000000,13033,13033,13019,13019,6
1685664300000,13010,13010,13000,13000,98
1685664600000,13052,13053,13052,13053,4
1685665200000,12980,12989,12980,12989,29
1685665500000,12989,13002,12944,12996,160
1685665800000,13002,13002,13002,13002,64
1685666100000,12934,12967,12900,12964,33
1685666400000,12966,12971,12964,12970,36
1685666700000,13048,13048,13048,13048,2
1685667000000,13098,13099,13090,13090,66
1685667300000,13099,13138,13099,13126,23
1685669400000,13126,13126,13126,13126,40
1685669700000,13157,13174,13157,13174,38
1685670300000,13129,13129,13129,13129,2
1685670900000,13081,13081,13081,13081,2
1685671200000,13092,13092,13091,13091,14
1685671500000,13058,13064,13058,13064,18
1685671800000,13061,13061,13061,13061,7
1685672100000,13074,13074,13074,13074,2
1685672400000,13100,13214,13100,13199,115
1685673300000,13200,13200,13188,13188,5
1685673600000,13226,13265,13226,13265,42
1685674200000,13232,13264,13228,13228,6
1685675100000,13148,13148,13143,13143,26
1685675400000,13148,13157,13148,13157,4
1685675700000,13166,13166,13159,13159,14
1685676300000,13145,13145,13144,13144,25
1685676900000,13153,13153,13144,13144,36
1685677200000,13150,13193,13150,13193,77
1685677500000,13155,13155,13155,13155,2
1685678100000,13217,13225,13217,13225,39
1685678400000,13217,13228,13175,13177,179
1685678700000,13192,13193,13180,13180,20
1685679000000,13188,13188,13127,13144,156
1685679300000,13145,13145,13145,13145,6
1685680500000,13203,13250,13203,13250,76
1685680800000,13252,13252,13240,13252,20
1685681400000,13240,13275,13215,13215,236
1685681700000,13215,13215,13215,13215,6
1685682000000,13215,13215,13215,13215,6
1685682300000,13239,13239,13232,13232,6
1685683200000,13245,13245,13245,13245,4
1685683800000,13238,13238,13238,13238,6
1685684700000,13239,13239,13239,13239,2
1685685000000,13239,13239,13238,13238,18
1685685600000,13201,13201,13200,13200,28
1685685900000,13197,13200,13152,13162,656
1685686200000,13162,13162,13160,13162,361
1685686500000,13162,13218,13162,13188,232
1685686800000,13189,13189,13188,13188,12
1685687400000,13172,13172,13172,13172,1
1685688300000,13170,13170,13170,13170,1
1685688900000,13167,13167,13161,13161,5
1685689200000,13150,13150,13150,13150,2
1685689500000,13150,13150,13150,13150,28
1685689800000,13165,13165,13165,13165,2
1685690100000,13165,13165,13157,13157,16
1685690700000,13131,13132,13131,13132,14
1685691300000,13131,13131,13120,13120,223
1685691600000,13139,13145,13139,13145,6
1685692500000,13131,13137,13131,13137,6
1685693100000,13166,13166,13166,13166,2
1685693400000,13113,13113,13113,13113,4
1685694600000,13155,13181,13112,13116,320
1685695800000,13190,13190,13185,13185,4
1685696100000,13194,13194,13194,13194,6
1685696400000,13174,13174,13174,13174,2
1685697000000,13198,13200,13198,13200,26
1685697600000,13141,13141,13137,13137,8
1685697900000,13158,13158,13158,13158,2
1685698200000,13158,13162,13158,13162,4
1685699100000,13151,13151,13150,13150,36
1685699400000,13159,13176,13159,13176,14
1685700900000,13178,13178,13178,13178,4
1685701200000,13200,13200,13200,13200,18
1685701500000,13200,13200,13180,13180,19
1685702100000,13186,13186,13186,13186,6
1685702700000,13152,13190,13152,13190,234
1685703300000,13188,13189,13188,13189,4
1685703600000,13200,13200,13200,13200,20
1685703900000,13218,13226,13208,13208,17
1685704200000,13203,13211,13175,13211,20
1685704500000,13182,13219,13181,13190,39
1685704800000,13208,13213,13207,13208,8
1685705400000,13195,13211,13195,13211,8
1685706300000,13224,13245,13224,13245,16
1685706600000,13248,13250,13210,13236,229
1685706900000,13236,13236,13232,13232,30
1685707200000,13235,13235,13202,13210,19
1685707500000,13212,13222,13212,13222,14
1685707800000,13210,13240,13210,13240,9
1685708100000,13246,13248,13241,13248,29
1685708400000,13233,13233,13228,13228,30
1685708700000,13246,13246,13238,13238,48
1685709000000,13231,13238,13152,13164,166
1685709600000,13201,13238,13201,13238,147
1685709900000,13238,13238,13155,13155,397
1685710200000,13169,13191,13150,13169,43
1685710500000,13163,13193,13163,13193,35
1685710800000,13152,13152,13150,13150,26
1685711100000,13160,13160,13150,13150,11
1685711400000,13150,13152,13114,13139,69
1685711700000,13100,13150,13080,13116,144
1685712000000,13110,13110,13073,13073,18
1685712300000,13075,13135,13075,13135,58
1685712600000,13134,13150,13134,13150,22
1685712900000,13150,13155,13107,13139,130
1685713200000,13153,13157,13153,13157,24
1685713500000,13132,13132,13088,13117,110
1685713800000,13088,13100,13059,13059,136
1685714100000,13055,13078,13010,13060,78
1685714400000,13022,13077,13013,13060,137
1685715600000,13009,13009,12998,12998,48
1685716200000,13035,13035,13029,13029,4
1685716500000,13029,13038,13029,13038,8
1685716800000,13059,13059,13059,13059,2
1685717700000,13080,13080,13080,13080,28
1685718000000,13100,13147,13100,13123,29
1685718300000,13128,13140,13128,13140,14
1685719200000,13172,13205,13172,13205,76
1685719500000,13206,13212,13206,13212,28
1685719800000,13210,13214,13210,13214,31
1685720100000,13213,13219,13213,13213,41
1685720400000,13232,13233,13232,13233,13
1685720700000,13217,13217,13182,13182,43
1685721000000,13227,13227,13227,13227,4
1685721600000,13204,13204,13200,13200,4
1685722200000,13195,13200,13179,13200,39
1685722500000,13188,13188,13188,13188,2
1685722800000,13200,13200,13180,13180,22
1685723700000,13198,13198,13198,13198,2
1685724000000,13181,13181,13180,13180,4
1685724600000,13170,13170,13160,13160,10
1685725200000,13168,13168,13168,13168,12
1685727600000,13170,13170,13168,13168,14
1685728500000,13165,13165,13165,13165,2
1685728800000,13182,13200,13182,13200,34
1685729400000,13181,13181,13168,13168,37
1685730600000,13174,13175,13174,13175,14
1685730900000,13162,13191,13162,13165,35
1685731200000,13176,13176,13176,13176,2
1685731500000,13220,13220,13220,13220,8
1685731800000,13221,13221,13220,13220,10
1685733000000,13242,13250,13242,13250,42
1685733300000,13250,13250,13246,13246,85
1685733600000,13242,13242,13240,13240,113
1685733900000,13250,13250,13246,13250,140
1685734500000,13299,13319,13299,13317,66
1685734800000,13319,13319,13319,13319,2
1685735100000,13313,13313,13296,13296,6
1685738400000,13301,13313,13301,13313,4
1685739300000,13339,13348,13303,13303,40
