openTime,open,high,low,close,volume
1687903500000,12723,12723,12723,12723,2
1687905600000,12615,12645,12612,12645,24
1687906200000,12609,12609,12600,12600,30
1687906800000,12600,12600,12600,12600,4
1687907100000,12625,12626,12625,12626,8
1687908300000,12608,12608,12605,12605,4
1687908600000,12626,12659,12626,12659,44
1687910100000,12686,12692,12686,12692,34
1687910400000,12692,12694,12692,12692,599
1687910700000,12692,12692,12673,12675,250
1687911000000,12634,12634,12631,12631,34
1687911300000,12583,12586,12577,12577,39
1687911600000,12580,12580,12545,12545,17
1687911900000,12546,12563,12546,12563,10
1687912200000,12556,12556,12556,12556,12
1687912500000,12520,12527,12519,12527,12
1687913400000,12588,12588,12588,12588,4
1687914300000,12627,12627,12627,12627,2
1687915200000,12625,12625,12625,12625,2
1687915800000,12578,12594,12578,12594,12
1687916100000,12555,12555,12553,12553,22
1687916400000,12581,12581,12537,12537,4
1687917000000,12588,12601,12588,12601,12
1687917600000,12601,12601,12601,12601,10
1687917900000,12600,12600,12600,12600,18
1687918500000,12601,12601,12601,12601,20
1687918800000,12608,12608,12586,12586,5
1687919100000,12570,12570,12570,12570,4
1687920000000,12575,12589,12575,12589,9
1687920300000,12556,12556,12555,12556,18
1687920600000,12558,12558,12500,12536,147
1687920900000,12505,12507,12500,12507,36
1687921800000,12539,12539,12539,12539,4
1687922100000,12548,12548,12548,12548,2
1687922400000,12531,12531,12510,12510,6
1687922700000,12546,12555,12546,12555,4
1687923000000,12559,12564,12559,12564,5
1687923300000,12566,12566,12566,12566,2
1687923900000,12582,12584,12582,12584,11
1687926000000,12584,12584,12584,12584,8
1687926300000,12584,12585,12584,12585,9
1687926600000,12585,12585,12585,12585,9
1687927500000,12587,12591,12587,12591,2
1687928700000,12588,12591,12588,12591,14
1687929000000,12587,12587,12587,12587,2
1687931400000,12581,12581,12563,12563,6
1687932000000,12541,12541,12517,12519,23
1687932300000,12495,12495,12441,12479,37
1687932900000,12501,12521,12501,12521,8
1687933200000,12510,12511,12510,12511,4
1687933800000,12524,12524,12524,12524,2
1687934100000,12524,12524,12524,12524,14
1687934400000,12524,12524,12524,12524,18
1687936200000,12504,12504,12477,12477,28
1687936500000,12490,12493,12490,12493,23
1687937400000,12476,12476,12326,12339,222
1687937700000,12339,12344,12328,12328,86
1687938000000,12313,12313,12301,12303,62
1687938300000,12315,12315,12208,12246,262
1687938600000,12281,12281,12242,12261,275
1687938900000,12237,12241,12186,12236,153
1687939200000,12221,12259,12208,12208,50
1687939500000,12207,12233,12204,12233,22
1687939800000,12216,12257,12216,12251,92
1687940100000,12236,12277,12236,12277,44
1687940400000,12274,12315,12258,12315,182
1687940700000,12300,12332,12292,12332,37
1687941000000,12307,12312,12307,12312,6
1687941300000,12295,12307,12295,12307,16
1687941900000,12300,12324,12300,12324,5
1687942500000,12296,12296,12296,12296,2
1687943100000,12320,12333,12320,12333,5
1687944000000,12357,12363,12345,12345,8
1687944300000,12345,12376,12345,12376,8
1687945200000,12359,12359,12359,12359,2
1687945800000,12352,12352,12352,12352,4
1687946100000,12363,12387,12363,12387,17
1687946700000,12358,12358,12358,12358,4
1687947600000,12359,12359,12359,12359,4
1687947900000,12398,12400,12396,12396,16
1687948200000,12400,12400,12400,12400,2
1687948500000,12412,12418,12412,12418,21
1687950000000,12391,12391,12391,12391,10
1687951200000,12389,12392,12389,12392,40
1687952400000,12395,12401,12395,12401,61
1687953300000,12376,12378,12376,12378,11
1687953600000,12370,12372,12353,12356,114
1687954200000,12367,12367,12367,12367,12
1687954500000,12350,12350,12299,12306,700
1687954800000,12327,12327,12268,12292,16
1687955100000,12276,12331,12272,12331,13
1687955400000,12353,12353,12319,12335,10
1687955700000,12334,12340,12275,12275,99
1687956000000,12268,12268,12268,12268,4
1687956300000,12271,12273,12261,12268,47
1687957200000,12237,12249,12231,12231,24
1687957500000,12205,12248,12200,12213,54
1687957800000,12236,12272,12206,12272,24
1687958100000,12261,12307,12249,12249,62
1687958400000,12250,12302,12250,12302,14
1687959600000,12307,12315,12307,12315,6
1687959900000,12310,12310,12310,12310,4
1687960200000,12294,12294,12294,12294,2
1687960500000,12260,12260,12259,12259,6
1687962900000,12400,12441,12400,12414,45
1687963200000,12390,12407,12390,12407,10
1687963500000,12405,12410,12405,12410,13
1687965000000,12412,12412,12412,12412,6
1687965600000,12350,12351,12349,12349,14
1687966200000,12369,12369,12369,12369,2
1687971000000,12306,12324,12285,12324,116
1687971300000,12293,12293,12293,12293,6
1687971900000,12260,12260,12259,12259,14
1687972200000,12202,12205,12200,12205,24
1687972500000,12244,12245,12244,12245,6
1687973100000,12277,12277,12277,12277,2
1687973400000,12280,12280,12274,12274,12
1687973700000,12242,12242,12242,12242,8
1687978500000,12264,12265,12264,12264,18
1687979100000,12264,12270,12263,12270,8
1687980300000,12252,12252,12100,12118,157
1687980600000,12090,12090,11846,11931,1298
1687980900000,11915,11915,11861,11892,70
1687981200000,11884,11884,11819,11853,60
1687981500000,11840,11957,11840,11957,10
1687981800000,11956,11963,11956,11963,8
1687982100000,11962,11968,11956,11968,12
1687982400000,11932,11938,11870,11870,37
1687982700000,11865,11865,11865,11865,2
1687983000000,11864,11866,11864,11866,10
1687983300000,11866,11886,11866,11886,8
1687983600000,11887,11922,11887,11898,17
1687983900000,11905,11917,11905,11917,6
1687984200000,11882,11916,11882,11915,12
1687984800000,11934,11993,11934,11993,17
1687985100000,11953,11995,11931,11995,96
1687985400000,12006,12008,12006,12008,40
1687985700000,11993,11994,11993,11994,20
