openTime,open,high,low,close,volume
1686779100000,88035,88290,88035,88290,21.305
1686780900000,88295,88295,87675,87675,0.002
1686783600000,87675,87675,87670,87670,1.05
1686785400000,87665,88490,87560,88455,35
1686785700000,87760,88355,87670,88355,14
1686787200000,87655,87655,87315,87315,0.612
1686787500000,87305,87305,87305,87305,0.107
1686788400000,87240,87240,86965,86965,7
1686789600000,87192,87192,87012,87012,7
1686790500000,87579,87579,87579,87579,0.3
1686797100000,89980,89980,89980,89980,0.001
1686800100000,89795,89795,89795,89795,0.001
1686801600000,90310,90835,90265,90835,1.002
1686803400000,90835,91100,90835,91100,1.008
1686805200000,91100,91100,89660,89660,0.003
1686810300000,90290,90300,90290,90300,1.206
1686812400000,89235,89235,89180,89180,1.106
1686816000000,89180,89180,89180,89180,0.6
1686819600000,89180,89180,89165,89165,2.656
1686820200000,89135,89135,89005,89005,1
1686826800000,89910,89910,89910,89910,0.01
1686830100000,90290,90290,90290,90290,0.01
1686845100000,90290,90295,90290,90295,1.716
1686848100000,89835,89835,89800,89800,0.41
1686855900000,90980,90990,90980,90990,1.55
