openTime,open,high,low,close,volume
1685916000000,54.501,54.501,53.87,53.87,6454
1685928300000,55.369,55.374,54.481,54.481,666
1685931300000,55.289,55.29,55.289,55.29,20
1685935500000,53.871,53.871,53.871,53.871,24
1685936100000,55.269,55.27,55.269,55.27,20
1685936700000,55.209,55.209,55.209,55.209,100
1685949000000,53.871,55.04,53.87,55.04,208
1685951400000,53.871,53.871,53.867,53.867,102
1685952300000,54.889,54.89,54.889,54.89,20
1685965500000,54.831,54.831,54.831,54.831,2
1685974500000,54.2,54.2,53.867,53.867,26
1685979000000,53.9,53.9,53.9,53.9,18
1685982900000,54.589,54.59,54.589,54.59,40
1685983500000,54.589,54.589,54.589,54.589,60
1685984700000,53.9,53.9,53.1,53.1,740
