openTime,open,high,low,close,volume
1690146600000,69.529,69.529,69.529,69.529,2
1690147500000,68.171,69.52,68.171,69.52,208
1690149300000,68.501,68.501,68.5,68.5,358
1690149600000,68.5,68.5,68.5,68.5,440
1690149900000,68.5,68.5,68.5,68.5,100
1690150200000,68.16,68.16,68,68,646
1690151700000,68.602,68.602,68.602,68.602,200
1690152300000,69.528,69.79,69.518,69.79,600
1690154700000,69.087,69.087,68.188,68.188,750
1690155000000,69.529,71.658,66.771,68.409,14764
1690155300000,68.055,68.055,68.04,68.04,180
1690155900000,69.529,69.529,69.529,69.529,6
1690158000000,69.489,69.53,69.467,69.53,960
1690158600000,68.41,68.41,67.93,67.93,400
1690165800000,69.529,70,69.529,70,100
1690166400000,70,70,70,70,600
1690168200000,70,70,70,70,10
1690170900000,68.409,68.409,67.93,67.93,100
1690171200000,67.941,68.45,67.51,68.45,1016
1690171500000,68.4,68.4,68,68,436
1690171800000,67.9,67.9,67.9,67.9,706
1690172400000,69.286,69.43,69.286,69.43,432
1690172700000,69.43,69.5,67.31,67.31,1374
1690173300000,69.499,69.499,69.499,69.499,2
1690182600000,69.499,69.529,67.488,69.529,836
1690182900000,69.529,69.6,69.529,69.6,410
1690185600000,68.411,69.9,67.75,69.9,1224
1690187100000,69.03,69.03,67.75,67.75,224
1690188000000,69.418,69.418,69.418,69.418,2
1690190400000,69,69,67.75,67.75,200
1690190700000,67.751,67.751,67.288,67.288,200
1690191000000,67.288,68.09,67.288,68.09,500
1690192200000,67.288,67.288,66,66,13310
1690192500000,66.2,66.2,65.52,65.52,1516
1690192800000,65.52,65.52,65.101,65.101,8000
1690193100000,66,66,65.101,65.101,20400
1690193400000,66.221,66.99,66.221,66.98,640
1690193700000,67.199,67.63,67.199,67.42,1756
1690194300000,66.222,66.65,66,66,6324
1690195500000,67.299,67.299,67.299,67.299,4
1690197600000,67.2,67.2,67.2,67.2,658
1690199400000,67.202,67.202,66,66,154
1690199700000,66.89,66.89,66.89,66.89,2
1690200000000,66,66,66,66,1650
1690200300000,66,66,66,66,400
1690200900000,66,66,66,66,7556
1690203900000,66,66,66,66,4536
1690204200000,66,66,66,66,120
1690204500000,66.769,66.769,66.769,66.769,4
1690207500000,65.154,65.154,64.39,64.39,4000
1690208400000,65.889,65.89,65.889,65.89,30
1690209900000,65.889,66.221,65.889,66.221,182
1690211700000,65.855,65.855,65.855,65.855,100
1690214100000,65.855,65.855,65.153,65.153,82
1690217700000,65,65,65,65,190
1690224600000,65.989,66,65.989,66,350
1690224900000,65.989,65.989,65.989,65.989,2
1690225500000,65.989,65.989,65.989,65.989,4
1690227000000,65.989,65.99,65.989,65.99,136
1690227600000,65.001,65.999,65,65.999,86
1690230000000,65.999,66,65.999,66,20
