openTime,open,high,low,close,volume
1685916000000,110.765,110.765,110.765,110.765,24.8
1685916600000,111.112,112.668,111.112,112.668,1751
1685917200000,112.692,112.764,112.692,112.764,500
1685918700000,110.412,110.412,110.412,110.412,200
1685921100000,109.884,109.884,109.74,109.74,5
1685921700000,111.648,111.648,111.648,111.648,0.1
1685927400000,109.54,109.54,109.54,109.54,104.6
1685930700000,109.824,109.824,109.824,109.824,0.1
1685931600000,109.956,110.004,109.956,110.004,5
1685933700000,108.5,108.5,108.5,108.5,7
1685934300000,108.552,108.552,108.552,108.552,100
1685934600000,108.42,108.42,108.002,108.002,80
1685934900000,108.002,108.002,108.002,108.002,360
1685935200000,108.072,109.524,108.072,109.524,100
1685936100000,108.002,109.152,107.85,107.85,564.9
1685936400000,107.85,107.85,107.85,107.85,1467.4
1685936700000,107.85,107.85,107.016,107.016,360
1685937000000,107.016,107.016,107.016,107.016,240
1685937300000,107.016,107.016,107.016,107.016,80
1685937600000,107.016,107.016,107.016,107.016,1187.6
1685939700000,107.712,107.712,107.712,107.712,1.3
1685941800000,107.7,107.7,107.016,107.016,200
1685942400000,107.184,107.412,107.184,107.412,15.2
1685944200000,107.448,107.448,107.448,107.448,0.1
1685945700000,107.448,107.448,107.448,107.448,5
1685949000000,107.448,107.448,107.448,107.448,5
1685950500000,107.544,107.544,107.544,107.544,0.1
1685952300000,107.664,107.664,107.664,107.664,0.1
1685955300000,107.4,107.4,107.4,107.4,40
1685955600000,107.4,107.4,107.3,107.3,200
1685958000000,107.3,107.3,107.3,107.3,80
1685962200000,107.3,107.3,106.78,106.78,800
1685962500000,106.78,106.78,105.969,105.969,800
1685963100000,105.972,105.99,105.972,105.99,500
1685963400000,105.991,105.991,105.969,105.969,400
1685964000000,106.032,106.092,106.032,106.092,1090
1685964600000,106.104,106.104,106.104,106.104,5
1685965200000,106.212,106.212,106.212,106.212,1
1685965500000,105.969,105.969,105.016,105.016,1800
1685965800000,105.372,105.612,105.372,105.612,5
1685968500000,105.684,105.684,105.684,105.684,0.1
1685969400000,105.708,105.708,105.708,105.708,1920
1685970000000,105.708,105.78,105.684,105.684,360
1685970300000,105.708,107.412,105.708,107.412,600
1685970900000,105.684,105.684,105.018,105.018,1600
1685971200000,105.018,105.018,105.016,105.016,1200
1685971500000,105.016,105.016,105.016,105.016,1600
1685971800000,105.016,105.168,105.016,105.168,433
1685974200000,105.18,105.192,105.18,105.192,203
1685976000000,105.08,105.08,105,105,200
1685976300000,105.084,105.132,105.084,105.132,15
1685976900000,105.18,105.18,105.18,105.18,100
1685977500000,105.1,105.1,105,105.036,500
1685978100000,105,105,105,105,560
1685978400000,105,105,105,105,800
1685978700000,105,105,105,105,1880
1685979000000,105,105,103.969,103.969,3418.4
1685979600000,104.004,104.004,104.004,104.004,5
1685979900000,104.016,104.016,104.016,104.016,15
1685980200000,103.969,103.969,103.123,103.123,588.4
1685980500000,103.2,103.2,100,100,2744.1
1685980800000,100,100,95.952,96.24,11033.6
1685981100000,95.1,97.8,91.188,97.416,7293.7
1685981400000,97.8,98.46,97.8,98.46,2030
1685981700000,98.46,98.52,98.46,98.52,443.2
1685982000000,98.55,99.024,97.8,98,2147.8
1685982300000,98,99.276,97.8,97.8,2005
1685982600000,97.8,99.144,97.8,99.144,735
1685982900000,98.808,98.808,98.808,98.808,100
1685983200000,98.808,98.808,98.808,98.808,205
1685983500000,99.384,99.384,98,98,140
1685985000000,98,98,97.8,97.8,120
1685985300000,97.8,97.8,97.8,97.8,40
1685985900000,97.8,97.8,97.8,97.8,40
1685986200000,97.8,97.8,97.8,97.8,40
1685987700000,98.448,99.288,97.8,97.8,211.6
1685988000000,98.064,98.064,98.064,98.064,0.1
1685988300000,98.7,98.7,97.8,97.8,40.1
1685988600000,97.8,97.8,95.96,96.048,443
1685988900000,96.204,96.324,96.204,96.324,4000
1685989200000,96.396,96.396,96.396,96.396,200
1685989500000,96.432,96.432,96.432,96.432,300
1685990700000,96.648,97.548,96.648,97.548,518
1685992500000,97.644,97.644,97.644,97.644,111
1685993400000,95.96,97.008,95.8,95.8,267.2
1685994600000,96.216,96.216,96.216,96.216,0.1
1685996400000,96.288,96.288,96.288,96.288,1
1685996700000,96.3,96.3,96.3,96.3,2
1685997600000,96,96,96,96,120
