openTime,open,high,low,close,volume
1687641000000,103,103,103,103,20
1687641300000,103.932,104.068,103.932,104.068,74
1687641600000,102.784,103.628,102.712,103.628,717.6
1687641900000,102.04,103.404,101.856,103.208,2121.8
1687643100000,103.277,103.277,103.277,103.277,182
1687644000000,106.256,106.256,106.256,106.256,26
1687644900000,106.267,106.267,105.736,105.736,429.5
1687645500000,105.724,105.724,105.724,105.724,14
1687645800000,106.316,106.316,104.96,104.96,51
1687646400000,104.948,104.948,104.948,104.948,66.1
1687647000000,104.576,104.576,104.556,104.556,1000
1687647600000,104.536,104.536,104.536,104.536,109.3
1687648500000,106.904,106.904,106.904,106.904,2
1687648800000,107.392,107.436,107.392,107.436,300
1687649100000,106.9,106.9,106.9,106.9,212.2
1687649400000,106.908,107.004,106.9,106.9,2171.4
1687650000000,107.952,107.952,107.952,107.952,18
1687650600000,107.51,107.51,107.51,107.51,1020
1687652100000,108.128,109.3,108.128,109.3,160
1687652400000,109.368,109.464,109.368,109.464,2300
1687653300000,109.35,109.648,109.35,109.648,1030
1687653900000,109.716,109.716,109.716,109.716,800
1687654200000,110.109,110.552,110.109,110.552,122.6
1687654500000,110.608,110.724,110.608,110.724,2000
1687654800000,107.5,107.5,107.5,107.5,20
1687655100000,107,107,105.368,105.368,134.6
1687656300000,104.5,105.356,104.5,105.356,515.8
1687657500000,106.552,106.552,105.192,105.192,42.3
1687658100000,104.804,104.804,104.804,104.804,438
1687658400000,106.752,106.752,106.752,106.752,500
1687658700000,106.096,106.096,106.096,106.096,70
1687661100000,107.404,107.472,107.404,107.472,88
1687661700000,106.096,106.096,106.096,106.096,64.2
1687665000000,106.096,106.096,103.776,103.776,2289
1687665300000,104.252,104.252,104.2,104.2,20
1687665900000,103.8,103.8,103.8,103.8,500
1687666200000,103.8,104.528,103.8,104.116,687
1687667100000,103.2,103.9,103.2,103.9,433.2
1687668300000,103.1,103.1,103.1,103.1,727.2
1687668600000,103.224,103.224,103.224,103.224,1
1687669500000,103.1,103.1,103.1,103.1,58.2
1687671300000,102.538,102.538,101.892,101.892,124
1687672200000,101.892,101.892,101.892,101.892,0.8
1687673100000,101.868,101.868,101.868,101.868,322.3
1687673700000,101.776,101.776,101.776,101.776,1.5
1687674000000,102.58,102.58,102.58,102.58,2
1687678500000,102.648,102.66,102.648,102.66,48.7
1687680600000,102,102,101.024,101.024,54
1687683000000,101.944,102.648,101.944,102.648,101
1687685100000,102.668,102.668,102.668,102.668,1100
1687687800000,102.66,102.66,102.66,102.66,18
1687689000000,103,104.724,103,104.724,233.4
1687693200000,102.5,102.5,102,102,400
1687694400000,102,102,102,102,940
1687695000000,102,102,101.12,101.12,1117
1687695300000,101.772,102.328,100.924,100.924,1110
1687696800000,101.976,102.664,101.976,102.664,898
1687697100000,102.668,102.668,102.668,102.668,70
1687698900000,103.424,103.424,103.424,103.424,0.6
1687699200000,102.364,102.364,102.364,102.364,102.9
1687700100000,102.412,102.412,102.412,102.412,50
1687701900000,102.444,102.444,102.444,102.444,115
1687703400000,100,100,99.416,99.416,1761
1687703700000,100.156,100.436,100.156,100.436,0.2
1687707000000,100.032,100.032,99.456,99.456,6078
1687707600000,99.444,99.444,99.444,99.444,100
1687710600000,99.42,99.42,99.348,99.348,2085
1687712700000,100.992,100.992,100.992,100.992,1
1687714500000,102.06,102.06,102.06,102.06,22.9
1687723500000,101.868,101.868,101.684,101.684,2303.5
