openTime,open,high,low,close,volume
1687988100000,328.845,329.19,328.845,329.19,80
1687990800000,330,331.95,330,331.95,6
1687992000000,331.995,332.025,331.995,332.025,6.5
1687992300000,330,330,330,330,0.8
1687992600000,330.27,331.335,330.27,331.335,5
1687996500000,330,330,330,330,0.8
1687996800000,330,330,330,330,1.2
1687998000000,330.39,332.25,330.39,332.25,6
1687999500000,330,330,330,330,131.6
1688008200000,328,328,328,328,0.8
1688008500000,330.525,330.525,330.525,330.525,0.1
1688010000000,330.6,331.155,330.6,331.155,8.2
1688014800000,331.44,333.48,331.44,333.48,6
1688016000000,333.525,334.38,333.525,334.38,6
1688025600000,333,333,333,333,20.2
1688030400000,333,333,333,333,100
1688030700000,333,333,333,333,2
1688032800000,334.44,335.97,334.44,335.97,19.2
1688034300000,335.97,335.97,335.97,335.97,60
1688034600000,335.75,336,335.75,336,11.6
1688036100000,338,340.05,338,340.05,37
1688040600000,338,338,336,336,3.8
1688040900000,336,336,335.971,335.971,4
1688042100000,338,340.995,338,340.995,16
1688043900000,338,338,337.125,337.125,4
1688046300000,339,339,339,339,100
1688046600000,340,341.085,340,341.085,6.2
1688046900000,338,338,338,338,202
1688047500000,337,337,337,337,135.2
1688048700000,337,337,337,337,260
1688049600000,337,337,337,337,4
1688050200000,337,337,337,337,1.6
1688051100000,337,337,335,335,20
1688063100000,335,335,335,335,10
1688068800000,338,338.638,338,338.638,20
1688070000000,336,336,336,336,1.8
