openTime,open,high,low,close,volume
1692392700000,3140,3140,3140,3140,0.68
1692394800000,3141,3141,3141,3141,4
1692395100000,3143,3151,3143,3151,32
1692396000000,3152,3152,3152,3152,0.5
1692396900000,3153,3153,3153,3153,1.9
1692398400000,3153,3153,3153,3153,0.1
1692400500000,3150,3150,3150,3150,0.32
1692400800000,3146,3146,3146,3146,0.04
1692401700000,3121,3121,3120,3120,6.42
1692402000000,3121,3121,3121,3121,0.02
1692402600000,3120,3120,3102,3115,40.11
1692411600000,3127,3127,3127,3127,0.1
1692412800000,3136,3136,3136,3136,0.31
1692414300000,3136,3136,3135,3135,1.62
1692414600000,3136,3136,3136,3136,10
1692415200000,3135,3135,3106,3120,0.99
1692415800000,3124,3124,3124,3124,3.2
1692417000000,3124,3125,3124,3125,2.55
1692422100000,3140,3140,3140,3140,6.26
1692422400000,3140,3140,3140,3140,56.2
1692423000000,3140,3140,3140,3140,3.6
1692423600000,3140,3140,3140,3140,6
1692425400000,3147,3150,3147,3150,44.23
1692429000000,3154,3170,3154,3170,118.34
1692429300000,3170,3170,3170,3170,0.1
1692435300000,3171,3171,3171,3171,1
1692439200000,3171,3208,3171,3208,300
1692441900000,3203,3203,3203,3203,3.1
1692442200000,3203,3203,3203,3203,13
1692443100000,3170,3170,3170,3170,0.02
1692443400000,3172,3172,3172,3172,8
1692445200000,3172,3172,3172,3172,0.2
1692446100000,3172,3172,3172,3172,0.3
1692446700000,3172,3172,3172,3172,0.3
1692447900000,3170,3170,3154,3154,7.28
1692448200000,3154,3154,3154,3154,1.84
1692448500000,3174,3174,3174,3174,3
1692449400000,3175,3175,3175,3175,0.03
1692450600000,3161,3161,3161,3161,1.15
1692451500000,3178,3178,3178,3178,0.3
1692451800000,3182,3189,3182,3189,60
1692452100000,3189,3189,3189,3189,10
1692452400000,3189,3189,3189,3189,4
1692453900000,3189,3189,3189,3189,3.9
1692457200000,3190,3190,3190,3190,0.04
1692459600000,3190,3190,3190,3190,1.67
1692460500000,3206,3207,3206,3207,1.1
1692460800000,3209,3209,3209,3209,0.03
1692461100000,3210,3210,3189,3189,6.5
1692462900000,3226,3226,3226,3226,1
1692464100000,3217,3217,3217,3217,1
1692467100000,3223,3223,3223,3223,3.1
1692470100000,3224,3224,3224,3224,0.1
1692476400000,3218,3218,3210,3210,1.31
