openTime,open,high,low,close,volume
1685481000000,4.688,4.688,4.605,4.605,300
1685481600000,4.688,4.688,4.688,4.688,2
1685483100000,4.688,4.689,4.688,4.689,17048
1685483400000,4.7,4.7,4.7,4.7,84006
1685483700000,4.7,4.7,4.7,4.7,200
1685485500000,4.676,4.676,4.675,4.675,21188
1685486700000,4.674,4.674,4.674,4.674,2
1685487000000,4.674,4.674,4.674,4.674,12816
1685487600000,4.674,4.675,4.674,4.675,8530
1685487900000,4.675,4.675,4.675,4.675,4000
1685488200000,4.675,4.734,4.675,4.734,32000
1685488500000,4.689,4.733,4.689,4.689,17796
1685488800000,4.728,4.728,4.728,4.728,2
1685489400000,4.73,4.73,4.73,4.73,2
1685489700000,4.728,4.745,4.728,4.745,202
1685491800000,4.728,4.728,4.728,4.728,10
1685494500000,4.714,4.714,4.714,4.714,800
1685494800000,4.681,4.681,4.681,4.681,500
1685495400000,4.681,4.681,4.681,4.681,1000
1685495700000,4.714,4.714,4.714,4.714,2
1685496300000,4.717,4.717,4.717,4.717,2
1685496900000,4.717,4.721,4.717,4.721,20000
1685497500000,4.72,4.72,4.72,4.72,4244
1685497800000,4.72,4.72,4.72,4.72,4248
1685498400000,4.72,4.72,4.72,4.72,508
1685499900000,4.68,4.68,4.651,4.651,3580
1685501100000,4.7,4.7,4.7,4.7,2
1685502600000,4.699,4.699,4.662,4.662,2260
1685502900000,4.699,4.699,4.699,4.699,2
1685503800000,4.65,4.698,4.65,4.698,10002
1685504100000,4.699,4.699,4.699,4.699,2
1685507400000,4.698,4.698,4.698,4.698,1000
1685508900000,4.659,4.659,4.599,4.599,24000
1685510700000,4.6,4.6,4.552,4.552,20000
1685511000000,4.571,4.571,4.571,4.571,2000
1685511900000,4.619,4.619,4.619,4.619,2
1685512500000,4.619,4.622,4.619,4.622,20000
1685512800000,4.64,4.697,4.64,4.697,454
1685513100000,4.601,4.679,4.601,4.679,674
1685513400000,4.679,4.679,4.679,4.679,2
1685514000000,4.679,4.679,4.679,4.679,2
1685514900000,4.629,4.629,4.629,4.629,14
1685518200000,4.625,4.626,4.625,4.626,24000
1685518800000,4.627,4.627,4.627,4.627,600
1685522400000,4.622,4.622,4.62,4.62,8804
1685522700000,4.62,4.622,4.62,4.622,8730
1685523600000,4.62,4.62,4.62,4.62,25764
1685524500000,4.617,4.617,4.617,4.617,76
1685525400000,4.601,4.601,4.601,4.601,4478
1685525700000,4.6,4.6,4.582,4.583,39376
1685526600000,4.591,4.591,4.591,4.591,100
1685529900000,4.596,4.596,4.596,4.596,200
1685539800000,4.569,4.569,4.569,4.569,220
1685542500000,4.565,4.565,4.552,4.552,532
1685542800000,4.55,4.551,4.55,4.551,22444
1685543100000,4.55,4.55,4.535,4.535,4660
1685543400000,4.541,4.541,4.539,4.539,10002
1685543700000,4.597,4.597,4.597,4.597,2
1685544900000,4.549,4.549,4.549,4.549,1840
1685545500000,4.533,4.533,4.533,4.533,2000
1685548500000,4.532,4.532,4.501,4.501,10000
1685548800000,4.507,4.555,4.507,4.555,3000
1685549700000,4.555,4.555,4.555,4.555,60
1685562900000,4.548,4.548,4.548,4.548,3418
