openTime,open,high,low,close,volume
1688504700000,4.294,4.294,4.294,4.294,9304
1688505300000,4.371,4.371,4.371,4.371,2
1688507700000,4.316,4.316,4.316,4.316,200
1688508600000,4.284,4.307,4.277,4.307,15280
1688509500000,4.285,4.323,4.285,4.323,802
1688510100000,4.326,4.326,4.326,4.326,4618
1688510700000,4.33,4.33,4.33,4.33,2
1688511000000,4.337,4.337,4.337,4.337,34
1688512200000,4.31,4.31,4.303,4.303,66000
1688512500000,4.322,4.323,4.322,4.323,23112
1688513700000,4.329,4.329,4.329,4.329,2
1688514000000,4.329,4.329,4.329,4.329,20000
1688514600000,4.323,4.323,4.323,4.323,13866
1688515200000,4.318,4.329,4.301,4.301,32966
1688515800000,4.329,4.329,4.329,4.329,2
1688517300000,4.329,4.329,4.329,4.329,500
1688518800000,4.301,4.301,4.3,4.3,2788
1688519700000,4.323,4.323,4.323,4.323,2
1688520000000,4.301,4.301,4.301,4.301,1394
1688520600000,4.328,4.328,4.328,4.328,2
1688521200000,4.329,4.33,4.329,4.33,13842
1688522400000,4.329,4.329,4.329,4.329,200
1688522700000,4.329,4.33,4.329,4.33,4814
1688523900000,4.33,4.33,4.33,4.33,400
1688526300000,4.33,4.432,4.33,4.432,32000
1688527800000,4.348,4.348,4.348,4.348,2
1688528700000,4.348,4.348,4.348,4.348,4
1688529600000,4.321,4.321,4.321,4.321,2000
1688531100000,4.321,4.321,4.321,4.321,1506
1688532000000,4.347,4.347,4.347,4.347,2
1688532900000,4.321,4.321,4.321,4.321,2
1688533800000,4.35,4.35,4.35,4.35,4882
1688535300000,4.351,4.351,4.35,4.35,46216
1688538000000,4.357,4.4,4.357,4.4,6
1688538300000,4.352,4.352,4.35,4.35,30918
1688541000000,4.35,4.35,4.337,4.337,33702
1688541300000,4.386,4.386,4.386,4.386,2
1688541600000,4.39,4.39,4.39,4.39,2
1688544000000,4.333,4.354,4.323,4.353,85222
1688544300000,4.351,4.353,4.351,4.353,18360
1688546100000,4.4,4.4,4.4,4.4,2
1688547000000,4.321,4.321,4.321,4.321,2
1688547300000,4.353,4.353,4.353,4.353,2
1688547600000,4.323,4.38,4.323,4.38,4
1688550000000,4.32,4.32,4.32,4.32,400
1688552100000,4.3,4.3,4.3,4.3,1400
1688552400000,4.281,4.281,4.281,4.281,2
1688552700000,4.302,4.302,4.302,4.302,2000
1688553300000,4.284,4.287,4.261,4.287,24722
1688553600000,4.24,4.319,4.211,4.319,10128
1688553900000,4.241,4.242,4.241,4.242,32400
1688554200000,4.24,4.24,4.2,4.221,150274
1688554500000,4.189,4.189,4.189,4.189,2000
1688554800000,4.188,4.189,4.188,4.189,104770
1688555400000,4.221,4.221,4.221,4.221,2
1688556900000,4.181,4.199,4.181,4.199,100002
1688557200000,4.199,4.218,4.199,4.218,4
1688557500000,4.217,4.217,4.188,4.207,133568
1688557800000,4.207,4.207,4.174,4.174,23096
1688558100000,4.185,4.185,4.185,4.185,10000
1688558400000,4.236,4.236,4.236,4.236,2
1688558700000,4.217,4.217,4.217,4.217,960
1688559000000,4.174,4.204,4.174,4.204,24
1688561400000,4.175,4.175,4.175,4.175,14000
1688562600000,4.196,4.196,4.196,4.196,4100
1688563200000,4.175,4.175,4.152,4.152,141100
1688563800000,4.152,4.189,4.152,4.189,1002
1688564400000,4.189,4.189,4.189,4.189,2
1688566200000,4.198,4.198,4.198,4.198,1000
1688566800000,4.198,4.199,4.198,4.199,59032
1688567700000,4.17,4.199,4.17,4.199,27142
1688568000000,4.199,4.2,4.199,4.2,28542
1688568900000,4.183,4.183,4.183,4.183,14000
1688569200000,4.199,4.2,4.199,4.2,23780
1688571900000,4.175,4.187,4.175,4.186,119464
1688574000000,4.19,4.197,4.19,4.197,40000
1688581500000,4.153,4.153,4.153,4.153,2
1688581800000,4.199,4.199,4.199,4.199,2
1688583300000,4.197,4.197,4.197,4.197,6000
1688586300000,4.194,4.194,4.194,4.194,200
1688586900000,4.17,4.17,4.151,4.151,28968
1688587200000,4.151,4.151,4.151,4.151,19308
1688590500000,4.19,4.19,4.19,4.19,4000
