openTime,open,high,low,close,volume
1685743800000,12.91,12.95,12.91,12.95,464
1685744100000,12.95,12.95,12.95,12.95,3700
1685745600000,12.95,12.967,12.95,12.967,278
1685747400000,12.96,12.96,12.96,12.96,2030
1685747700000,12.96,12.96,12.95,12.95,7370
1685748000000,12.952,12.955,12.952,12.955,37
1685749200000,12.957,12.957,12.957,12.957,77
1685749800000,12.957,12.957,12.957,12.957,1000
1685758200000,12.957,12.962,12.957,12.962,5000
1685758500000,12.9,12.9,12.9,12.9,382
1685759100000,12.9,12.9,12.85,12.85,3600
1685759400000,12.909,12.909,12.909,12.909,4
1685759700000,12.9,12.911,12.9,12.911,6695
1685760000000,12.911,12.911,12.911,12.911,1900
1685760600000,12.911,12.911,12.911,12.911,340
1685761800000,12.926,12.926,12.926,12.926,2984
1685762100000,12.934,12.934,12.934,12.934,222
1685764800000,12.962,12.962,12.962,12.962,5148
1685765100000,12.965,12.965,12.965,12.965,600
1685765700000,12.971,12.971,12.971,12.971,25
1685766300000,12.905,12.961,12.905,12.961,1754
1685767500000,12.982,12.982,12.982,12.982,20
1685773200000,12.982,12.982,12.982,12.982,6
1685773800000,12.982,12.984,12.982,12.984,760
1685774100000,12.984,13,12.984,13,862
1685775000000,13,13,13,13,3636
1685775300000,13,13,13,13,380
1685775600000,13,13,13,13,42896
1685775900000,13,13.035,13,13.035,2646
1685777400000,13.035,13.035,13.035,13.035,51
1685778300000,13,13,13,13,610
1685779800000,13,13,13,13,266
1685780100000,13,13,13,13,8
1685780400000,13,13,13,13,388
1685782500000,12.94,12.94,12.94,12.94,380
1685782800000,12.989,12.989,12.989,12.989,500
1685784300000,12.989,12.989,12.989,12.989,1
1685784900000,12.99,12.99,12.94,12.94,7217
1685788500000,13.031,13.031,13.031,13.031,750
1685789100000,13.031,13.031,13.031,13.031,2000
1685790900000,12.988,12.988,12.972,12.972,52512
1685791200000,12.973,13.048,12.972,13.048,11513
1685791800000,13.048,13.048,13.048,13.048,600
1685792700000,13.043,13.044,13.043,13.044,4198
1685793600000,13.049,13.075,13.049,13.075,1291
1685793900000,13.089,13.089,13.089,13.089,2000
1685794200000,13.092,13.092,13.092,13.092,7400
1685796000000,13.092,13.093,13.092,13.093,2500
1685797200000,13.088,13.088,13.088,13.088,1494
1685798100000,13.088,13.088,13.088,13.088,2
1685799000000,13,13,13,13,4
1685799300000,13.01,13.011,13.01,13.011,5000
1685799900000,13.011,13.011,13.011,13.011,2000
1685803500000,13.011,13.011,13.011,13.011,109
1685809200000,13.013,13.013,13.013,13.013,100
1685811600000,12.98,12.98,12.94,12.94,1234
1685813400000,12.94,12.94,12.9,12.9,4800
1685815500000,12.9,12.9,12.9,12.9,40000
1685817000000,12.9,12.9,12.9,12.9,680
1685820900000,12.925,12.946,12.925,12.946,100000
1685821800000,12.9,12.9,12.9,12.9,80000
1685822400000,12.9,12.9,12.852,12.852,10204
1685823000000,12.851,12.851,12.851,12.851,100
1685825400000,12.929,12.929,12.929,12.929,1100
1685825700000,12.934,12.934,12.934,12.934,17
